state.abb,state.name,id,geo_id,year,name,category,total_liabilities,current_liabilities,total_assets,current_assets,compensated_absences,expenses,revenues,unrestricted,population,urban_pop,pct_urban_pop,median_hh_income_21,url,modified_revenues,net_pension_liability,net_opeb_liability,assets_liab_ratio
KY,Kentucky,90208,21000,2020,Kentucky,General Purpose,41600354000,3746164000,34787679000,0,266573000,30955535000,33658968000,-37570773000,4505893,2644856,58.6984524070561,55532,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Commonwealth%20of%20Kentucky/KY%20Commonwealth%20of%20Kentucky%202020.pdf,-1042731000,25870784000,3017085000,1.195835859012037
LA,Louisiana,90240,22000,2020,Louisiana,General Purpose,31993734000,6912535000,35590888000,0,233104000,35858161000,36341565000,-15151177000,4657749,3332237,71.5416669439818,52090,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/State%20of%20Louisiana/LA%20State%20of%20Louisiana%202020.pdf,-6429131000,6614130000,5780776000,0.8989304790596964
ME,Maine,33873,23000,2020,Maine,General Purpose,8836880000,1208211000,9578288000,0,62720000,10662879000,10625590000,0,1362341,526309,38.6321813853764,64823,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ME/State%20of%20Maine/ME%20State%20of%20Maine%202020.pdf,-1245500000,2383150000,2445774000,0.922594935545893
MD,Maryland,149463,24000,2020,Maryland,General Purpose,65583150000,6958216000,53228856000,0,353144000,50513435000,50630119000,0,6177213,5288760,85.6170992018421,90129,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/State%20of%20Maryland/MD%20State%20of%20Maryland%202020.pdf,-6841532000,18912696000,17257184000,1.232097680250727
MA,Massachusetts,149462,25000,2020,Massachusetts,General Purpose,113588290000,5526424000,36509273000,0,906461000,80602774000,76583475000,0,7029949,6416895,91.279811696212093,89577,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Commonwealth%20of%20Massachusetts/MA%20Commonwealth%20of%20Massachusetts%202020.pdf,-9545723000,41643152000,17486660000,3.1112175254763357
MI,Michigan,80814,26000,2020,Michigan,General Purpose,35977177000,9693360000,49761974000,23231152000,428800000,90012294000,88274088000,-13699405000,10077325,7404258,73.4743951548282,63444,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/State%20of%20Michigan/MI%20State%20of%20Michigan%202020.pdf,-11431566000,7540000000,9691000000,0.7229853261046276
MN,Minnesota,34704,27000,2020,Minnesota,General Purpose,23927324000,6463164000,48199480000,26252284000,527476000,50004800000,49990315000,0,5706504,4101754,71.878705208487,77712,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/State%20of%20Minnesota/MN%20State%20of%20Minnesota%202020.pdf,-6477649000,3107663000,630967000,0.4964228659728279
MS,Mississippi,95852,28000,2020,Mississippi,General Purpose,13060607000,2672089000,27973925000,0,126506000,20046462000,20501316000,0,2961288,1370790,46.2904711106248,48871,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/State%20of%20Mississippi/MS%20State%20of%20Mississippi%202020.pdf,-2217235000,3151705000,193113000,0.466885036690418
MO,Missouri,148599,29000,2020,Missouri,General Purpose,19395710000,3812318000,47374256000,0,195681000,31416824000,32418542000,-7300465,6154920,4275663,69.4674806938782,61815,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MO/State%20of%20Missouri/MO%20State%20of%20Missouri%202020.pdf,-2810600000,7102432000,2966040000,0.40941455629403445
MT,Montana,64951,30000,2020,Montana,General Purpose,5140282000,2176914000,14971791000,0,111510000,7651126000,8213225000,-343398000,1084197,579177,53.4185247527035,63357,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MT/State%20of%20Montana/MT%20State%20of%20Montana%202020.pdf,-1614815000,2215027000,46410000,0.3433311351995229
