"","state.abb","ncesID","year","name","n"
"1","GA","1301230",2020,"clayton county board of education",2
"2","GA","1301230",2021,"clayton county board of education",2
"3","TN","4703030",2020,"clarksville-montgomery county school system",2
"4","TN","4703030",2021,"clarksville-montgomery county school system",2
"5","TN","4701590",2020,"hamilton county schools",2
"6","TN","4701590",2021,"hamilton county schools",2
"7","TN","4704530",2020,"williamson county schools",2
"8","TN","4704530",2021,"williamson county schools",2
