state.abb,state.name,id_22,geo_id,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,population_22,urban_pop_22,pct_urban_pop_22,median_hh_income_21_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,state.abb_20,id_20,year_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,population_20,urban_pop_20,pct_urban_pop_20,median_hh_income_21_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,total_liabilities_growth,current_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth,modified_revenues_growth,2022,id,partisan_lean,pct_urban_pop_22_normalized,median_hh_income_normalized
HI,Hawaii,71062,15,2022,Hawaii,General Purpose,28246474000,2752439000,28081002000,3753629000,292276000,16304638000,18691011000,-9930288000,1455273,1252450,86.0630081957244,85547,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/HI/State%20of%20Hawaii/HI%20State%20of%20Hawaii%202022.pdf,-366066000,6323283000,5415988000,1.0058926672203505,HI,71062,2020,General Purpose,28421578000,2708675000,23375459000,0,262056000,15459241000,14507982000,0,1455273,1252450,86.0630081957244,85547,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/HI/State%20of%20Hawaii/HI%20State%20of%20Hawaii%202020.pdf,-3659934000,7226416000,6977722000,1.2158725097120018,-0.6160952780313605,0.016156977119809502,5.468554374694075,-0.22381717127738823,-12.497661357995444,0.2883260401067495,0.2013026995534077,-0.172698897963725,0.8999801635767203,31.81241,15,31.81241,36.173681833291496,38.89427504968734
ID,Idaho,32673,16,2022,Idaho,General Purpose,4430518000,2313910000,24354114000,4205616000,94466000,12540092000,14519523000,4339725000,1839092,1273437,69.2421752742909,66318,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ID/State%20of%20Idaho/ID%20State%20of%20Idaho%202022.pdf,-334479000,23641000,108492000,0.18192072189528224,ID,32673,2020,General Purpose,4075441000,1895009000,19585991000,0,81981000,10795096000,11883210000,1749855000,1839092,1273437,69.2421752742909,66318,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ID/State%20of%20Idaho/ID%20State%20of%20Idaho%202020.pdf,-806895000,301989000,117490000,0.20807938694549588,8.712603126876331,0.22105488681056396,16.16471034625352,-0.07658524129713166,-92.17156916311521,0.22185192384885902,0.24344558312111958,-0.12571483141223216,0.585473946424256,-36.79051,16,-36.79051,7.719941809868189,-7.712443647292645
IL,Illinois,1267369,17,2022,Illinois,General Purpose,247942779000,26518751000,76209709000,45363713000,440683000,104891623000,122045622000,0,12812545,11137590,86.9274774306482,72215,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/State%20of%20Illinois/IL%20State%20of%20Illinois%202022.pdf,-9364752000,139846404000,46611408000,3.2534277095848774,IL,1267369,2020,General Purpose,263404811000,25778585000,59058929000,0,401594000,97869427000,91181741000,-219366559000,12812545,11137590,86.9274774306482,72215,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/State%20of%20Illinois/IL%20State%20of%20Illinois%202020.pdf,-32466271000,143346569000,58996493000,4.460033655537505,-5.87006438542233,0.02871243708683002,7.175066019340239,-0.20992917324763694,-2.4417501056478024,0.3384875158284157,0.2904011347716786,-0.27053740826698147,0.7115544313666328,13.20919,17,13.20919,37.63599841319325,6.580541955499541
IN,Indiana,196751,18,2022,Indiana,General Purpose,18375927000,7430648000,43652718000,21108069000,209060000,46841886000,51798359000,4581626000,6785668,4829686,71.1762739760266,62723,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IN/State%20of%20Indiana/IN%20State%20of%20Indiana%202022.pdf,-2474175000,9730464000,60843000,0.42095722424431853,IN,196751,2020,General Purpose,19776175000,6709986000,35264677000,0,194149000,41616996000,42536473000,9320351000,6785668,4829686,71.1762739760266,62723,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IN/State%20of%20Indiana/IN%20State%20of%20Indiana%202020.pdf,-5790509000,11792876000,190159000,0.5607927445358425,-7.080479415255983,0.1074014163367852,12.554702410524776,-0.6800414390063052,-17.48862618414711,0.21773986761901956,0.23785957262560495,-0.24935329790556254,0.5727189095120999,-20.25634,18,-20.25634,10.991619371607989,-16.425905278976202
IA,Iowa,1036991,19,2022,Iowa,General Purpose,9689205000,59175000,36381382000,13069040000,591363000,27434877000,31029959000,6382850000,3190372,2014831,63.1535411734505,65645,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IA/State%20of%20Iowa/IA%20State%20of%20Iowa%202022.pdf,3535907000,158854000,453731000,0.2663231704611991,IA,1036991,2020,General Purpose,9758958000,3087152000,29784820000,0,549822000,25493401000,26729140000,0,3190372,2014831,63.1535411734505,65645,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IA/State%20of%20Iowa/IA%20State%20of%20Iowa%202020.pdf,-1851413000,1078093000,456472000,0.32764871501657555,-0.7147586863269624,-0.9808318476058192,7.61560217093043,-0.006004749469847,-85.26527859841406,0.1609037552274409,0.22147395888241056,-0.1871685794716883,2.9098423744458963,-9.611277,19,-9.611277,-2.5794537439816096,-9.343642445101558
KS,Kansas,33447,20,2022,Kansas,General Purpose,10127943000,3327238000,26284361000,10132140000,117062000,21094701000,23645197000,0,2937847,2124059,72.2990387626452,64128,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KS/State%20of%20Kansas/KS%20State%20of%20Kansas%202022.pdf,-776742000,1688067000,51820000,0.3853220171492851,KS,33447,2020,General Purpose,9981002000,2543938000,21604949000,0,119287000,17141566000,17602156000,-2117921000,2937847,2124059,72.2990387626452,64128,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KS/State%20of%20Kansas/KS%20State%20of%20Kansas%202020.pdf,-2083348000,1904166000,49824000,0.46197757745227724,1.472206898666086,0.3079084474543012,23.061691096367742,0.04006101477199743,-11.348747955797972,0.34331254648578274,0.21658981930482687,-0.16592917934617885,0.6271664647480881,-21.07362,20,-21.07362,12.890862857059446,-13.020505114159683
KY,Kentucky,90208,21,2022,Kentucky,General Purpose,38790928000,3063688000,41179616000,11046129000,275672000,32938645000,41145939000,0,4505893,2644856,58.6984524070561,55532,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Commonwealth%20of%20Kentucky/KY%20Commonwealth%20of%20Kentucky%202022.pdf,5143606000,25034578000,2761751000,0.9419934367527857,KY,90208,2020,General Purpose,41600354000,3746164000,34787679000,0,266573000,30955535000,33658968000,-37570773000,4505893,2644856,58.6984524070561,55532,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Commonwealth%20of%20Kentucky/KY%20Commonwealth%20of%20Kentucky%202020.pdf,-1042731000,25870784000,3017085000,1.195835859012037,-6.753370416030595,-0.182179957951654,6.406317965430092,-0.08462936907644299,-3.2322406618987656,0.22243614242718315,0.18374140453578405,-0.21227196052555924,5.932821600201778,-27.18871,21,-27.18871,-10.115581005476145,-33.855252314702604
LA,Louisiana,90240,22,2022,Louisiana,General Purpose,37973068000,14376799000,47787993000,29123232000,237696000,40152271000,43813677000,0,4657749,3332237,71.5416669439818,52090,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/State%20of%20Louisiana/LA%20State%20of%20Louisiana%202022.pdf,-10715393000,4890631000,6858087000,0.7946152499017902,LA,90240,2020,General Purpose,31993734000,6912535000,35590888000,0,233104000,35858161000,36341565000,-15151177000,4657749,3332237,71.5416669439818,52090,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/State%20of%20Louisiana/LA%20State%20of%20Louisiana%202020.pdf,-6429131000,6614130000,5780776000,0.8989304790596964,18.689078305145625,1.0798157260686565,11.975265546942019,0.18636096607099117,-26.057833758937303,0.2056078762706009,0.34270302556092447,-0.11604371148592321,-0.6666938346722131,-20.39682,22,-20.39682,11.60970984103632,-42.197876775413256
ME,Maine,33873,23,2022,Maine,General Purpose,8461350000,1504499000,11874823000,5295537000,72214000,12941312000,13568956000,NA,1362341,526309,38.6321813853764,64823,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ME/State%20of%20Maine/ME%20State%20of%20Maine%202022.pdf,-876855000,1393739000,2577091000,0.712545357518171,ME,33873,2020,General Purpose,8836880000,1208211000,9578288000,0,62720000,10662879000,10625590000,0,1362341,526309,38.6321813853764,64823,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ME/State%20of%20Maine/ME%20State%20of%20Maine%202020.pdf,-1245500000,2383150000,2445774000,0.922594935545893,-4.249576773702936,0.24522868935972275,21.367896981668835,0.05369138767523083,-41.516941862660765,0.27700730030050097,0.23976466358079856,-0.2276725894917655,0.2959815335206744,4.379831,23,4.379831,-44.05923061886098,-11.335983324446168
MD,Maryland,149463,24,2022,Maryland,General Purpose,60368151000,8761664000,69053742000,48636608000,413728000,55790349000,66355161000,-26406024000,6177213,5288760,85.6170992018421,90129,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/State%20of%20Maryland/MD%20State%20of%20Maryland%202022.pdf,1803148000,13366859000,13434828000,0.8742198359069375,MD,149463,2020,General Purpose,65583150000,6958216000,53228856000,0,353144000,50513435000,50630119000,0,6177213,5288760,85.6170992018421,90129,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/State%20of%20Maryland/MD%20State%20of%20Maryland%202020.pdf,-6841532000,18912696000,17257184000,1.232097680250727,-7.951736078550664,0.25918252609576936,10.446555455989085,-0.2214936110086095,-29.323355062652094,0.31058670827931495,0.2972990063885649,-0.29046223370127827,1.2635590975822375,26.2639,24,26.2639,35.41939227787559,50
