"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"290","OR","Oregon",103199,"41067",2022,"washington county","General Purpose",619521000,197865000,185621000,0,7167000,3921000,2959168000,376816000,15528000,742174000,775851000,0,600383,567381,0.945049069576862,91899,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OR/Washington%20County/OR%20Washington%20County%202022.pdf"
"291","MD","Maryland",40842,"24003",2020,"anne arundel county","General Purpose",4134565173,229998820,647187251,0,562453474,0,0,0,33872059,2157719118,2203700704,0,588265,544245,0.92517606980575,107281,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/Anne%20Arundel%20County/MD%20Anne%20Arundel%20County%202020.pdf"
"292","MD","Maryland",40842,"24003",2021,"anne arundel county","General Purpose",4313022942,299712355,646812307,0,584131588,0,0,0,38964925,2263931730,2357180872,-1312123724,588265,544245,0.92517606980575,107281,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/Anne%20Arundel%20County/MD%20Anne%20Arundel%20County%202021.pdf"
"293","MD","Maryland",40842,"24003",2022,"anne arundel county","General Purpose",4365217649,214021231,652585080,NA,552647050,NA,5330385922,1867078356,40395887,2225995069,2477028470,-1033416977,588265,544245,0.92517606980575,107281,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/Anne%20Arundel%20County/MD%20Anne%20Arundel%20County%202022.pdf"
"294","NE","Nebraska",35436,"31055",2020,"douglas county","General Purpose",487154430,166713502,180046767,0,47804755,0,0,0,13580702,324388383,383481585,-121882965,584522,570286,0.975638380499755,69475,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NE/Douglas%20County/NE%20Douglas%20County%202020.pdf"
"295","NE","Nebraska",35436,"31055",2021,"douglas county","General Purpose",400107661,92514261,163784643,0,56250809,0,0,0,14542869,470043776,504245678,0,584522,570286,0.975638380499755,69475,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NE/Douglas%20County/NE%20Douglas%20County%202021.pdf"
"296","NE","Nebraska",35436,"31055",2022,"douglas county","General Purpose",446167517,126891657,152459979,0,63189428,0,668092544,369732710,14352987,373694920,409132563,0,584522,570286,0.975638380499755,69475,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NE/Douglas%20County/NE%20Douglas%20County%202022.pdf"
"297","CO","Colorado",1266954,"08059",2020,"jefferson county","General Purpose",131834800,31926606,0,0,0,0,0,0,24568367,454026720,520235062,97889534,582902,541241,0.92851555128579,94401,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Jefferson%20County/CO%20Jefferson%20County%202020.pdf"
"298","CO","Colorado",1266954,"08059",2021,"jefferson county","General Purpose",209610136,123436465,0,0,0,0,0,0,22580090,427329071,460433022,0,582902,541241,0.92851555128579,94401,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Jefferson%20County/CO%20Jefferson%20County%202021.pdf"
"299","CO","Colorado",1266954,"08059",2022,"jefferson county","General Purpose",268347737,188425937,0,0,0,0,1941407951,700028058,22010587,440491602,485911811,64001153,582902,541241,0.92851555128579,94401,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Jefferson%20County/CO%20Jefferson%20County%202022.pdf"
"300","MA","Massachusetts",1240524,"25005",2022,"bristol county","General Purpose",224137817,8300904,23440279,0,35229553,0,241742615,136233246,731000,31434103,43534796,0,579210,518709,0.89556111878453,72857,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Bristol%20County/MA%20Bristol%20County%202022.pdf"
"301","PA","Pennsylvania",42724,"42045",2020,"delaware county","General Purpose",1040531829,225111651,0,10917854,512163395,0,0,0,0,718238831,716972528,-271254637,576842,572303,0.992151933845327,78194,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Delaware%20County/PA%20Delaware%20County%202020.pdf"
"302","PA","Pennsylvania",42724,"42045",2021,"delaware county","General Purpose",1026594520,291767218,0,37472631,455254173,0,841359402,0,0,727447432,745727867,-273772605,576842,572303,0.992151933845327,78194,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Delaware%20County/PA%20Delaware%20County%202021.pdf"
"303","PA","Pennsylvania",42724,"42045",2022,"delaware county","General Purpose",1034455765,401163256,0,71703727,312071311,0,1070556510,524716967,0,715571485,812753902,-263136634,576842,572303,0.992151933845327,78194,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Delaware%20County/PA%20Delaware%20County%202022.pdf"
"304","NJ","New Jersey",40886,"34039",2021,"union county","General Purpose",1312583543,0,354710311,0,657083207,0,0,0,5075077,623171401,701020844,0,575352,575345,1,85926,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/Union%20County/NJ%20Union%20County%202021.pdf"
"305","NJ","New Jersey",40886,"34039",2022,"union county","General Purpose",1449725290,5875000,286192428,0,573080980,0,1449725290,0,6687994,674804861,727131868,0,575352,575345,1,85926,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/Union%20County/NJ%20Union%20County%202022.pdf"
"306","DE","Delaware",1151665,"10003",2020,"new castle county","General Purpose",1257525117,354206169,213194225,0,79725591,0,0,0,30263352,332826344,373182690,0,570721,535938,0.939057574743438,74088,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DE/New%20Castle%20County/DE%20New%20Castle%20County%202020.pdf"
"307","DE","Delaware",1151665,"10003",2021,"new castle county","General Purpose",917510935,108553164,161577469,0,57407082,0,0,0,33609046,543268133,613595253,0,570721,535938,0.939057574743438,74088,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DE/New%20Castle%20County/DE%20New%20Castle%20County%202021.pdf"
"308","DE","Delaware",1151665,"10003",2022,"new castle county","General Purpose",1085609980,128085573,225849744,43901432,72612714,0,1359161476,460565367,34566309,384432824,427668051,0,570721,535938,0.939057574743438,74088,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DE/New%20Castle%20County/DE%20New%20Castle%20County%202022.pdf"
"309","FL","Florida",148146,"12101",2020,"pasco county","General Purpose",1294675425,113046133,516207619,0,71285733,0,0,0,30430929,801668981,992386999,0,561897,521183,0.927551784954733,59555,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Pasco%20County/FL%20Pasco%20County%202020.pdf"
"310","FL","Florida",148146,"12101",2021,"pasco county","General Purpose",1207966306,114344892,164027892,0,75288329,0,0,0,32928747,895761635,1168991281,0,561897,521183,0.927551784954733,59555,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Pasco%20County/FL%20Pasco%20County%202021.pdf"
"311","FL","Florida",148146,"12101",2022,"pasco county","General Purpose",1458383562,137133140,445787042,0,72673052,0,4386248883,1567712420,35173062,863988063,1244367146,70528846,561897,521183,0.927551784954733,59555,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Pasco%20County/FL%20Pasco%20County%202022.pdf"
"312","WI","Wisconsin",39831,"55025",2020,"dane county","General Purpose",748979851,102379941,0,23771724,110903425,0,0,0,90676726,656355019,659479417,-64353864,561507,485269,0.864230708953097,77653,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WI/Dane%20County/WI%20Dane%20County%202020.pdf"
"313","WI","Wisconsin",39831,"55025",2021,"dane county","General Purpose",775005624,108828704,0,74166277,115502313,0,0,0,96835446,650158473,693894833,-95931281,561507,485269,0.864230708953097,77653,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WI/Dane%20County/WI%20Dane%20County%202021.pdf"
"314","WI","Wisconsin",39831,"55025",2022,"dane county","General Purpose",902578767,151183822,0,96299840,102403100,0,2103577847,759798041,109059193,668827367,758281142,0,561507,485269,0.864230708953097,77653,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WI/Dane%20County/WI%20Dane%20County%202022.pdf"
"315","FL","Florida",32262,"12127",2020,"volusia county","General Purpose",695356883,107415938,348407115,3827549,42048773,0,0,0,33000973,600597772,698702560,23881928,553561,506287,0.914629938414902,58246,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Volusia%20County/FL%20Volusia%20County%202020.pdf"
