state.abb,state.name,id_22,geo_id,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,population_22,median_hh_income_21_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,name_state,state.abb_20,id_20,year_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,population_20,median_hh_income_21_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,name_state_20,total_liabilities_growth,current_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth,modified_revenues_growth,latitude,longitude,median_hh_income_normalized
CA,California,31759,0627000,2022,"Fresno, CA",General Purpose,1588277000,267898000,4869028000,863099000,98003000,927471000,1153001000,0,542252,61250,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno/CA%20Fresno%202022.pdf,-42368000,-805653000,99760000,0.3262000136372188,"Fresno, California",CA,31759,2020,General Purpose,1541934000,207987000,4036592000,0,80002000,802265000,873186000,500142000,542252,61250,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno/CA%20Fresno%202020.pdf,-137066000,-244990000,148672000,0.3819890640421425,"Fresno, California",3.005511260533849,0.288051657074721,15.606563915913071,-0.32899268187688335,-228.85138168904854,0.3204529161026402,0.20622247678239466,-0.1460488156770081,0.6908934381976566,36.7295295,-119.70886126075588,-28.66551500755776
CA,California,42691,0664000,2022,"Sacramento, CA",General Purpose,2743937000,128735000,5596218000,1735512000,57146000,1213239000,1481024000,-138767000,524924,75311,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Sacramento/CA%20Sacramento%202022.pdf,139050000,740591000,196805000,0.4903198910406993,"Sacramento, California",CA,42691,2020,General Purpose,3150700000,246136000,5307633000,0,47131000,1189043000,1344723000,0,524924,75311,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Sacramento/CA%20Sacramento%202020.pdf,-90456000,1046941000,248904000,0.5936167779497942,"Sacramento, California",-12.910242168407022,-0.4769761432703871,2.034913792015932,-0.2093136309581204,-29.2614388012314,0.10135990832312677,0.05437169450110812,-0.17401274820071097,2.5372114619262405,38.5810606,-121.493895,-16.987525538594426
CA,California,31784,0643000,2022,"Long Beach, CA",General Purpose,4933926000,372234000,9852454000,1421222000,227549000,3682388000,2485542000,-267623000,466775,73905,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Long%20Beach/CA%20Long%20Beach%202022.pdf,-1569080000,1305415000,4165000,0.5007814296823918,"Long Beach, California",CA,31784,2020,General Purpose,5018598000,1073425000,11068728000,1743929000,0,1771011000,1908857000,-513529000,466775,73905,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Long%20Beach/CA%20Long%20Beach%202020.pdf,-935579000,1205496000,9655000,0.45340331788801747,"Long Beach, California",-1.687164423211423,-0.6532277522882363,107.92575540185803,-0.5686172967374418,8.28862144710559,0.3021101109197808,-0.1098838095940202,0.1044944091169529,-0.6771218678486798,33.7690164,-118.191604,-18.15524143315117
CA,California,31740,0653000,2022,"Oakland, CA",General Purpose,3521415000,479424000,4340474000,1889103000,58975000,1099623000,1554513000,0,440660,82236,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Oakland/CA%20Oakland%202022.pdf,-24534000,1215883000,617469000,0.8112973375718873,"Oakland, California",CA,31740,2020,General Purpose,3808291000,324048000,3706152000,0,57728000,1099603000,1318041000,0,440660,82236,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Oakland/CA%20Oakland%202020.pdf,-105610000,1717434000,598569000,1.0275593121922684,"Oakland, California",-7.532932751199947,0.4794845208117316,0.0018188382534423788,0.031575307107451274,-29.203509421613873,0.17941171784489254,0.17115380049172296,-0.21046179237964607,0.7676924533661585,37.8044557,-122.271356,-11.236151022374301
CA,California,43912,0603526,2022,"Bakersfield, CA",General Purpose,685488021,118029399,2980754114,688337147,22453669,597392722,678333688,0,404440,66666,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Bakersfield/CA%20Bakersfield%202022.pdf,-37088433,315292536,15586823,0.2299713410711743,"Bakersfield, California",CA,43912,2020,General Purpose,815271946,71337485,2785726117,0,20867857,555563131,595392599,-85669204,404440,66666,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Bakersfield/CA%20Bakersfield%202020.pdf,-31508017,441885448,56993372,0.2926604812385438,"Bakersfield, California",-15.919096153959897,0.6545214482960816,7.5292237130112944,-0.7265151639036203,-28.648355037027606,0.1393048706673628,0.07000975286473218,-0.2142043227089222,-0.17711098734014266,35.3738712,-119.0194639,-24.16740029566633
CA,California,31819,0602000,2022,"Anaheim, CA",General Purpose,3020278000,203874000,5423174000,1199330000,24459000,1190024000,1451581000,0,346825,81747,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Anaheim/CA%20Anaheim%202022.pdf,57683000,510106000,107149000,0.5569207257594907,"Anaheim, California",CA,31819,2020,General Purpose,3138253000,169081000,5052277000,0,24248000,1274296000,1248256000,0,346825,81747,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Anaheim/CA%20Anaheim%202020.pdf,-195121000,790303000,161507000,0.6211561638445398,"Anaheim, California",-3.7592571408360005,0.20577711274477914,-6.613220162348465,-0.3365674552805761,-35.45437635944695,0.16288726030557835,0.07341184974616395,-0.10341270331678722,1.295626816180729,33.8347516,-117.911732,-11.642276962942042
CA,California,31865,0675000,2022,"Stockton, CA",General Purpose,971707056,117723024,2847898754,1003661045,13395107,457492661,674229264,0,320810,69844,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Stockton/CA%20Stockton%202022.pdf,99013579,321906746,0,0.34120140494292306,"Stockton, California",CA,31865,2020,General Purpose,1157881712,53832392,2520974098,0,11960578,474735560,547984345,0,320810,69844,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Stockton/CA%20Stockton%202020.pdf,19416393,536028393,67397341,0.45929932914368243,"Stockton, California",-16.078901158083063,1.18684363867762,-3.6321060507875162,-1,-39.94595245255973,0.23038052118076474,0.12968187823086472,-0.25712627192585086,4.099483668259084,37.9577016,-121.2907796,-21.527996943673905
CA,California,31836,0662000,2022,"Riverside, CA",General Purpose,2363237000,219146000,4873976000,1204842000,41849000,874383000,1046226000,0,315014,76558,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Riverside/CA%20Riverside%202022.pdf,-47303000,-140293000,48770000,0.484868411333991,"Riverside, California",CA,31836,2020,General Purpose,2997462000,113462000,4393462000,0,39333000,930318000,933925000,0,315014,76558,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Riverside/CA%20Riverside%202020.pdf,-109855000,599576000,50004000,0.682255132740422,"Riverside, California",-21.158733621977525,0.9314484144471277,-6.0124602555255295,-0.024678025757939363,-123.39870174923612,0.12024627245228471,0.10937024150886021,-0.2893151138542345,0.5694051249374175,33.7219991,-116.0372472,-15.951862863976878
CA,California,31826,0669000,2022,"Santa Ana, CA",General Purpose,1403334770,243770826,1944848799,644767731,30503911,547814505,657316282,-4768,310555,80265,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Ana/CA%20Santa%20Ana%202022.pdf,-134269049,498809640,54557539,0.7215649724140843,"Santa Ana, California",CA,31826,2020,General Purpose,1014020583,110846149,1662491327,0,28343832,526873913,529268827,0,310555,80265,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Ana/CA%20Santa%20Ana%202020.pdf,-108451235,666536096,52935451,0.6099403747445835,"Santa Ana, California",38.39312470839658,1.199181732511068,3.974497784634101,0.030642753945744224,-25.163896900191286,0.24193273525251469,0.1698399669305463,0.1830090321799805,-0.2380591977583289,33.7494951,-117.8732213,-12.873112635582942
CA,California,31829,0636770,2022,"Irvine, CA",General Purpose,202113000,117706000,3280729000,1347425000,18488000,393434000,395481000,NA,307665,105774,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Irvine/CA%20Irvine%202022.pdf,-115659000,36051000,8475000,0.061606124736300984,"Irvine, California",CA,31829,2020,General Purpose,247393000,57504000,3254585000,0,17328000,397833000,380188000,0,307665,105774,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Irvine/CA%20Irvine%202020.pdf,-75149000,146569000,8219000,0.07601368530857237,"Irvine, California",-18.30286224751711,1.0469184752365053,-1.1057403483371162,0.031147341525733056,-75.40339362348108,0.04022483613370227,0.008032975018320308,-0.1895390351590622,-0.5390623960398675,33.6856969,-117.8259819,8.312708669003207
