"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"16","GA","Georgia",1265711,"13000",2020,"georgia","General Purpose",42898593000,14141466000,7896789000,115550000,5624423000,253962000,67357098000,0,682156000,65496453000,65986964000,-10629743000,11199640000,0,329604000,10711937,7933986,74.0669729426354,66507,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/State%20of%20Georgia/GA%20State%20of%20Georgia%202020.pdf"
"17","OR","Oregon",37525,"41000",2020,"oregon","General Purpose",24144226000,5709342000,3852015000,0,127778000,44077000,43587406000,0,298326000,35844029000,35294208000,0,11779762000,70003000,304323000,4237291,3410984,80.4998329107328,71441,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OR/State%20of%20Oregon/OR%20State%20of%20Oregon%202020.pdf"
"18","HI","Hawaii",71062,"15000",2020,"hawaii","General Purpose",28421578000,2708675000,7226416000,0,6977722000,0,23375459000,0,262056000,15459241000,14507982000,0,10028955000,0,600000000,1455273,1252450,86.0630081957244,85547,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/HI/State%20of%20Hawaii/HI%20State%20of%20Hawaii%202020.pdf"
"19","ME","Maine",33873,"23000",2020,"maine","General Purpose",8836880000,1208211000,2391652000,8502000,2445774000,0,9578288000,0,62720000,10662879000,10625590000,0,1035733000,320193000,0,1362341,526309,38.6321813853764,64823,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ME/State%20of%20Maine/ME%20State%20of%20Maine%202020.pdf"
"20","IA","Iowa",1036991,"19000",2020,"iowa","General Purpose",9758958000,3087152000,1078093000,0,456472000,0,29784820000,0,549822000,25493401000,26729140000,0,3190775000,0,0,3190372,2014831,63.1535411734505,65645,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IA/State%20of%20Iowa/IA%20State%20of%20Iowa%202020.pdf"
"21","SC","South Carolina",38235,"45000",2020,"south carolina","General Purpose",15642105000,5251471000,4024660000,0,3135126000,0,39092758000,0,211882000,29178232000,31800560000,0,1971160000,0,96170000,5118429,3477869,67.948030888408,59447,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/SC/State%20of%20South%20Carolina/SC%20State%20of%20South%20Carolina%202020.pdf"
"22","ID","Idaho",32673,"16000",2020,"idaho","General Purpose",4075441000,1895009000,301989000,0,117490000,0,19585991000,0,81981000,10795096000,11883210000,1749855000,899750000,0,485099000,1839092,1273437,69.2421752742909,66318,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ID/State%20of%20Idaho/ID%20State%20of%20Idaho%202020.pdf"
"23","PA","Pennsylvania",37697,"42000",2020,"pennsylvania","General Purpose",79810308000,24454368000,15342810000,0,17054721000,0,80321348000,0,868402000,110869726000,109336712000,-49408849000,15914699000,0,0,13002689,9941070,76.4538903458512,68931,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Commonwealth%20of%20Pennsylvania/PA%20Commonwealth%20of%20Pennsylvania%202020.pdf"
"24","IL","Illinois",1267369,"17000",2020,"illinois","General Purpose",263404811000,25778585000,143346569000,0,58996493000,0,59058929000,0,401594000,97869427000,91181741000,-219366559000,31531895000,0,1545193000,12812545,11137590,86.9274774306482,72215,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/State%20of%20Illinois/IL%20State%20of%20Illinois%202020.pdf"
"25","RI","Rhode Island",38202,"44000",2020,"rhode island","General Purpose",9830412000,2218816000,3673476000,0,425747000,7238000,8970164000,0,91960000,10307636000,10232146000,0,3138775000,0,10000000,1097371,999191,91.0524987265111,73324,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/RI/State%20of%20Rhode%20Island/RI%20State%20of%20Rhode%20Island%202020.pdf"
"26","KS","Kansas",33447,"20000",2020,"kansas","General Purpose",9981002000,2543938000,1904166000,0,49824000,0,21604949000,0,119287000,17141566000,17602156000,-2117921000,4348467000,0,8314000,2937847,2124059,72.2990387626452,64128,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KS/State%20of%20Kansas/KS%20State%20of%20Kansas%202020.pdf"
"27","KY","Kentucky",90208,"21000",2020,"kentucky","General Purpose",41600354000,3746164000,25870784000,0,3017085000,0,34787679000,0,266573000,30955535000,33658968000,-37570773000,5973758000,404919000,691490000,4505893,2644856,58.6984524070561,55532,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Commonwealth%20of%20Kentucky/KY%20Commonwealth%20of%20Kentucky%202020.pdf"
"28","SD","South Dakota",38382,"46000",2020,"south dakota","General Purpose",2421365000,1637259000,0,2196000,0,0,9716432000,0,99061000,4629531000,5001397000,0,498066000,0,0,886677,507347,57.2195649550508,66843,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/SD/State%20of%20South%20Dakota/SD%20State%20of%20South%20Dakota%202020.pdf"
"29","MS","Mississippi",95852,"28000",2020,"mississippi","General Purpose",13060607000,2672089000,3151705000,0,193113000,0,27973925000,0,126506000,20046462000,20501316000,0,4686238000,0,1080809000,2961288,1370790,46.2904711106248,48871,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/State%20of%20Mississippi/MS%20State%20of%20Mississippi%202020.pdf"
"30","TN","Tennessee",38453,"47000",2020,"tennessee","General Purpose",9697381000,4732523000,988950000,28730000,1272523000,0,50608538000,0,325088000,37393093000,39355553000,0,1949715000,0,120996000,6910786,4577282,66.2333667108485,59698,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TN/State%20of%20Tennessee/TN%20State%20of%20Tennessee%202020.pdf"
