"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"47","AR","Arkansas",110925,"0528360",2020,"gravette",109887,109887,2320614,0,0,0,0,0,132778,4676650,4384506,3543,NA
"48","AR","Arkansas",101765,"0528510",2020,"greenbrier",5637441,329046,0,0,0,0,0,0,76405,2549223,2611118,5713,NA
"49","AR","Arkansas",101764,"0528600",2020,"green forest",36771,36771,2582220,0,0,0,0,0,0,2561691,2896134,2976,NA
"50","AR","Arkansas",110998,"0528780",2020,"greenwood",545364,545364,2047902,0,0,0,0,0,324226,9822716,15777303,9520,NA
"51","LA","Louisiana",96876,"2200100",2020,"abbeville",39767602,1237305,11449131,0,22740704,0,0,0,694764,24848402,23955927,11194,NA
"52","OK","Oklahoma",125550,"4042200",2020,"lehigh",595197,0,0,0,0,0,0,0,0,341414,196537,272,NA
"53","KY","Kentucky",33588,"2154642",2020,"murray",109314367,5001013,29958875,0,7673259,0,0,0,782391,36762350,37954569,17305,NA
"54","OK","Oklahoma",125544,"4042700",2020,"lexington",3352112,104482,26991,0,0,0,0,0,79568,3447284,3258826,2011,NA
"55","AR","Arkansas",110928,"0530460",2020,"harrison",1410557,1410557,11613848,0,0,0,0,0,0,18653633,26440090,13069,NA
"56","OK","Oklahoma",125614,"4043150",2020,"lindsay",4483484,769069,1475546,542748,111339,0,0,0,162001,9065930,9510359,2861,NA
"57","LA","Louisiana",33807,"2200975",2020,"alexandria",257523939,10864174,42151554,0,21485162,0,0,0,5435917,168243205,174551338,45271,NA
"58","MI","Michigan",1238841,"2669520",2020,"roosevelt park",8619695,309221,3190971,0,1634719,0,0,0,62130,5651729,4730348,4171,NA
"59","AR","Arkansas",103874,"0531090",2020,"heber springs",212620,212620,3163481,0,0,0,0,0,154415,6542823,7582702,6967,NA
"60","OK","Oklahoma",125533,"4043750",2020,"lone grove",9747038,12156,0,0,0,0,0,0,0,3616211,3399763,4992,NA
"61","LA","Louisiana",75044,"2203985",2020,"baker",27350703,3771289,12796398,0,6548374,0,0,0,896409,18795132,15767288,12479,NA
"62","KY","Kentucky",33604,"2160852",2020,"pikeville",47995433,2221629,14065471,0,3549458,0,0,0,0,35458076,45269455,7755,NA
"63","OK","Oklahoma",125781,"4045750",2020,"madill",1248464,150100,0,0,0,0,0,0,0,5545594,5629449,3905,NA
"64","AR","Arkansas",96071,"0514260",2020,"clinton",0,0,0,0,0,0,0,0,0,0,0,2505,NA
"65","LA","Louisiana",100782,"2204685",2020,"bastrop",34221596,784278,8303209,0,15999705,0,0,0,153031,13973728,14146302,9676,NA
