"","state.abb","state.name","geo_id","id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","median_hh_income_21"
"50","FL","Florida","1230000",96403,2022,"hialeah",938926163,213092488,360568124,152072925,5522808,0,306166456,359510455,223123,46674
"51","OH","Ohio","3977000",98182,2022,"toledo",1755747000,286965000,42065000,246626000,0,16929000,520013000,681708000,270880,44150
"52","CA","California","0665000",31848,2022,"san bernardino",660674289,326502961,0,126966481,0,2546218,263036146,355468331,222068,65311
"53","TX","Texas","4817000",38701,2022,"corpus christi",1955699167,141067731,13937528,151263653,0,0,633795570,799660967,317863,59812
"54","NC","North Carolina","3712000",36713,2022,"charlotte",6901313000,422459000,351617000,683951000,0,19506000,2154485000,2673738000,874607,70869
"55","WA","Washington","5363000",39553,2022,"seattle",9298697000,996326000,537513000,786817000,324406000,0,4541941000,5619536000,737018,110781
"56","WI","Wisconsin","5548000",39884,2022,"madison",1169202369,76490,69016664,164087581,147384003,0,607341462,727021865,269769,67270
"57","MO","Missouri","2938000",43771,2022,"kansas city",5913070000,650718000,108427000,490036000,0,0,2045381000,2304874000,507971,63396
"58","CA","California","0664000",42691,2022,"sacramento",2743937000,740591000,196805000,128735000,0,0,1213239000,1481024000,524924,75311
"59","MO","Missouri","2965000",44598,2022,"st louis",3354252000,348807000,441033000,792369000,22299000,0,1054572000,1232944000,301574,49965
"60","AZ","Arizona","0446000",31634,2022,"mesa",4226428000,840814000,987614000,409619000,0,0,1240528000,1325532000,504300,69266
"61","AZ","Arizona","0412000",31633,2022,"chandler",937633085,212540490,81921795,82806731,0,0,518724748,576771055,276010,94613
"62","MN","Minnesota","2743000",1036390,2022,"minneapolis",2301573000,872688000,48422000,279833000,0,0,1116621000,1296545000,429985,69397
"63","NV","Nevada","3260600",35523,2022,"reno",1014653647,173851338,133546458,96793065,0,0,379807610,447079345,264147,67478
"64","TX","Texas","4837000",47012,2022,"irving",1295144867,86682386,17063616,96059019,90987916,0,438488241,561512341,256687,70340
"65","AZ","Arizona","0455000",31636,2022,"phoenix",14245771000,4643155000,178162000,1734722000,0,76657000,4586960000,5690209000,1608190,68435
"66","CA","California","0669088",31800,2022,"santa clarita",198521702,0,0,63054641,432938,2071568,210049560,322328316,228679,109336
"67","MA","Massachusetts","2507000",34032,2022,"boston",6757265000,1080235000,2310198000,722188000,0,0,4327037000,4587924000,675632,79283
"68","ID","Idaho","1608830",32682,2022,"boise",472982000,138187000,12226000,130517000,74689000,0,460846000,522556000,235712,70217
"69","IA","Iowa","1921000",71073,2022,"des moines",993840693,42649067,27681903,135295458,0,0,447465339,547257870,214125,60693
"70","AZ","Arizona","0427820",44287,2022,"glendale",1604194000,339191000,631000,97002000,0,7304000,523718000,683981000,248374,62910
"71","FL","Florida","1263000",32314,2022,"st petersburg",1372623906,21846061,261024918,120618798,63081265,0,625436126,709178492,258356,64141
"72","AZ","Arizona","0477000",31644,2022,"tucson",3361849981,1376887466,187936363,299609530,0,0,1294623454,1421464007,542656,50306
"73","CA","California","0666000",44032,2022,"san diego",7496904000,2164171000,429719000,825053000,0,0,3576546000,4030974000,1386960,93042
"74","CA","California","0602000",31819,2022,"anaheim",3020278000,510106000,107149000,203874000,0,0,1190024000,1451581000,346825,81747
"75","CA","California","0653000",31740,2022,"oakland",3521415000,1215883000,617469000,479424000,0,0,1099623000,1554513000,440660,82236
"76","NE","Nebraska","3128000",35447,2022,"lincoln",1675570342,74246000,28734000,183298989,0,0,859544947,1028904565,291105,62294
"77","TX","Texas","4824000",43166,2022,"el paso",2658808584,249896511,120299852,320617220,0,0,820918153,1054928417,678697,51241
"78","CA","California","0636770",31829,2022,"irvine",202113000,36051000,8475000,117706000,0,0,393434000,395481000,307665,105774
"79","CA","California","0649270",31838,2022,"moreno valley",242737682,54897196,5274815,72758179,0,0,232404427,289901317,208640,79840
"80","NY","New York","3663000",36037,2022,"rochester",1830117000,18097000,1147549000,386083000,24958000,0,788074000,833955000,211321,41980
"81","GA","Georgia","1304000",42897,2022,"atlanta",10576224000,619780000,884365000,543848000,0,0,2145173000,2842599000,498722,74107
"82","PA","Pennsylvania","4260000",42714,2022,"philadelphia",21025387000,5386419000,2156649000,3391914000,0,0,8888976000,10214282000,1603799,52899
"83","CA","California","0627000",31759,2022,"fresno",1588277000,0,99760000,267898000,805653000,0,927471000,1153001000,542252,61250
"84","CA","California","0644000",149487,2022,"los angeles",51289709000,4363649000,906744000,3799884000,4360069000,518993000,16555364000,19952927000,3898767,70372
"85","WA","Washington","5370000",39559,2022,"tacoma",2255596000,39926000,227442000,243345000,248402000,0,1185331000,1322919000,219175,77141
"86","CA","California","0675000",31865,2022,"stockton",971707056,321906746,65400233,117642532,0,0,457492661,674229264,320810,69844
"87","NY","New York","3651000",122258,2022,"new york",304335832000,42349466000,89525858000,37979586000,0,0,97409580000,107534861000,8804194,67997
"88","IN","Indiana","1825000",33221,2022,"fort wayne",1658417371,219498841,151689246,112730310,0,0,418294937,604024919,263914,54737
"89","NJ","New Jersey","3436000",108025,2022,"jersey city",254536148,60959025,1418603618,254536148,0,0,1296820965,1368636430,292754,81958
"90","NC","North Carolina","3755000",36728,2022,"raleigh",2373022529,129081538,205633329,253811684,0,0,812741116,1076150788,467762,74612
"91","CA","California","0667000",54175,2022,"city and county of san francisco",33104748000,341625000,3679684000,5633817000,2445792000,0,11211694000,13374941000,873959,121826
"92","WA","Washington","5367000",39566,2022,"spokane",826490515,0,0,36792571,102836353,93475431,614410420,678420161,228978,58714
"93","FL","Florida","1235000",32292,2022,"jacksonville",6540349000,2905810000,274269000,549157000,0,0,2198134000,2370769000,949616,58621
"94","MI","Michigan","2622000",34317,2022,"detroit",6229907262,1664015640,1476914,1297607679,72568602,0,2378614300,2402183395,639115,36140
"95","AL","Alabama","0137000",31569,2021,"huntsville",1361325111,222331632,72487230,80907197,0,0,466738158,597514829,215052,70757
"96","CA","California","0603526",43912,2021,"bakersfield",813093048,461426874,36512308,76830458,0,0,554930812,712186757,404440,66666
"97","TX","Texas","4835000",43770,2021,"houston",22569340000,1779562000,2629644000,718518000,0,0,4970640000,6339214000,2301572,55499
"98","TX","Texas","4829000",44101,2021,"garland",1739221826,11418246,87457328,175637389,0,0,710181427,788194393,246001,61607
"99","PA","Pennsylvania","4261000",43862,2021,"pittsburgh",2033199668,822015601,395364862,45437895,0,0,625367419,705998444,302958,57821
"100","OH","Ohio","3918000",44337,2021,"columbus",6954370000,1356638000,160591000,347319000,0,40802000,1836343000,2400006000,905839,58202
"101","MD","Maryland","2404000",33980,2021,"baltimore",9542603000,2164643000,527869000,1058738000,0,0,2998668000,3313989000,585693,54652
"102","FL","Florida","1253000",148141,2021,"orlando",2074858241,290159850,353133200,379774984,0,0,913483486,1011946309,307683,54167
"103","VA","Virginia","5157000",230389,2021,"norfolk",2458465093,389045271,114305792,211590385,0,0,799169076,799186769,238001,58591
"104","TX","Texas","4845000",38693,2021,"lubbock",2018728188,157803158,172402112,131144266,0,0,719452456,828278483,257157,54747
"105","VA","Virginia","5116000",230275,2021,"chesapeake",1160016852,215077882,40178800,97609209,0,9933717,787954525,917909038,249415,88815
"106","VA","Virginia","5167000",230420,2021,"richmond",2728454001,399778235,120143312,273104411,0,0,1181729734,1244200179,226618,51770
"107","CO","Colorado","0804000",31994,2021,"aurora",1283387916,106801109,21037880,157150704,16282358,0,739290244,1130543781,386324,71647
"108","FL","Florida","1230000",96403,2021,"hialeah",1108399492,301647421,471720312,108782575,3738042,0,380687365,343352532,223123,46674
"109","VA","Virginia","5182000",230476,2021,"virginia beach",2350727399,525466635,94167390,155761720,0,0,1615782519,1736892251,459471,81634
"110","OH","Ohio","3977000",98182,2021,"toledo",1734470000,338517000,40350000,164999000,0,9475000,457353000,587488000,270880,44150
"111","CA","California","0665000",31848,2021,"san bernardino",764831424,473069693,4870958,81630898,0,0,270287703,306944767,222068,65311
"112","NC","North Carolina","3775000",36708,2021,"winston-salem",1115603455,80074722,0,81592368,0,12099186,386916855,499906171,249562,54228
"113","TX","Texas","4817000",38701,2021,"corpus christi",1936597928,203244403,10392386,145981390,0,0,622511420,721689677,317863,59812
"114","NV","Nevada","3251800",35520,2021,"north las vegas",855709552,219150533,109107152,71329348,0,0,420093691,576778514,259520,67035
"115","TN","Tennessee","4748000",38563,2021,"memphis",4210272000,4511000,809284000,504065000,0,0,2581642000,2916906000,631539,44317
"116","OK","Oklahoma","4055000",125837,2021,"oklahoma city",2377773000,408312000,443682000,96685000,0,0,999429000,1029908000,681084,59214
"117","AZ","Arizona","0465000",31637,2021,"scottsdale",1719985000,421583000,1923000,106185000,0,0,644992000,1088738000,241339,99097
"118","CA","California","0662000",31836,2021,"riverside",2634527000,229566000,52276000,169564000,0,0,966751000,987247000,315014,76558
"119","CA","California","0669000",31826,2021,"santa ana",1135383347,702444738,55210904,184478605,0,0,574661213,622765158,310555,80265
"120","CA","California","0643000",31784,2021,"long beach",4381212000,527875000,8785000,474323000,0,0,1703438000,2135378000,466775,73905
"121","CO","Colorado","0816000",31999,2021,"colorado springs",3971629197,313149000,66775000,358382576,18791321,0,1658232652,1929923126,479016,74579
"122","FL","Florida","1271000",32297,2021,"tampa",1566384797,209150745,75519951,150492379,0,0,831831124,1082816382,384661,63404
"123","IL","Illinois","1714000",32795,2021,"chicago",70203052000,33696585000,2000017000,5590602000,0,0,11608977000,12909108000,2746352,66576
"124","NC","North Carolina","3712000",36713,2021,"charlotte",6817711000,1019687000,227624000,495567000,0,42758000,2212176000,2482891000,874607,70869
"125","NE","Nebraska","3137000",35443,2021,"omaha",3145801379,814257649,512272582,196958885,0,0,833472066,1068787063,491743,62948
"126","NV","Nevada","3240000",35519,2021,"las vegas",1828903547,873504531,55725322,148864241,0,0,1026067641,1217540116,644866,59746
"127","NV","Nevada","3231900",35518,2021,"henderson",1084887438,416549579,89339854,104643888,0,0,594070606,708532059,317310,77924
"128","NC","North Carolina","3719000",36706,2021,"durham",1021315269,114942996,164490386,94664449,0,0,477630333,587850585,283588,71343
"129","NY","New York","3684000",36072,2021,"yonkers",5070868554,120899468,3814099761,271047115,0,0,1401217720,1276012068,211585,66395
"130","OH","Ohio","3916000",36922,2021,"cleveland",3850423000,786813000,77160000,590787000,0,35117000,1299164000,1730123000,372632,35562
"131","OR","Oregon","4159000",37572,2021,"portland",9676620990,5447870710,95444851,362782129,0,2403478,2315364498,2400174810,652518,79057
"132","TX","Texas","4819000",38669,2021,"dallas",14023129000,5702885000,266160000,599300000,0,0,2491639000,3440643000,1304317,57995
"133","CA","California","0613392",31856,2021,"chula vista",1006423881,351965194,26787344,68079182,0,0,335053850,410553502,275500,91949
"134","TX","Texas","4827000",38708,2021,"fort worth",6485913000,2359866000,903895000,426042000,0,0,2043838000,2229707000,918937,68235
"135","TX","Texas","4858016",38665,2021,"plano",812220663,55021601,6188875,74490302,14036741,0,580619556,638485364,285469,95002
"136","TX","Texas","4805000",38712,2021,"austin",15516665000,2178003000,4346367000,593022000,0,0,4627438000,4436046000,961900,79542
"137","TX","Texas","4841464",40881,2021,"laredo",1476807436,252346173,206576960,99013438,1326670,0,476043948,561946459,255212,52438
"138","WI","Wisconsin","5553000",39892,2021,"milwaukee",4761383000,927864000,1680554000,365916000,0,0,1580425000,1293829000,577225,46637
"139","CA","California","0664000",42691,2021,"sacramento",3159764000,1069704000,244249000,191357000,0,0,1270924000,1404535000,524924,75311
"140","OK","Oklahoma","4075000",37344,2021,"tulsa",1310463000,307741000,4600000,70853000,0,0,594013000,703102000,413123,51008
"141","CA","California","0648354",31888,2021,"modesto",924422665,364250642,30427400,135118423,0,0,390341858,511326020,218467,70469
"142","KS","Kansas","2079000",33468,2021,"wichita",1500033422,15602000,44218000,246530158,0,0,588265268,713501200,397547,56293
"143","FL","Florida","1245000",398462,2021,"miami",3072883367,1034749059,958411935,220635829,0,0,1227209415,1105091240,442260,48789
"144","NJ","New Jersey","3451000",35652,2021,"newark",2271924473,0,0,0,0,0,1114111829,1141989198,311552,43242
"145","OH","Ohio","3915000",36933,2021,"cincinnati",3961053000,2305754000,74567000,135140000,0,63751000,1497880000,1274444000,309561,42733
"146","NM","New Mexico","3502000",35917,2021,"albuquerque",2493805208,904300000,314556997,192010899,0,0,1093688347,1224799549,564581,58512
"147","NC","North Carolina","3728000",36710,2021,"greensboro",1237340836,114198568,124450254,132626016,0,0,526837868,554574152,299101,51825
"148","WA","Washington","5363000",39553,2021,"seattle",9142892000,1198219000,654541000,615595000,630536000,0,4241488000,5149807000,737018,110781
"149","WI","Wisconsin","5548000",39884,2021,"madison",1147484321,78674,84581716,144028203,112995852,0,568838409,660519925,269769,67270
"150","MO","Missouri","2938000",43771,2021,"kansas city",6184292000,1093020000,93377000,442597000,0,0,2025590000,1927054000,507971,63396
"151","MO","Missouri","2965000",44598,2021,"st louis",3662613000,616351000,654613000,523453000,0,0,1170808000,1101042000,301574,49965
"152","CA","California","0626000",96340,2021,"fremont",687053116,409107867,81415258,31958426,0,0,330097164,370266091,230493,155968
