"","state.abb","state.name","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"1","CA","California","06037",2020,"los angeles county",52768946000,11560668000,25921499000,5617736000,0,0,28398515000,29454082000,10014042,9924789,0.991090481344684,77356
"2","IL","Illinois","17031",2020,"cook county",21176754633,13580982590,1900989370,1385238463,0,0,5655529321,6061200953,5275522,5272651,0.999452188884514,72063
"3","TX","Texas","48201",2020,"harris county",8947139580,470596852,2733774269,660408855,134778,0,3599520889,4137326161,4731129,4677507,0.988662786703853,63539
"4","AZ","Arizona","04013",2020,"maricopa county",2834203888,1876917812,3209316,553067960,0,16637315,2226634981,2499817863,4420574,4318689,0.976953414131397,76230
"5","CA","California","06073",2020,"san diego county",6570540000,3790434000,106033000,945099000,0,0,5176994000,5306058000,3298635,3153671,0.956053627046832,90756
"6","CA","California","06059",2020,"orange county",7044193000,4125372000,328412000,890891000,0,0,4484712000,4801992000,3186979,3179027,0.997501717138026,100210
"7","FL","Florida","12086",2020,"miami-dade county",27654208000,4414212000,692290000,1937708000,0,0,10059397000,9453906000,2701762,2678436,0.991364540317503,58905
"8","TX","Texas","48113",2020,"dallas county",942867000,156475000,228011000,285802000,0,0,1018668000,1062432000,2611491,2598426,0.994217419368909,63549
"9","CA","California","06065",2020,"riverside county",8461146000,3517404000,60350000,1486004000,0,143000,5945935000,5091044000,2418177,2285826,0.945265147207513,78690
"10","WA","Washington","53033",2020,"king county",7102405000,451611000,106619000,890960000,76450000,0,4263206000,5016201000,2269667,2194904,0.9670565169022,110351
"11","NV","Nevada","32003",2020,"clark county",11263235204,2971365931,683532382,925452056,0,0,4770538170,5146232160,2265469,2236714,0.987310750438873,63735
"12","CA","California","06071",2020,"san bernardino county",4697075000,2236518000,8506000,855666000,0,0,4628342000,5011731000,2181662,2064249,0.94618532544574,74218
"13","TX","Texas","48439",2020,"tarrant county",908700000,227323000,184230000,186900000,0,0,717381000,816457000,2110608,2084718,0.987718417162567,71399
"14","TX","Texas","48029",2020,"bexar county",3027051150,117083764,216578397,188401051,0,0,874696720,869968776,2009322,1914732,0.952923470779227,63014
"15","FL","Florida","12011",2020,"broward county",7728588000,1835950000,315136000,587100000,0,0,3040683000,3660292000,1944376,1944223,0.999921825779492,65536
"16","CA","California","06085",2020,"santa clara county",10454942000,4369993000,1193745000,1698043000,0,0,6863789000,7052128000,1936274,1910722,0.98681116524184,141161
"17","MI","Michigan","26163",2020,"wayne county",1812948420,547323476,91675340,331168554,0,0,776082084,1084737794,1793549,1777476,0.991031807672,52644
"18","CA","California","06001",2020,"alameda county",4327169000,1785396000,173413000,921772000,0,0,3251961000,3470053000,1682331,1674100,0.995094370800896,108971
"19","CA","California","06067",2020,"sacramento county",5697591000,1843333000,135237000,359159000,0,0,3453455000,3562287000,1585046,1547026,0.976007772600951,79611
"20","NY","New York","36103",2020,"suffolk county",12322349989,1104493609,6901030000,614044114,0,0,3579014653,3589705708,1525936,1495948,0.980358079060501,112681
"21","FL","Florida","12099",2020,"palm beach county",4197746860,1867489307,447740399,398776095,0,0,2768867581,2731751287,1492198,1479525,0.991511810485387,70024
"22","FL","Florida","12057",2020,"hillsborough county",3229923000,1266841000,116670000,478744000,0,0,2324477000,2543904000,1459773,1406155,0.963276890342398,65818
"23","FL","Florida","12095",2020,"orange county",3034626323,1287393180,42748723,272763331,0,171947,2545112534,2730260273,1429901,1396338,0.97652296511384,64579
"24","NY","New York","36059",2020,"nassau county",14455591000,918259000,6311284000,831739000,0,0,3804405000,3431196000,1395777,1389785,0.995709190742914,125118
"25","OH","Ohio","39049",2020,"franklin county",1539152000,485833000,330467000,119288000,0,1265000,1358038000,1407426000,1323800,1305636,0.986273678867086,66056
"26","TX","Texas","48453",2020,"travis county",2724331272,172394620,1125420726,145211872,0,0,937768731,990562635,1290209,1224251,0.948893494591486,84519
"27","MN","Minnesota","27053",2020,"hennepin county",3494379106,839268166,145819803,473163198,0,0,3473923249,3366383989,1281568,1250960,0.976119041952613,84220
"28","MI","Michigan","26125",2020,"oakland county",741376009,22497565,0,321853855,0,384338239,824504475,970737618,1274395,1203765,0.944577623107435,86597
"29","OH","Ohio","39035",2020,"cuyahoga county",2415923380,574879699,392822866,133324213,0,391753,1491968669,1522380010,1264813,1257664,0.994344636417758,55250
"30","PA","Pennsylvania","42003",2020,"allegheny county",3045677641,1648275854,57453399,301434463,0,0,2192761099,2005108266,1250585,1220381,0.9758535653114,68874
"31","UT","Utah","49035",2020,"salt lake county",958229946,75995899,95202533,163875936,0,0,1228904482,1332987995,1185236,1177043,0.993085776865068,80676
"32","CA","California","06013",2020,"contra costa county",2611861000,677976000,523933000,556090000,0,236000,3423666000,3738705000,1165927,1154266,0.989998516202129,110595
"33","VA","Virginia","51059",2020,"fairfax county",7213251402,1838029525,136090113,602285356,0,0,5533259664,5484428195,1150305,1132574,0.984582403510709,133845
"34","NC","North Carolina","37183",2020,"wake county",3533852433,115220710,415753783,289701442,1917781,0,1712110168,1689602194,1129393,1071162,0.94842616941589,91558
"35","NC","North Carolina","37119",2020,"mecklenburg county",2678783023,137831581,514883109,237829916,1320744,0,1863619083,1869490833,1115526,1106063,0.991556116548721,75138
"36","GA","Georgia","13121",2020,"fulton county",3257955000,333578000,1675472000,98554000,0,0,1107016000,1134497000,1066702,1059965,0.993676819379213,82820
"37","TX","Texas","48085",2020,"collin county",665516189,0,0,116609392,32523900,0,380118732,451872776,1066465,999005,0.938504319071083,102119
"38","MD","Maryland","24031",2020,"montgomery county",6415638072,106518934,825636740,808532471,0,0,4841330406,5082707410,1062054,1033604,0.9732058704726,112352
"39","AZ","Arizona","04019",2020,"pima county",1970239000,776192000,4058000,171786000,0,4588000,1079855000,1188854000,1043434,951173,0.911580331463544,60604
"40","CA","California","06019",2020,"fresno county",2161228000,1054510000,0,257422000,0,0,1687732000,1757231000,1008650,895029,0.88734987418877,63140
"41","NY","New York","36119",2020,"westchester county",6973518018,498291015,4264402132,585376212,0,0,2785455907,2636441581,1004445,958924,0.954669040088326,109131
"42","MO","Missouri","29189",2020,"st louis county",1099837660,324443093,0,161735874,0,0,920256114,870844379,1004310,990523,0.986453877754264,72507
"43","IN","Indiana","18097",2020,"marion county",873586220,114023647,15112759,23965076,0,0,346101589,348954336,977213,968609,0.991205512058395,58737
"44","MD","Maryland","24033",2020,"prince georges county",7876190727,1828515183,2063326398,553578380,0,0,2732961481,2497217158,967194,943654,0.975654491672362,89689
"45","FL","Florida","12103",2020,"pinellas county",1957358812,710305897,697335520,271625819,0,0,1441761042,1558505792,959103,957280,0.998095103048982,61851
"46","GA","Georgia","13135",2020,"gwinnett county",1455596,213317,39204,201771,0,0,1325535,1697363,957027,952537,0.995271988648593,75021
"47","NJ","New Jersey","34003",2020,"bergen county",1293974943,458269025,1209601242,0,0,0,774960411,813424414,955746,954575,0.99878940958344,104777
"48","NY","New York","36029",2020,"erie county",3025657000,289687000,1345295000,237233000,0,0,1970097000,1883843000,954244,855868,0.896914390150864,63014
"49","WI","Wisconsin","55079",2020,"milwaukee county",2876921000,594769000,1415115000,122753000,0,0,1044498000,1171061000,939495,936887,0.997230409296969,56417
"50","IL","Illinois","17043",2020,"dupage county",476399747,165805602,13632860,113741366,0,0,500477128,558287578,932877,931125,0.998121938905129,99536
"51","TN","Tennessee","47157",2020,"shelby county",1845498562,571656496,0,185322233,0,18933000,1310066504,1216535173,929722,898107,0.965972353680153,54931
"52","WA","Washington","53053",2020,"pierce county",758885000,74544000,87223000,91501000,25299000,0,858400000,938767000,921137,858662,0.932183296603085,85492
"53","CA","California","06029",2020,"kern county",2747291000,1804165000,42679000,227726000,0,0,1845376000,1848241000,909244,787826,0.866471264304608,57926
"54","TX","Texas","48121",2020,"denton county",920520035,43366444,124544261,74805984,0,0,358519043,417144223,906405,841126,0.927962913521516,98027
"55","MI","Michigan","26099",2020,"macomb county",588170168,0,110683716,180814373,84215482,0,626031609,838603717,881219,852930,0.967900074555983,67646
"56","TX","Texas","48215",2020,"hidalgo county",669328010,47598461,47475188,146732237,0,0,629203305,639773050,870796,793236,0.910947758391605,44260
"57","TX","Texas","48141",2020,"el paso county",422205749,108703516,48906739,51725969,0,0,383317429,382317073,865655,830826,0.95976350910349,50983
"58","NJ","New Jersey","34023",2020,"middlesex county",30887865,177540900,1171909109,30887865,0,0,670746438,689147555,863183,854733,0.990234741566473,98992
"59","NJ","New Jersey","34013",2020,"essex county",1244720579,0,0,0,0,0,970983653,1008216197,862782,863609,0.999862225144953,66191
"60","PA","Pennsylvania","42091",2020,"montgomery county",660085418,83324020,0,111189435,0,0,728547177,808381108,856559,827974,0.966634872564803,102648
"61","MD","Maryland","24005",2020,"baltimore county",8640980000,1831608000,1696611000,461723000,0,0,3473559000,3167797000,854554,793614,0.928708595903035,80159
"62","CA","California","06111",2020,"ventura county",2147171000,677172000,131699000,476098000,0,1713000,2098094000,2164226000,843843,815432,0.966331414729991,95819
"63","OH","Ohio","39061",2020,"hamilton county",2670799000,741809000,218552000,189713000,17322000,0,1430020000,1445009000,830625,810853,0.976179784479178,64087
"64","WA","Washington","53061",2020,"snohomish county",658828081,64783002,4929447,129803339,21308309,0,770069215,854744997,827947,730291,0.882039767765717,99650
"65","TX","Texas","48157",2020,"fort bend county",1449434641,47941506,597396893,155833372,0,0,604058894,759862848,822779,783302,0.9520199227253,98070
"66","OR","Oregon","41051",2020,"multnomah county",1265422000,581413000,121091000,170272000,0,0,1357839000,1373076000,815429,804977,0.987183417787959,77851
"67","OK","Oklahoma","40109",2020,"oklahoma county",407711309,11866832,341340034,26993632,0,0,143243674,201157773,796567,735843,0.924086892747886,57890
"68","KY","Kentucky","21111",2020,"jefferson county",2335363514,1158168356,295693343,84027033,0,0,968529820,989561189,782956,770185,0.98367240593178,60636
"69","CA","California","06077",2020,"san joaquin county",2227446646,1584683469,129969434,257288477,0,0,1684207695,1759228543,779227,718832,0.922486599001839,79598
"70","GA","Georgia","13067",2020,"cobb county",1816539766,667140390,178505026,201495859,0,0,1083522938,1224138472,766160,766109,0.99994779083442,87532
"71","CA","California","06081",2020,"san mateo county",1979736000,582014000,93292000,577795000,0,0,1925470000,2201904000,764432,751407,0.982948346637155,131151
"72","GA","Georgia","13089",2020,"dekalb county",2814715000,845083000,611429000,235264000,0,0,1189813000,1228257000,764386,763175,0.998420946594765,70756
"73","FL","Florida","12071",2020,"lee county",2530890000,585079000,807852000,204592000,0,0,1281787000,1299023000,760820,730937,0.960720115874672,66426
"74","NY","New York","36055",2020,"monroe county",2108989000,271901000,608043000,328043000,0,0,1663163000,1647068000,759444,697775,0.918798382498752,66003
"75","CO","Colorado","08041",2020,"el paso county",802181693,485244387,138991599,36876174,0,0,529071537,543782241,730402,655526,0.897495190958317,79094
"76","MA","Massachusetts","25021",2020,"norfolk county",105376198,30650254,55376593,2226019,0,0,41107208,34165053,725999,711300,0.979777707681055,114658
"77","FL","Florida","12105",2020,"polk county",1366570778,519641860,198094593,167107092,0,0,952903062,972172473,725041,646127,0.891153113043862,56344
"78","NJ","New Jersey","34017",2020,"hudson county",141205886,247717198,471436462,104034009,0,0,735243231,774659279,724857,724854,1,79159
"79","MO","Missouri","29095",2020,"jackson county",544917604,46067941,5636802,71189070,0,0,357086121,379903957,717206,686587,0.957310611764575,63282
"80","CO","Colorado","08031",2020,"denver county",11288224000,1699959000,249680000,713552000,17721000,0,3671950000,3707605000,715538,715418,0.999854651569064,81262
"81","IL","Illinois","17097",2020,"lake county",412208585,47434620,18804476,89750647,0,0,500239632,561961256,714351,704232,0.985847115247318,95895
"82","IL","Illinois","17197",2020,"will county",635030409,130130559,43959176,64412446,0,0,399942073,477328660,696362,662409,0.951251875839191,93994
"83","NM","New Mexico","35001",2020,"bernalillo county",802443844,325383442,96053173,118220605,0,0,446263842,492791899,676438,649512,0.960185913394161,59723
"84","AL","Alabama","01073",2020,"jefferson county",2965742000,0,119964000,191938000,142088000,0,803857000,789214000,674355,593276,0.879290847624426,55210
"85","OK","Oklahoma","40143",2020,"tulsa county",248720189,101018575,3994591,16143588,0,0,216565063,329527316,669272,634925,0.948670136071803,59232
"86","UT","Utah","49049",2020,"utah county",328192274,24085947,8261379,59635967,0,0,71794472,332859563,659392,631512,0.957708458763207,86597
"87","MI","Michigan","26081",2020,"kent county",258942401,0,20274392,52041949,56763648,0,402892482,462703732,657984,551457,0.838113664065753,71933
"88","CO","Colorado","08005",2020,"arapahoe county",435652646,208374554,0,52349020,0,0,500917109,509757461,655058,641552,0.979364037431114,84308
"89","PA","Pennsylvania","42017",2020,"bucks county",518377250,2702513,0,163326805,0,0,618696315,693968803,646526,579965,0.897031574323551,99755
"90","NJ","New Jersey","34025",2020,"monmouth county",54882073,179957990,473743040,54882073,0,0,602637348,635719596,643608,610605,0.948711574466102,107500
"91","NJ","New Jersey","34029",2020,"ocean county",981487997,320908683,0,0,0,0,575798142,607245768,637229,613695,0.96306822194219,75732
"92","TX","Texas","48339",2020,"montgomery county",1112577123,24066035,253594793,150264813,0,0,544102225,556157482,620451,478509,0.77123764793865,87831
"93","KS","Kansas","20091",2020,"johnson county",1383005817,251000703,23868678,84745526,0,0,744069181,828285621,609864,585241,0.959626998194677,93220
"94","TX","Texas","48491",2020,"williamson county",1352794743,55619549,59226881,92763816,0,0,389341953,507231383,609010,553276,0.908473819285833,96653
"95","FL","Florida","12009",2020,"brevard county",920994570,414905456,27264556,114651332,0,0,686028641,764680908,606603,583073,0.961195953921123,65280
"96","CA","California","06037",2021,"los angeles county",64141944000,17394887000,29368129000,6834441000,0,0,32179943000,31698208000,10014042,9924789,0.991090481344684,77356
"97","IL","Illinois","17031",2021,"cook county",23004219360,14984908546,2105154520,1740684456,0,0,6636292827,6797965119,5275522,5272651,0.999452188884514,72063
"98","TX","Texas","48201",2021,"harris county",10515266381,725190179,3473489714,1035427458,114259,0,4496693342,4159884770,4731129,4677507,0.988662786703853,63539
"99","AZ","Arizona","04013",2021,"maricopa county",3153531275,2061212073,6798975,759547144,0,18133053,2563125904,2918143070,4420574,4318689,0.976953414131397,76230
"100","CA","California","06073",2021,"san diego county",7621970000,4478532000,92006000,1342602000,0,0,5889572000,5933947000,3298635,3153671,0.956053627046832,90756
