"","state","id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues"
"5385","MI","34509",2020,"Eastpointe Community Schools",86258214,3569649,50897279,0,10611291,0,0,0,918361,33342735,35930034
"5386","ID","32742",2020,"Fruitland School District No. 373",9423997,1504527,2400661,0,0,0,0,0,0,12578203,12843331
"5387","SC","38366",2020,"Spartanburg County School District No. 2",335276495,8413338,114125696,0,93650777,0,0,0,0,117908737,119757183
"5388","IA","33432",2020,"Washington Community School District",25392590,4154563,9375671,0,696580,0,0,0,0,25052510,26339985
"5389","MT","35390",2020,"Hays/Lodge Pole School District No. 50",3081240,0,2915634,0,69826,0,0,0,95780,5860994,5704612
"5390","MN","34810",2020,"Independent School District No. 51",35201733,1250215,13374667,0,4907607,0,0,0,604444,27233407,27046112
"5391","MS","35008",2020,"Greene County School District",34708654,338874,28912056,0,1946732,0,0,0,126312,19390956,19855841
"5392","NE","109381",2020,"Ord Public Schools District No. 5",0,0,0,0,0,0,0,0,0,12444788,15797103
"5393","MA","46875",2020,"Freetown-Lakeville Regional School District",75404059,2876694,9492564,0,60348213,0,0,0,479000,51840067,50745525
"5394","NY","47811",2020,"Harrison Central School District",349131882,14977178,9127643,8105587,273314048,0,0,0,1081658,140695728,121734247
"5395","NE","109384",2020,"Osceola Public Schools",0,0,1193710,0,0,0,0,0,0,9222313,5035374
"5396","PA","37926",2020,"Panther Valley School District",62270949,2829534,27789000,0,9191991,0,0,0,124957,29110361,29530377
"5397","GA","70984",2020,"Mcduffie County Board of Education",79327078,4731291,36050835,0,30508185,0,0,0,288181,42268152,48687435
"5398","MN","41736",2020,"Independent School District No. 877",107396143,4829031,41280634,0,0,1261533,0,0,365677,81960051,83044280
"5399","MN","34856",2020,"Independent School District No. 413",75625917,3251670,20297228,0,1124313,0,0,0,0,43264479,42704346
"5400","OH","37147",2020,"Bellefontaine City School District",0,0,30635382,0,2598145,1843593,0,0,0,30713551,30885499
"5401","WA","39697",2020,"Kettle Falls School District No. 212",4898166,41471,4005806,0,0,0,0,0,273889,16244608,15886337
"5402","ME","64898",2020,"Maine School Administrative District No. 53",1979762,217423,366638,0,1226782,0,0,0,0,14689217,14572895
"5403","WA","39673",2020,"Mount Vernon School District No. 320",2381298,2381298,34694142,0,0,0,0,0,2642026,140797762,134283167
"5404","IL","42082",2020,"Lansing Elementary School District No. 158",27482544,0,2011158,0,16802921,0,0,0,0,35651711,42832422
"5405","MO","35298",2020,"Moberly School District No. 81",24333414,227785,0,0,0,0,0,0,469837,26042721,29889309
"5406","PA","37937",2020,"Owen J. Roberts School District",285687894,20231464,151669000,0,11290311,0,0,0,907777,112443610,113600616
"5407","SD","38429",2020,"Lead-Deadwood School District No. 40-1",1835169,1256076,0,26207,0,0,0,0,0,14451964,31042539
"5408","OR","86677",2020,"Central School District No. 13J",585768,585768,0,0,0,0,0,0,123963,47060121,45626746
"5409","WA","89224",2020,"Pateros School District No 122-70j",118490,118490,1898972,0,0,0,0,0,175216,6064574,5829767
"5410","ME","53819",2020,"Regional School Unit No. 18",30750318,3412949,627219,0,7015132,0,0,0,64295,42994539,44386862
"5411","NE","81850",2020,"Holdrege Public Schools District No. 44",9995000,0,3685415,0,0,0,0,0,0,15068897,15067415
"5412","MO","35307",2020,"North St. Francois County R-1 School District",0,0,0,0,0,0,0,0,0,36684393,39168200
"5413","NC","36638",2020,"Asheboro City Board of Education",76126175,1305042,19673374,0,52418497,72522,0,0,2729262,50784969,63914402
"5414","ME","55395",2020,"Regional School Unit No. 73",13362521,1699532,977508,0,4035329,0,0,0,140960,21726885,24072440
"5415","OH","37112",2020,"St. Bernard-Elmwood Place City School District",27877953,2049937,13759833,0,1274611,806445,0,0,1216150,16253854,17958434
"5416","MO","41861",2020,"Special School District of St. Louis County",508299893,41727298,352626463,0,70687582,0,0,0,5368260,476997442,476232910
"5417","CA","67960",2020,"Thermalito Union Elementary School District",31405593,3240763,21743262,0,1980520,0,0,0,53225,28757141,25491339
"5418","CA","31156",2020,"Westmorland Union Elementary School District",5777797,313115,5392528,0,0,0,0,0,72154,6320318,5924269
"5419","TN","106664",2020,"Cheatham County Schools",0,0,0,0,0,0,0,0,0,2040008,2043060
"5420","CO","32029",2020,"Adams County School District No. 14",216451472,15146158,119330922,0,5867491,0,0,0,2377996,65148086,96314707
"5421","CO","32037",2020,"Arapahoe County School District No. 1",223917175,6609897,57944991,0,2849090,0,0,0,367406,44482279,52809205
"5422","CA","31328",2020,"Westminster School District",369791454,15588501,125057413,0,27506448,0,0,0,1222933,147713041,145691378
"5423","CO","52079",2020,"Archuleta School District 50 JT",29551990,2759826,23951667,0,1177732,0,0,0,469726,17247444,19529602
"5424","CO","50906",2020,"El Paso County School District No. 22",19150700,2563141,13978910,0,687351,0,0,0,62357,8177808,12778558
"5425","CO","54837",2020,"East Grand School District No. 2",57645860,4379904,23778480,0,1169193,0,0,0,564465,16102505,21219867
"5426","KS","33481",2020,"Unified School District No. 428",0,0,33952986,0,0,0,0,0,0,58050428,59566272
"5427","KS","33537",2020,"Unified School District No. 495",0,0,10764737,0,0,0,0,0,222882,20684849,19979192
"5428","KS","33506",2020,"Unified School District No. 290",0,0,23106432,0,0,0,0,0,0,44668107,43889707
"5429","KS","33555",2020,"Unified School District No. 480",0,0,45888250,0,0,0,0,0,1594209,90306835,90142066
"5430","KY","33612",2020,"Anderson County Board of Education",64123494,1913160,11497059,0,9833819,0,0,0,221866,40610299,41928174
"5431","KS","33508",2020,"Unified School District No. 214",0,0,12491552,0,0,0,0,0,0,26825249,26901238
"5432","NE","109707",2020,"Wallace Public School District 65 R",0,0,1013169,0,0,0,0,0,0,4413587,4356963
"5433","IL","32916",2020,"Dolton West School District No. 148",31903450,6696453,2142310,0,19447183,0,0,0,0,66778289,65382585
"5434","IL","47194",2020,"Cooperative Association for Special Education",13916937,1155583,2092335,0,10669019,0,0,0,0,30564954,33038676
"5435","IL","33100",2020,"Four Rivers Special Education District No. 801",0,0,0,0,0,0,0,0,0,7017886,7191808
"5436","IL","33143",2020,"Danville Community Consolidated School District No. 118",79830130,7385014,5536673,0,36888762,0,0,0,127398,103271739,104762367
"5437","IL","32955",2020,"Cook County School District No. 104",42868407,765032,2613562,0,12303681,0,0,0,133252,41344417,43560082
"5438","IL","65598",2020,"Gurnee Grade School District No. 56",31596573,258084,3567172,0,15735112,0,0,0,0,42572415,41443545
"5439","IL","33017",2020,"Community Unit School District No. 300",478603814,26213396,18320501,0,138759972,0,0,0,2832747,387158984,417874952
"5440","IL","32951",2020,"Elementary School District No. 159",26767208,84721,1479054,0,12901049,0,0,0,0,41914577,48772643
"5441","IL","32999",2020,"Frankfort Community Unit School District No. 168",0,0,1673568,0,9463453,0,0,0,0,17244654,17599075
"5442","IL","33112",2020,"East Moline School District No. 37",20860000,0,4728135,0,18295162,0,0,0,0,51873549,52860226
"5443","TX","38932",2020,"Stephenville Independent School District",109889173,6926783,8133950,0,12640544,0,0,0,0,44368266,46606177
"5444","NE","109414",2020,"Pender Public Schools",0,0,1503051,0,0,0,0,0,0,6037835,6698434
"5445","SC","38370",2020,"Spartanburg County School District No. 6",312499892,13890991,142786251,0,120872848,0,0,0,0,150198471,148918068
"5446","NY","36429",2020,"Hampton Bays Union Free School District",112215137,3292357,3879901,3379193,61420015,0,0,0,1760125,59376833,56718109
"5447","OH","45673",2020,"Athens City School District",114003547,5433789,36711665,0,3278111,2171268,0,0,1830269,41342926,41215813
"5448","OH","41866",2020,"Auburn Vocational School District",18450167,1537968,9968719,0,1018450,558673,0,0,540030,12422276,12386328
"5449","NE","109418",2020,"Perkins County Schools",0,0,1796706,0,0,0,0,0,119204,6596895,6979430
"5450","WI","40096",2020,"School District of New Berlin",61092920,5104770,52495,5579180,14337007,0,0,0,0,59176949,63841109
"5451","NJ","42698",2020,"Passaic Board of Education-Passaic Public Schools",114450724,23204110,78463692,0,0,0,0,0,8189038,388667631,454383387
"5452","IL","33004",2020,"Hamilton County Community Unit School District No. 10",3469027,108246,1750284,0,0,0,0,0,0,20297002,22172405
"5453","IL","53211",2020,"Kinnikinnick Community Consolidated School District 131",3947114,40814,980976,0,0,0,0,0,0,27584698,35792620
"5454","IL","32926",2020,"J. Sterling Morton High School District No. 201",179847037,13137664,12859950,0,58278240,0,0,0,23283,170911797,196108645
"5455","IL","48346",2020,"Kaneland Community Unit School District No. 302",145590413,7099709,5314574,0,39415838,0,0,0,176961,94851512,97305853
"5456","IL","46204",2020,"Lake Park High School District No. 108",61237484,6452829,4827123,0,32966803,0,0,0,524755,68037820,76550412
"5457","IL","45477",2020,"Livingston County Special Services Unit",3347959,229254,392729,0,2725976,0,0,0,0,7446130,6838099
"5458","TN","106681",2020,"Claiborne County Schools",0,0,0,0,0,0,0,0,0,1413734,1460664
"5459","IL","49324",2020,"Marengo-Union Elementary Consolidated School District No. 165",2610000,0,0,0,0,0,0,0,0,15738240,15856930
"5460","IL","32936",2020,"Matteson Elementary School District No. 162",77577080,9826522,2166405,0,19513862,0,0,0,131534,57810388,60282437
"5461","IL","65340",2020,"Marissa Community Unit School District No. 40",367402,0,929637,0,0,0,0,0,0,9447776,9497141
"5462","IL","33123",2020,"Mascoutah Community Unit School District No. 19",67782206,0,2992528,0,0,0,0,0,0,62666985,62020517
"5463","IL","53936",2020,"Mercer County School District No. 404",4144135,0,0,0,0,0,0,0,0,20229386,20788573
"5464","IL","53170",2020,"Minooka Community Consolidated School District No. 201",61520298,438,3506625,0,0,0,0,0,0,114841706,115746481
"5465","IL","45060",2020,"Mundelein Consolidated High School District No. 120",40962687,1861541,4404387,0,20098750,0,0,0,27551,54832336,57547221
"5466","IL","32996",2020,"Paris Union School District No. 95",7573762,823762,838123,0,0,0,0,0,0,19033930,19455277
"5467","IL","42073",2020,"North Dupage Special Education Cooperative",689089,689089,432177,0,4880605,0,0,0,0,19068073,19385974
"5468","IL","50112",2020,"Paxton-Buckley-Loda Community Unit District No. 10",31923458,693458,1240235,0,0,0,0,0,0,33337063,23348647
"5469","OH","37309",2020,"Triway Local School District",0,0,20058277,0,1524933,1237138,0,0,0,24767353,26816705
"5470","IL","32888",2020,"Pana Community Unit School District No.  8",6035100,33630,0,0,0,0,0,0,0,19706440,22273863
"5471","IL","33106",2020,"Pikeland Community Unit School District No. 10",3810988,0,0,0,0,0,0,0,0,19047524,19609239
"5472","IL","46301",2020,"Skokie/Morton Grove School District No. 69",62005357,714260,1419211,45635,15270937,0,0,0,52641,44328356,45005653
"5473","IL","44400",2020,"Rochelle Community Consolidated Elementary School District No. 231",8720161,161,1067288,0,9733478,0,0,0,0,25787985,23763116
"5474","IL","32959",2020,"Wheeling Community Consolidated School District No. 21",182678854,11036924,15923882,0,62044464,0,0,0,567233,150535880,167312492
"5475","IL","33159",2020,"Valley View Public School Community Unit School District No. 365-U",548128910,19480719,31684865,0,148597662,0,0,0,0,379065592,394084409
"5476","IL","47159",2020,"Sunnybrook School District No. 171",3415605,0,834146,0,5721990,0,0,0,0,18202904,20398018
"5477","TN","106691",2020,"Clarksville-Montgomery County School System",154108,154108,0,0,0,0,0,0,0,8091790,9445650
"5478","IL","33061",2020,"West Central Illinois Special Education Cooperative",0,0,0,0,0,0,0,0,0,14975780,15387336
"5479","IN","43705",2020,"Alexandria Community School Corporation",0,0,0,0,0,0,0,0,0,19533462,19057844
"5480","IL","48212",2020,"Woodland Community Consolidated School District No. 50",132490577,3782852,10763303,0,50401736,0,0,0,0,117394432,110981745
"5481","IL","50359",2020,"Vandalia Community Unit School District No. 203",12334500,0,0,0,0,0,0,0,0,24500841,25499688
"5482","TN","151415",2020,"Clinton School System",0,0,0,0,0,0,0,0,0,144815,171690
"5483","TN","106695",2020,"Clay County Schools",0,0,0,0,0,0,0,0,0,431237,482547
"5484","IN","43702",2020,"Centerville-Abington Community Schools",0,0,0,0,0,0,0,0,0,21254896,22623110
"5485","IN","43536",2020,"Hanover Community School Corporation",0,0,0,0,0,0,0,0,0,34388821,35271907
"5486","TN","106697",2020,"Cleveland City Schools",31255,31255,0,0,0,0,0,0,0,1918787,1904433
"5487","IN","43684",2020,"Loogootee Community School Corporation",0,0,0,0,0,0,0,0,0,12672664,10217622
"5488","TN","151416",2020,"Macon County Schools",0,0,0,0,0,0,0,0,0,1415869,1433278
"5489","KS","42658",2020,"Abilene Unified School District No. 435",0,0,11966245,0,0,0,0,0,0,25640849,24984420
"5490","KS","47383",2020,"Andover Unified School District No. 385",0,0,37593599,0,0,0,0,0,0,137450736,100634349
"5491","KS","33559",2020,"Auburn-Washburn Unified School District No. 437",0,0,53275481,0,567997,0,0,0,0,95734020,95449432
"5492","IN","43546",2020,"Vincennes Community School Corporation",0,0,0,0,0,0,0,0,0,48819840,39835903
"5493","KS","33516",2020,"Blue Valley Unified School District No 229",711032087,42166430,211653161,0,6648122,0,0,0,2464118,299199780,339301184
"5494","KS","33486",2020,"Augusta Unified School District No. 402",0,0,15007170,0,0,0,0,0,0,31596597,33257017
"5495","KS","33509",2020,"High Plains Educational Cooperative District No. 611",0,0,432561,0,0,0,0,0,0,10940963,10289955
"5496","KS","33549",2020,"Goddard Unified School District No. 265",0,0,40508081,0,0,0,0,0,0,109456475,95010961
"5497","KS","49456",2020,"Southeast Kansas Special Education Interlocal 637",0,0,374416,0,0,0,0,0,0,21597246,21870874
"5498","KS","33554",2020,"Sedgwick County Area Educational Services Interlocal Cooperative",0,0,1306543,0,0,0,0,0,0,37408328,37515304
"5499","KS","47229",2020,"Southwest Plains Regional Service Center Unified School District No. 626",0,0,256704,0,0,0,0,0,0,7070892,11903207
"5500","KS","33543",2020,"Reno County Education Cooperative No. 610",0,0,369565,0,0,0,0,0,0,10484174,10398802
"5501","KS","48557",2020,"North Central Kansas Special Education Cooperative Interlocal 636",0,0,15458,0,0,0,0,0,0,9225942,9151885
"5502","LA","33830",2020,"Evangeline Parish School Board",225652086,5793790,56101124,0,150837065,0,0,0,1676553,71316284,64217634
"5503","TN","106709",2020,"Cocke County Schools",0,0,0,0,0,0,0,0,0,1276761,1406678
"5504","LA","33846",2020,"Plaquemines Parish School Board",152353300,10095403,70857403,0,69820945,0,0,0,1579549,73407812,64264742
"5505","NJ","35746",2020,"Burlington City School District",11531060,1679897,7910453,0,0,0,0,0,936194,50005536,52672963
"5506","NJ","82033",2020,"City of Linden School District",39804800,2915305,31485062,0,0,0,0,0,2261188,153850412,262030882
"5507","OR","85700",2020,"Douglas County School District No.77",3952482,48720,3699186,0,0,30686,0,0,14576,5335991,5436733
"5508","LA","76973",2020,"Tangipahoa Parish School System",535405319,24928264,216109665,0,263294933,0,0,0,7586430,216305540,211792959
"5509","TN","106712",2020,"Coffee County Schools",0,0,0,0,0,0,0,0,0,1257026,1334394
"5510","LA","33854",2020,"St. Helena Parish School Board",34267819,1223156,13214764,0,7477500,0,0,0,366484,14719429,18222529
"5511","NY","36415",2020,"East Islip Union Free School District",398660129,13792853,7170354,7049470,336908396,0,0,0,6188661,135519224,118791819
"5512","NY","43949",2020,"Heuvelton Central School District",31294868,609557,846344,592262,19681596,0,0,0,498268,15768942,19948195
"5513","TX","38912",2020,"Freer Independent School District",32792322,761739,3044487,0,4451238,0,0,0,0,17079153,15425016
"5514","OK","149631",2020,"Robin Hill School District No. C-16",1364205,258805,0,0,0,0,0,0,0,2892434,2801773
"5515","NH","49877",2020,"Goffstown School District",40552713,1912668,31713527,0,2723453,0,0,0,1232500,45821093,44473018
"5516","LA","42251",2020,"West Carroll Parish School Board",115213266,1519270,22286894,0,89767524,0,0,0,599537,30186204,22496398
"5517","NJ","168021",2020,"Borough of Pompton Lakes Board of Education",12261017,1045622,7594451,0,0,0,0,0,389860,41595323,42626515
"5518","TN","106715",2020,"Collierville City Schools",0,0,0,0,0,0,0,0,0,3338720,3320844
"5519","LA","42890",2020,"West Baton Rouge Parish School Board",229981660,10102896,60502556,0,60852309,0,0,0,572539,68446818,69121858
"5520","MA","34208",2020,"Amherst-Pelham Regional School District",115547116,3255416,12097591,0,97958433,0,0,0,454923,54933487,40152193
"5521","MA","46569",2020,"Assabet Valley Regional Technical High School",56523109,2958544,7975474,0,20840349,0,0,0,675831,34470028,31955560
"5522","MA","34220",2020,"Athol-Royalston Regional School District",53633307,2199299,8156985,0,41348591,0,0,0,89398,31163490,33784236
"5523","MA","34210",2020,"Greater Lowell Regional Vocational Technical School District",117925805,958283,18372432,0,81062206,0,0,0,862696,62799952,60558242
"5524","MA","61623",2020,"Martha's Vineyard Regional High School District",58125268,2928496,2288053,0,51717525,0,0,0,229088,33844835,31696865
"5525","MA","34209",2020,"North Middlesex Regional School District",178200267,5100072,13400780,0,98300182,0,0,0,527000,78538831,69294720
"5526","MA","34221",2020,"Tantasqua Regional School District",50279124,2452436,10353847,0,33765654,0,0,0,138692,38157426,35718555
"5527","NH","35586",2020,"Milford New Hampshire School District",49078735,372078,30290347,0,10235195,0,0,0,1865276,43864616,42646119
"5528","MA","43427",2020,"Quaboag Regional School District",27610897,1311575,5331865,0,18815128,0,0,0,1042055,26596138,24162295
"5529","MA","46913",2020,"Mendon-Upton Regional School District",59285035,491612,0,0,55331754,0,0,0,569457,55611380,44666019
"5530","MA","34227",2020,"Montachusett Regional Vocational Technical School District",58681766,2055112,8864369,0,40254819,0,0,0,641617,38959351,39330982
"5531","MA","34200",2020,"Pentucket Regional School District",158403305,5295506,12677680,0,76062243,0,0,0,465837,55938813,58679449
"5532","MA","65722",2020,"Old Rochester Regional School District",33357341,2441193,6465351,0,19872084,0,0,0,734318,25906364,25857262
"5533","MA","34206",2020,"Southwick-Tolland-Granville Regional School District",72024723,462233,13213763,0,33120576,0,0,0,738414,36187874,32839181
"5534","MD","40325",2020,"Kent County Board of Education",32462905,3521091,2701620,0,25396884,0,0,0,0,35975761,37795721
"5535","MD","41282",2020,"Board of Education of Anne Arundel County",2182951319,195973167,64243619,0,1859904000,0,1779032051,0,44500305,1405044746,1481594562
"5536","ME","33934",2020,"Regional School Unit No. 40",16750535,2715480,713544,0,4600595,0,0,0,710613,32344497,34371979
"5537","OH","45469",2020,"Kettering City School District",253947602,15503539,124036387,0,12748907,6939171,0,0,10342753,136232211,122908526
"5538","ME","54140",2020,"Sheepscot Valley Regional School Unit No. 12",17888239,2219873,855163,0,1147548,0,0,0,460180,25184108,25730846
"5539","ME","64899",2020,"Regional School Unit No. 6",32010094,4024396,456459,0,9277821,0,0,0,165451,59088351,61033960
"5540","ME","42279",2020,"Regional School Unit No. 61",16027539,2297549,882164,0,3513573,0,0,0,0,34641163,37205931
"5541","MI","34547",2020,"Airport Community Schools",89524598,3554839,47020857,0,10070554,0,0,0,1572394,34262408,32505676
"5542","MI","34666",2020,"Allen Park Public Schools",162694927,7151560,78913212,0,17004768,0,0,0,1111461,44930952,47742469
"5543","MI","34337",2020,"Alpena Public Schools",114652873,7162033,71221986,0,15662279,0,0,0,111354,48255694,46986620
"5544","MI","34589",2020,"Berkley School District",220547581,9452878,127935576,0,28273078,0,0,0,1916107,84488134,74050680
"5545","MI","64917",2020,"Brandywine Community Schools",44554209,2017973,24529987,0,5216782,0,0,0,20199,16626386,15933531
"5546","ME","54037",2020,"Regional School Unit No. 4",14576989,1969055,577271,0,4168000,0,0,0,377356,22447142,22862087
"5547","WI","40107",2020,"Neenah Joint School District",18338344,15666313,0,8292036,980914,0,0,0,87403,85146490,85760843
"5548","MI","34614",2020,"C.O.O.R. Intermediate School District",19691872,3225300,13239363,0,2908737,0,0,0,68472,14734759,13295488
"5549","MI","34374",2020,"Cassopolis Public Schools",33412395,1061068,15987915,0,3473032,0,0,0,157216,12852846,13018430
"5550","MI","34536",2020,"Big Rapids Public Schools",81421045,4207157,37648706,0,8251776,0,0,0,437406,26976642,26066714
"5551","MI","34538",2020,"Chippewa Hills School District",74067527,2637770,40005031,0,8675603,0,0,0,398630,26577724,25386738
"5552","MI","34618",2020,"Carrollton Public Schools",60939865,3175215,41499088,0,9077966,0,0,0,239322,27707389,25812025
"5553","TN","106741",2020,"Crockett County Schools",8579,8579,0,0,0,0,0,0,0,712179,713190
"5554","TN","106749",2020,"Cumberland County Schools",9337,9337,0,0,0,0,0,0,0,2277864,2389840
"5555","TN","106744",2020,"Crosstown High School",5692200,70905,0,194677,0,0,0,0,0,7528939,5353053
"5556","MI","34669",2020,"Crestwood School District",145172385,6799906,86112952,0,18771062,0,0,0,33802,54932090,51952521
"5557","MI","34437",2020,"Copper Country Intermediate School District",26224030,2750772,18747050,0,4249582,0,0,0,476626,15117112,14480186
"5558","OH","36991",2020,"Loudonville Perrysville Exempted Village School District",18194681,1803552,13633185,0,1342392,773629,0,0,970997,15861841,17102389
"5559","TN","106756",2020,"Dayton City Schools",0,0,0,0,0,0,0,0,0,104241,111178
"5560","MI","34385",2020,"Eastern Upper Peninsula Intermediate School District",33126073,6174259,20877646,0,4659666,0,0,0,1225781,24641472,23659072
"5561","TN","106761",2020,"Decatur County Schools",1619,1619,0,0,0,0,0,0,0,395608,426543
"5562","TN","106762",2020,"Dekalb County Schools",0,0,0,0,0,0,0,0,0,844561,937039
"5563","WI","40094",2020,"Hamilton School District",63582770,3581397,0,6086032,2355791,0,0,0,0,64229782,66861721
"5564","TN","106770",2020,"Dickson County Schools",0,0,0,0,0,0,0,0,0,2491181,2617300
"5565","MI","34400",2020,"Grand Ledge Public Schools",227677790,8183749,100794276,0,21729350,0,0,0,192880,70464819,71399290
"5566","OH","83667",2020,"Mariemont City School District",122295437,6667081,26547107,0,2282549,1588842,0,0,744852,31581121,24791423
"5567","WI","42071",2020,"St. Francis School District",12562324,1702687,140966,1390732,589966,0,0,0,21337,16211193,18053777
"5568","TN","106783",2020,"Dyer County Schools",0,0,0,0,0,0,0,0,0,1220771,1196709
"5569","MI","34476",2020,"Grand Rapids Public Schools",779499314,45587273,399661878,0,85920837,0,0,0,3791944,267246456,251417695
"5570","MI","34368",2020,"Harper Creek Community Schools",129584640,3077539,54727910,0,11936244,0,0,0,87015,39733667,36521893
"5571","NE","109135",2020,"Dodge County School District No. 001",0,0,17509192,0,0,0,0,0,0,83970851,75476454
"5572","TN","151433",2020,"The Franklin County School Department",8817019,1460747,0,7370289,7149088,0,0,0,207184,0,0
"5573","MI","34491",2020,"Kenowa Hills Public Schools",172888403,5689667,62124637,0,13497723,0,0,0,513356,49379435,45648029
"5574","MI","34489",2020,"Kentwood Public Schools",341330735,15433636,198934485,0,44083021,0,0,0,2050180,147427962,130607754
"5575","MI","34465",2020,"Kalamazoo Public Schools",592784333,31333478,291073635,0,63255898,0,0,0,1117378,208604055,195732840
"5576","NC","36661",2020,"Board of Education of Elkin City Schools",18587699,80636,4691048,0,12503986,17001,0,0,1312029,13719005,13912827
"5577","PA","151348",2020,"Delaware County Intermediate Unit",144604942,31140449,107319000,0,4879000,1426576,0,0,1266493,93949057,97963704
"5578","MI","48390",2020,"Lake Fenton Community Schools",63041353,2806361,38652150,0,8398544,0,0,0,384298,27258542,26781871
"5579","NC","36497",2020,"Avery County Board of Education",39051080,1165463,9476435,0,25122668,34628,0,0,1798802,26391943,34422785
"5580","TN","106823",2020,"Etowah City School",0,0,0,0,0,0,0,0,0,65887,64833
"5581","NC","36499",2020,"Beaufort County Schools",101539444,2569829,25589797,0,67669099,93787,0,0,4832571,72118617,72299345
"5582","MI","34638",2020,"Marlette Community Schools",23776165,957279,14941091,0,3193282,0,0,0,69134,9603521,9611257
"5583","TN","106829",2020,"Explore Community School",22639821,676342,327378,129024,0,0,0,0,0,7505920,6558104
"5584","TN","106837",2020,"Fayette County Schools",5020,5020,0,0,0,0,0,0,0,403737,469398
"5585","MI","34459",2020,"Michigan Center School District",46383217,1928802,28475109,0,6175566,0,0,0,207938,18758157,16557929
"5586","MI","34646",2020,"Millington Community Schools",34954784,1302831,21685228,0,4702181,0,0,0,270065,14582414,13908110
"5587","MI","34537",2020,"Morley Stanwood Community Schools",29126301,1467695,22055876,0,4800596,0,0,0,118114,15246197,14868011
"5588","MI","34653",2020,"Mattawan Consolidated Schools",184593433,5040895,62834982,0,13447230,0,0,0,294768,46025350,42528747
"5589","VA","151435",2020,"The Franklin County School Board",90322649,2317036,70354307,0,16728261,0,0,0,923045,0,0
"5590","TN","106855",2020,"Franklin County Schools",0,0,0,0,0,0,0,0,0,1443960,1546097
"5591","TN","106856",2020,"Franklin Special School District",75328655,5744151,482419,6595178,8982207,0,0,0,487650,59667528,64197928
"5592","TN","106866",2020,"Germantown Municipal School District",0,0,0,0,0,0,0,0,0,1782380,2061963
"5593","MI","34402",2020,"Public Schools of Petoskey",73708938,4100692,50803396,0,11245595,0,0,0,549228,37550397,38377844
"5594","MI","34682",2020,"Riverview Community School District",82012334,4848180,51199524,0,10950760,0,0,0,168578,34803912,34355342
"5595","MI","34629",2020,"Port Huron Area School District",335740664,14020482,164156117,0,35132558,0,0,0,0,103349050,99180815
"5596","TN","106871",2020,"Gibson County Special School District",48035661,4347067,0,4845593,1995237,0,0,0,0,35054883,38513664
"5597","TN","106876",2020,"Giles County Schools",0,0,0,0,0,0,0,0,0,1367027,1478711
"5598","MI","34684",2020,"South Redford School District",113281031,4870186,68689096,0,14949730,0,0,0,80808,53018028,50073241
"5599","TN","106883",2020,"Grainger County Schools",0,0,0,0,0,0,0,0,0,1125539,1304425
"5600","TN","106892",2020,"Greeneville City Schools",257,257,0,0,0,0,0,0,0,1006077,995772
"5601","TN","106890",2020,"Greene County Schools",12565,12565,0,0,0,0,0,0,0,1931201,2069865
"5602","MI","34670",2020,"Southgate Community School District",186404936,10413756,89558234,0,18866587,0,0,0,1999308,54014716,52608224
"5603","MI","34383",2020,"Sault Ste. Marie Area Public Schools",58435248,3716582,38161325,0,8324214,0,0,0,233641,25373695,25619673
"5604","TN","106903",2020,"Grundy County Schools",0,0,0,0,0,0,0,0,0,709024,739311
"5605","MI","64923",2020,"Suttons Bay Public Schools",19986392,916521,12293827,0,2694898,0,0,0,38995,8379888,8075887
"5606","MI","34690",2020,"Taylor School District",229554033,14319714,160175769,0,34190417,0,0,0,2326144,90223003,82933629
"5607","MI","34524",2020,"Van Dyke Public Schools",127999024,3356408,54659322,0,11655702,0,0,0,485806,36214266,35513954
"5608","MI","34593",2020,"Waterford School District",411395575,27949721,201662094,0,43067643,0,0,0,0,129179555,128597038
"5609","NE","109740",2020,"Winnebago Public Schools District No. 17",3103612,122068,3442845,0,0,0,0,0,0,19684342,16337719
"5610","TX","95763",2020,"Daingerfield-Lone Star Independent School District",15088542,852379,2995135,0,5012028,0,0,0,0,15205352,15608514
"5611","MN","34800",2020,"Anoka-Hennepin Independent School Dist No. 11",752216082,85392037,332974176,0,0,17785000,0,0,5928335,601946010,586676622
"5612","TN","106924",2020,"Hancock County Schools",0,0,0,0,0,0,0,0,0,68107,75319
"5613","TN","106928",2020,"Hardeman County Schools",0,0,0,0,0,0,0,0,0,399945,366884
"5614","OH","45890",2020,"Lakewood Local School District",39121640,2680379,25577706,0,2437085,1490617,0,0,336578,29214182,27469678
"5615","AR","98769",2020,"Pea Ridge School District No. 109",3943369,3943369,16375052,0,0,0,0,0,0,41752378,27555402
"5616","OH","45659",2020,"Mercer County Educational Service Center",0,0,6540414,0,810295,349426,0,0,0,5765568,6120291
"5617","OH","42308",2020,"Mahoning County Educational Service Center",34643741,2828927,29507607,0,1768066,1850420,0,0,492293,22241861,21813676
"5618","MN","42811",2020,"Burnsville-Eagan-Savage Independent School District 191",254317704,21478289,84640489,0,9403433,0,0,0,794982,156675874,157977726
"5619","TN","106933",2020,"Hardin County Schools",0,0,0,0,0,0,0,0,0,59777,80654
"5620","MN","34822",2020,"Independent School District No. 2164",64288677,2822253,11625939,0,1187698,0,0,0,0,22598140,20455982
