"","state","id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues"
"54","MS","34991",2020,"Okolona Municipal Separate School District",12344480,141593,9399039,0,692072,0,0,0,27724,7052985,6970556
"55","MO","35207",2020,"Campbell Reorganized School District No. 2",0,0,0,0,0,0,0,0,102878,5958528,5580548
"56","PA","38157",2020,"Charleroi Area School District",72725628,5602537,34439000,0,5619155,0,0,0,249481,25329397,26691446
"57","PA","37828",2020,"Northgate School District",46442585,2281384,34572000,0,7986689,0,0,0,20263,26662925,24719661
"58","FL","102317",2020,"Charlotte District School Board County",169982176,6471531,85125960,0,2619541,0,0,0,10085834,199109927,1774566740
"59","IA","163004",2020,"Hubbard-Radcliffe Community School District",10789231,1511472,2185209,0,678034,0,0,0,42221,7682113,9234956
"60","IA","163005",2020,"Hudson Community School District",10721967,1351824,3916872,0,519070,0,0,0,0,11501687,10708971
"61","NY","190601",2020,"Mcgraw Central School District",31853672,2886093,958185,673868,17554739,0,0,0,409221,14173352,13575943
"62","IA","163002",2020,"Hinton Community School District",11443007,1031445,4033453,0,345015,0,0,0,6750,10509033,10939493
"63","IA","163018",2020,"Iowa Education Benefits Program",290550,290550,0,0,0,0,0,0,0,12021820,12130885
"64","IA","163010",2020,"Independence Community School District",26997221,2252563,7716303,0,1128018,0,0,0,99337,20792339,22548291
"65","IA","163020",2020,"Iowa Falls Community School District",9802718,1893540,6766968,0,806740,0,0,0,0,16452189,16571278
"66","IA","163034",2020,"Janesville Consolidated School District",12437463,1125689,2106500,0,80559,0,0,0,7010,6540035,6925176
"67","IA","163012",2020,"Interstate 35 Community School District",18713740,1175342,4110072,0,1209128,0,0,0,36671,12899763,13467327
"68","OH","190675",2020,"Lorain Community School",3094677,146753,2155562,0,0,117003,0,0,0,0,2091487
"69","IA","163045",2020,"Kingsley-Pierson Community School District",7672025,1024649,2320982,0,651194,0,0,0,0,6450130,6727641
"70","IA","163053",2020,"Laurens-Marathon Community School District",1727167,570474,1042288,0,67377,0,0,0,0,4014316,4208946
"71","IA","163063",2020,"Louisa-Muscatine Community School District",11376806,1415155,4487854,0,170197,0,0,0,0,11195169,11489436
"72","IA","163066",2020,"Lynnville-Sully Community School District",5278977,830996,2705809,0,588229,0,0,0,0,7298970,7857853
"73","IA","163070",2020,"Madrid Community School District",13737176,1176780,3298159,0,935122,0,0,0,13329,9596258,9837399
"74","IA","163054",2020,"Lawton-Bronson Community School District",8246204,1159304,3186518,0,571623,0,0,0,9749,8708970,10591476
"75","IA","163064",2020,"Luverne Community School District",1098356,451096,547044,0,68953,0,0,0,24766,2497438,2606991
"76","IA","163076",2020,"Maquoketa Valley Community School District",9037789,1047948,3633325,0,796836,0,0,0,0,9641309,10221145
"77","IA","163073",2020,"Maple Valley-Anthon Oto Community School District",5563451,949255,3874149,0,181965,0,0,0,0,10006512,10864212
"78","IA","163067",2020,"MFL MarMac Community School District",7912357,1004036,4318209,0,286732,0,0,0,0,12218873,12518303
