"","state.abb","state.name","id","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","total_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"4333","MN","Minnesota",43928,"27157",2022,"wabasha county",27232797,15542313,659937,1736989,0,0,140142249,26736169,40594848,21380,4025,0.188198438303642,68843
"4334","TX","Texas",88382,"48341",2022,"moore county",902185,0,0,709188,4665322,0,29444761,18173888,19243512,21362,14639,0.685410618971814,61833
"4335","MN","Minnesota",58699,"27057",2020,"hubbard county",39755376,11785916,1110112,2874706,0,0,0,46726515,53245534,21348,0,0,65557
"4336","MN","Minnesota",58699,"27057",2021,"hubbard county",31397346,8280702,1068191,3864290,150152,0,0,46060794,51331283,21348,0,0,65557
"4337","MN","Minnesota",58699,"27057",2022,"hubbard county",45375160,23227227,1111120,178476,0,0,147623667,51413089,53562509,21348,0,0,65557
"4338","MS","Mississippi",119286,"28101",2020,"newton county",0,0,0,0,0,0,11151788,11966917,17346803,21293,0,0,45278
"4339","MS","Mississippi",119286,"28101",2021,"newton county",0,0,0,0,0,0,10734188,16932475,16506495,21293,0,0,45278
"4340","MS","Mississippi",119280,"28079",2020,"leake county",18330395,14396393,0,770872,0,0,31343264,15104248,17565314,21272,0,0,42938
"4341","MS","Mississippi",119280,"28079",2021,"leake county",20970270,11121244,0,3716289,0,0,0,15407140,17637328,21272,0,0,42938
"4342","MS","Mississippi",119280,"28079",2022,"leake county",28413807,15705315,0,5575994,0,0,43996790,21669064,22436360,21272,0,0,42938
"4343","TX","Texas",88358,"48299",2020,"llano county",5758955,269727,0,1127376,0,0,0,16163200,18108213,21243,10576,0.497858117968272,61037
"4344","TX","Texas",88358,"48299",2021,"llano county",12609374,265514,0,3396678,0,0,0,16715349,19078121,21243,10576,0.497858117968272,61037
"4345","MO","Missouri",81502,"29147",2020,"nodaway county",0,0,0,0,0,0,0,11924601,12788333,21240,11212,0.527847088178523,49751
"4346","MN","Minnesota",34719,"27045",2020,"fillmore county",12480722,7685693,1173902,1141012,0,0,0,28265134,34413155,21229,0,0,67804
"4347","MN","Minnesota",34719,"27045",2021,"fillmore county",11801555,5307452,1318228,3005998,30966,0,0,26976827,34421049,21229,0,0,67804
"4348","MN","Minnesota",34719,"27045",2022,"fillmore county",23416337,14579969,1350075,5391028,0,0,160572310,33245108,35871958,21229,0,0,67804
"4349","TX","Texas",129384,"48179",2022,"gray county",1194553,0,0,793004,4662916,0,27599852,13945713,14538564,21229,16865,0.794506995807227,45530
"4350","NC","North Carolina",36603,"37115",2020,"madison county",18231722,3552935,0,1712614,99164,0,0,29810985,30795514,21192,0,0,51849
"4351","NC","North Carolina",36603,"37115",2021,"madison county",18444599,4701581,0,1440240,64874,0,0,32623388,35957821,21192,0,0,51849
"4352","NC","North Carolina",36603,"37115",2022,"madison county",15510879,2278434,0,1735475,42555,0,39949347,32706470,43915250,21192,0,0,51849
"4353","WI","Wisconsin",39843,"55053",2020,"jackson county",11603819,0,1687446,2767961,2092200,0,0,29517109,30830823,21142,4415,0.208796405769686,59478
"4354","WI","Wisconsin",39843,"55053",2021,"jackson county",12630390,0,2278735,4092998,4162528,0,0,29844441,32178829,21142,4415,0.208796405769686,59478
"4355","WI","Wisconsin",39843,"55053",2022,"jackson county",13943819,0,2387889,5855882,5430867,0,119748566,31052716,34468276,21142,4415,0.208796405769686,59478
"4356","AR","Arkansas",96192,"05083",2020,"logan county",556508,0,0,556508,0,0,0,6116344,5506271,21132,0,0,45558
"4357","AR","Arkansas",96192,"05083",2021,"logan county",942319,1824963,0,942319,0,0,0,12427747,15398666,21132,0,0,45558
"4358","LA","Louisiana",116234,"22111",2020,"union parish",12099734,43604,747684,576681,0,0,0,16307729,18349197,21106,0,0,43746
"4359","LA","Louisiana",116234,"22111",2021,"union parish",13016486,3292,744354,586267,817084,0,0,18370879,19035806,21106,0,0,43746
"4360","LA","Louisiana",116234,"22111",2022,"union parish",13837039,26634,634487,625376,1942983,0,40214503,14589298,17442736,21106,0,0,43746
"4361","LA","Louisiana",116187,"22007",2020,"assumption parish",7163954,96952,5426564,1463134,0,0,0,17471272,18296806,21040,7469,0.355007367270308,42404
"4362","LA","Louisiana",116187,"22007",2021,"assumption parish",23784797,15319,5592921,5405580,574282,0,0,18986825,17651362,21040,7469,0.355007367270308,42404
"4363","LA","Louisiana",116187,"22007",2022,"assumption parish",24437800,96585,4992556,6641051,1540872,0,88642530,19969682,20095360,21040,7469,0.355007367270308,42404
"4364","TN","Tennessee",197492,"47129",2020,"morgan county",14955393,0,0,423480,1094619,0,0,14565977,17225543,21027,0,0,48122
"4365","TN","Tennessee",197492,"47129",2021,"morgan county",15809119,0,0,2642773,744829,0,0,15096235,19436496,21027,0,0,48122
"4366","TN","Tennessee",197492,"47129",2022,"morgan county",15288555,0,0,3540121,2266536,0,34525780,14761887,18916096,21027,0,0,48122
"4367","MO","Missouri",97977,"29141",2020,"morgan county",0,0,0,0,0,0,0,12611330,14382365,21000,0,0,50410
"4368","IL","Illinois",47951,"17173",2020,"shelby county",165791,0,0,114763,0,0,0,12499111,12651599,20995,4924,0.234587898999524,55725
"4369","IL","Illinois",47951,"17173",2021,"shelby county",152941,0,0,108528,0,0,0,17782960,19660252,20995,4924,0.234587898999524,55725
"4370","SC","South Carolina",44410,"45039",2020,"fairfield county",70226921,27699502,11470073,2429428,0,0,0,44099103,39098082,20951,4759,0.227181592514799,40766
"4371","SC","South Carolina",44410,"45039",2021,"fairfield county",77026630,31391555,14334736,2703970,0,0,0,43993516,42746513,20951,4759,0.227181592514799,40766
"4372","SC","South Carolina",44410,"45039",2022,"fairfield county",67503868,26252850,12500436,4280607,0,0,166069820,43218704,114641982,20951,4759,0.227181592514799,40766
"4373","IL","Illinois",73514,"17145",2020,"perry county",1608953,269725,0,406561,1365058,0,0,9400059,11885618,20940,5933,0.283265695870136,53071
"4374","IL","Illinois",73514,"17145",2021,"perry county",1330167,0,0,204138,0,0,0,9494360,16432097,20940,5933,0.283265695870136,53071
"4375","IL","Illinois",73514,"17145",2022,"perry county",5364109,4133048,0,378855,0,0,26813975,11694915,15733151,20940,5933,0.283265695870136,53071
"4376","MN","Minnesota",81310,"27039",2020,"dodge county",23675435,9359648,3465440,1880178,0,0,0,32620438,40595083,20873,7649,0.36655963962237,84385
"4377","NE","Nebraska",282469,"31177",2020,"washington county",0,0,0,0,0,0,0,35821220,30767322,20865,8001,0.383465132997843,100572
"4378","NE","Nebraska",282469,"31177",2021,"washington county",0,0,0,0,0,0,0,28746689,26010820,20865,8001,0.383465132997843,100572
"4379","NE","Nebraska",282469,"31177",2022,"washington county",417078,0,0,417078,0,0,9817551,24776979,23133674,20865,8001,0.383465132997843,100572
"4380","TX","Texas",88067,"48019",2020,"bandera county",13796104,6857427,527670,489416,0,0,0,22635314,21878434,20843,0,0,69051
"4381","TX","Texas",88067,"48019",2021,"bandera county",17311731,8778450,626774,2817088,0,0,0,20981932,22697121,20843,0,0,69051
