"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","median_hh_income_21"
"41","AR","Arkansas",101828,"0577330",2020,"yellville","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1173,NA
"42","AR","Arkansas",96226,"0548290",2020,"murfreesboro","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1498,NA
"43","AR","Arkansas",96025,"0504420",2020,"bearden","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,774,NA
"44","AR","Arkansas",101776,"0536310",2020,"keiser","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,750,NA
"45","WV","West Virginia",1268561,"5426452",2020,"fairmont","General Purpose",121871094,1944264,80582346,0,2201795,0,0,0,1909862,28170353,28708381,-57617107,18417,NA
"46","AR","Arkansas",110986,"0541270",2020,"london","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,934,NA
"47","AR","Arkansas",96033,"0506700",2020,"black rock","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,592,NA
"48","AR","Arkansas",101823,"0568660",2020,"taylor","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,576,NA
"49","AR","Arkansas",96284,"0566860",2020,"stephens","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,775,NA
"50","KY","Kentucky",96873,"2149368",2020,"madisonville","General Purpose",83273457,4856753,55277494,0,12996013,0,0,0,533947,67188733,64839752,-30840378,19548,NA
"51","AR","Arkansas",96237,"0552880",2020,"oxford","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,575,NA
"52","AR","Arkansas",110940,"0500970",2020,"alma","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5827,NA
"53","OK","Oklahoma",125607,"4036600",2020,"hunter","General Purpose",12800,12800,0,0,0,0,0,0,0,124904,164293,0,143,NA
"54","AR","Arkansas",196352,"0507330",2020,"blytheville","General Purpose",1170307,1170307,4793645,0,0,0,0,0,719487,19248870,16759131,0,13408,NA
"55","OK","Oklahoma",125521,"4036700",2020,"hydro","General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,926,NA
"56","OK","Oklahoma",125763,"4036750",2020,"idabel","General Purpose",229634,229634,0,0,0,0,0,0,0,10465937,9804005,5873056,6967,NA
"57","AR","Arkansas",149866,"0509790",2020,"bull shoals","General Purpose",4733579,853813,0,0,0,0,0,0,0,1048672,5523742,0,1954,NA
"58","AZ","Arizona",103732,"0405770",2020,"benson","General Purpose",11326510,591393,NA,NA,NA,NA,38147052,9928178,NA,11562642,11562642,2527401,5357,NA
"59","OK","Oklahoma",125584,"4037650",2020,"jay","General Purpose",3060648,237763,0,0,0,0,0,0,0,4418234,5595102,1483217,2422,NA
"60","AR","Arkansas",96167,"0534900",2020,"jasper","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,535,NA
"61","OK","Oklahoma",125559,"4036850",2020,"indiahoma","General Purpose",0,0,0,0,0,0,0,0,0,180218,181145,0,277,NA
"62","KY","Kentucky",33601,"2151024",2020,"maysville","General Purpose",42573329,1726162,21557661,0,5287788,0,0,0,0,22599109,20445553,-3465938,8871,NA
"63","AR","Arkansas",110951,"0501210",2020,"altus","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,668,NA
"64","AR","Arkansas",110980,"0510720",2020,"camden","General Purpose",163251,163251,3695754,0,0,0,0,0,0,10241151,11142897,0,10618,NA
"65","AR","Arkansas",96128,"0527730",2020,"gould","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,660,NA
"66","OK","Oklahoma",125977,"4037800",2020,"jenks","General Purpose",59925680,3267341,3905090,24727,198133,0,0,0,533833,36083585,40942510,42567610,25944,NA
"67","CA","California",111016,"0613945",2020,"clearlake","General Purpose",9729051,994741,NA,NA,NA,NA,41054751,15963147,NA,11982487,12092475,-4705901,16687,NA
"68","CA","California",67629,"0651140",2020,"newman","General Purpose",11988888,11569905,NA,NA,NA,NA,53442294,24510865,404622,13136230,14830136,3701315,12389,NA
"69","AR","Arkansas",110972,"0511500",2020,"carlisle","General Purpose",139324,139324,0,0,0,0,0,0,54420,2671413,2815537,0,2037,NA
"70","KY","Kentucky",1268687,"2154228",2020,"mount washington","General Purpose",40428514,1872193,11230047,0,2856866,0,0,0,214812,20222085,18493334,0,18098,NA
"71","AR","Arkansas",110995,"0509460",2020,"bryant","General Purpose",69267180,1097083,16284980,0,1108155,0,0,0,0,34763963,31363962,0,20665,NA
"72","OK","Oklahoma",125897,"4036950",2020,"indianola","General Purpose",0,0,0,0,0,0,0,0,0,26006,37026,0,149,NA
"73","AZ","Arizona",110885,"0441330",2020,"litchfield park","General Purpose",9533821,818859,NA,NA,NA,5903,41990396,15886438,NA,8955610,13556557,10622374,6849,NA
"74","OK","Oklahoma",125933,"4037100",2020,"inola","General Purpose",1507194,259497,29288,0,0,0,0,0,0,2128055,2678032,3246203,1892,NA
"75","NY","New York",82361,"3664881",2020,"saltaire","General Purpose",15948652,897364,661255,0,2850033,0,0,0,0,4232833,6632327,0,110,NA
"76","OK","Oklahoma",125475,"4038000",2020,"jet","General Purpose",457381,7381,0,0,0,0,0,0,0,239637,194874,0,196,NA
"77","KY","Kentucky",33588,"2154642",2020,"murray","General Purpose",109314367,5001013,29958875,0,7673259,0,0,0,782391,36762350,37954569,-2568219,17305,NA
"78","KY","Kentucky",93321,"2155884",2020,"newport","General Purpose",68533389,3028477,34962511,0,8747120,0,0,0,1455364,26257606,25081413,-32211894,14161,NA
"79","OK","Oklahoma",125833,"4038350",2020,"jones","General Purpose",616538,3205,0,0,0,0,0,0,0,2522591,2674333,619828,2886,NA
"80","AR","Arkansas",103910,"0521070",2020,"el dorado","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17755,NA
"81","KY","Kentucky",116038,"2156136",2020,"nicholasville","General Purpose",90985513,5949125,42911993,0,11070498,0,0,0,821861,53006106,54321444,-14044000,31104,NA
"82","AR","Arkansas",96056,"0512340",2020,"cave springs","General Purpose",0,0,0,0,0,0,0,0,0,3154838,11264563,0,5491,NA
"83","KY","Kentucky",196801,"2158836",2020,"paducah","General Purpose",137516114,4335871,67724130,0,16717331,0,0,0,2268559,59428395,55244874,-1024038,27119,NA
"84","CA","California",67818,"0668028",2020,"san juan capistrano","General Purpose",87164600,5701669,26191970,NA,3908764,NA,290743530,108871591,NA,58561374,58561374,39384733,35198,NA
"85","NE","Nebraska",57490,"3103285",2020,"bayard","General Purpose",4203744,317368,0,0,0,0,0,0,2271,2671523,2847152,0,1133,NA
"86","CA","California",165540,"0609780",2020,"california city","General Purpose",19890576,1504144,15472268,NA,NA,NA,151137866,21456880,NA,24630781,26894830,4433517,14969,NA
"87","CA","California",31764,"0608058",2020,"brawley","General Purpose",52307076,11749442,NA,NA,NA,NA,153909910,61947723,NA,31022476,31022476,-230190,26421,NA
"88","CA","California",67887,"0672576",2020,"solvang","General Purpose",NA,NA,NA,NA,NA,NA,53410840,28955501,NA,18893036,18893036,NA,6126,NA
"89","AR","Arkansas",101729,"0504180",2020,"bay","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1876,NA
