"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","median_hh_income_21"
"1907","FL","Florida",32315,"1238250",2020,"lakeland","General Purpose",1259980238,23277087,173859727,0,212858039,0,0,0,15631750,503625163,562564282,0,112640,55029
"1908","FL","Florida",69481,"1238425",2020,"lake mary","General Purpose",8055834,3236994,722571,1420580,1802585,0,0,0,1625509,30692670,30711458,0,16807,NA
"1909","FL","Florida",103473,"1238600",2020,"lake park","General Purpose",8547667,584708,226395,0,123631,0,0,0,321582,13261269,15832730,0,9070,NA
"1910","FL","Florida",69485,"1238625",2020,"lake placid","General Purpose",4818180,811839,3289990,0,0,0,0,0,144077,5409040,6515337,0,2377,NA
"1911","FL","Florida",69518,"1239375",2020,"lantana","General Purpose",6498444,1380622,3005012,0,662841,0,0,0,913648,18040175,21885443,23876180,11493,NA
"1912","FL","Florida",1265673,"1239425",2020,"largo","General Purpose",187729633,17163361,41469485,0,17471052,0,0,0,3570000,132763690,140887877,12844417,82544,55228
"1913","FL","Florida",90239,"1239475",2020,"lauderdale-by-the-sea","General Purpose",5375292,1178603,3910717,514425,119631,0,0,0,166341,17095746,19165066,0,6194,NA
"1914","FL","Florida",69521,"1239525",2020,"lauderdale lakes","General Purpose",5007501,0,0,0,0,0,0,0,0,937717,4271735,0,35965,NA
"1915","FL","Florida",148124,"1239550",2020,"lauderhill","General Purpose",224860839,11233416,44548447,0,21991368,0,0,0,3780000,123916405,125990415,0,74479,44975
"1916","FL","Florida",101883,"1239650",2020,"laurel hill","General Purpose",342441,46541,0,0,0,0,0,0,0,630936,834446,0,582,NA
"1917","FL","Florida",148126,"1239700",2020,"lawtey","General Purpose",2171217,46356,0,0,0,0,0,0,0,1026436,1450381,522735,634,NA
"1918","FL","Florida",69524,"1239725",2020,"layton","General Purpose",15501,15501,0,0,0,0,0,0,0,319321,375388,1327461,211,NA
"1919","FL","Florida",90298,"1257950",2020,"polk city","General Purpose",15267094,707350,1192912,0,0,0,0,0,71426,4534422,6788178,0,2715,NA
"1920","FL","Florida",101887,"1258025",2020,"pomona park","General Purpose",28363,0,0,0,0,0,0,0,21615,578889,499544,0,781,NA
"1921","FL","Florida",51614,"1258050",2020,"pompano beach","General Purpose",403752349,18825811,193678492,0,13512239,0,0,0,10164210,270600602,279899331,-29213594,112056,53737
"1922","OR","Oregon",86405,"4150000",2020,"moro","General Purpose",1203917,6471,0,0,0,0,0,0,0,454552,621719,585924,367,NA
"1923","FL","Florida",70027,"1258175",2020,"ponce de leon","General Purpose",754304,137527,0,0,0,0,0,0,0,879794,966395,46630,502,NA
"1924","FL","Florida",70028,"1258200",2020,"ponce inlet","General Purpose",12176757,924207,7417864,0,165558,0,0,0,386249,10902766,10659551,0,3365,NA
"1925","FL","Florida",32326,"1258575",2020,"port orange","General Purpose",107816301,13086209,30975200,0,6024930,0,0,0,3189285,82402093,96347605,0,62622,NA
"1926","FL","Florida",70034,"1258600",2020,"port richey","General Purpose",11552889,635062,6264644,0,1872578,0,0,0,580967,10338065,10259410,-3500842,3060,NA
"1927","FL","Florida",70035,"1258675",2020,"port st joe","General Purpose",20255939,583044,4447648,0,0,0,0,0,168350,12813792,14330868,145655060,3362,NA
"1928","FL","Florida",1265863,"1258715",2020,"port st lucie","General Purpose",847402277,41295076,22989528,0,11426579,0,0,0,15291897,295368518,368694699,145655060,204856,71381
"1929","FL","Florida",48953,"1259200",2020,"punta gorda","General Purpose",57255243,5186630,9252301,0,13457127,0,0,0,1169646,51263323,65422314,14662324,19469,NA
"1930","FL","Florida",69529,"1239850",2020,"lee","General Purpose",585182,68352,0,0,0,0,0,0,3411,635962,447749,0,371,NA
"1931","OR","Oregon",86203,"4143550",2020,"long creek","General Purpose",22311,0,0,0,0,0,0,0,0,210887,177124,0,171,NA
"1932","FL","Florida",69555,"1240450",2020,"lighthouse point","General Purpose",38530698,1523217,15338450,3203358,1115059,0,0,0,1756442,23301665,20456866,7330317,10488,NA
"1933","OR","Oregon",86213,"4143900",2020,"lostine","General Purpose",695135,0,0,0,0,0,0,0,0,176288,150531,0,239,NA
"1934","FL","Florida",165682,"1240875",2020,"live oak","General Purpose",21283866,1483108,6808436,0,433664,0,0,0,219800,14356622,14569541,0,6736,NA
"1935","FL","Florida",165683,"1241150",2020,"longboat key","General Purpose",116782888,36462413,29933088,0,1635576,0,0,0,1120671,34126980,38185975,0,7505,NA
"1936","FL","Florida",69579,"1241250",2020,"longwood","General Purpose",29386505,3166091,2441468,580197,3762264,0,0,0,1195036,25356115,26905329,0,15089,NA
"1937","FL","Florida",92008,"1241577",2020,"loxahatchee groves","General Purpose",1854641,456481,1072696,0,0,0,0,0,83089,5294008,5352464,0,3356,NA
"1938","FL","Florida",1160280,"1241825",2020,"lynn haven","General Purpose",76598007,4065237,2612991,0,433872,0,0,0,599198,29920470,38085051,8041633,18707,NA
"1939","OR","Oregon",86216,"4144050",2020,"lowell","General Purpose",2029457,35860,0,0,0,0,0,0,0,1368183,1306468,0,1196,NA
"1940","FL","Florida",69591,"1241950",2020,"macclenny","General Purpose",10452870,360872,3894606,0,49581,0,0,0,275197,7336638,9657492,5032637,7306,NA
"1941","FL","Florida",69592,"1242400",2020,"madeira beach","General Purpose",30619347,2709405,3058227,0,44668,0,0,0,426032,16278517,17634504,15907027,3896,NA
"1942","FL","Florida",69594,"1242425",2020,"madison","General Purpose",6252610,431988,1208935,0,0,0,0,0,228484,7747135,7721845,966897,2913,NA
"1943","GA","Georgia",92038,"1349100",2020,"mcrae-helena","General Purpose",6579001,35142,1229486,0,0,0,0,0,0,5060760,6741568,4516478,6256,NA
"1944","OR","Oregon",86233,"4144300",2020,"lyons","General Purpose",148033,0,144182,0,0,0,0,0,3851,376753,476449,0,1208,NA
"1945","FL","Florida",69608,"1242625",2020,"malabar","General Purpose",2450695,104003,1626306,0,0,0,0,0,110005,2098142,2080245,0,2951,NA
"1946","FL","Florida",69609,"1242650",2020,"malone","General Purpose",367866,89521,0,0,0,0,0,0,0,863011,1430914,0,1956,NA
"1947","FL","Florida",69611,"1242700",2020,"manalapan","General Purpose",3929117,370234,549517,0,104241,0,0,0,138061,7128162,7910313,0,419,NA
"1948","GA","Georgia",90320,"1351072",2020,"metter","General Purpose",2607606,799701,0,0,0,0,0,0,100654,5898905,7143143,2220262,4003,NA
"1949","FL","Florida",103483,"1242900",2020,"mangonia park","General Purpose",2382296,756533,789343,0,0,0,0,0,30393,4334162,4864153,0,2145,NA
"1950","OR","Oregon",65026,"4145250",2020,"madras","General Purpose",25094358,1461383,3937079,0,1091476,37224,0,0,45493,11558444,12760087,0,7464,NA
"1951","GA","Georgia",32465,"1351492",2020,"milledgeville","General Purpose",11738708,3106944,1909883,0,0,0,0,0,717226,24366706,24280473,0,17090,NA
"1952","FL","Florida",69622,"1243000",2020,"marathon","General Purpose",56671047,2263950,97355,1920904,855522,0,0,0,285036,28663123,47196489,41251408,9735,NA
"1953","FL","Florida",65610,"1243083",2020,"marco island","General Purpose",177365476,8043453,837251,2267927,1373414,0,0,0,2435285,64379102,74240813,32850849,15762,NA
"1954","GA","Georgia",53245,"1351520",2020,"millen","General Purpose",3490046,298496,579941,0,0,0,0,0,101259,5587952,8213857,745259,2967,NA
"1955","FL","Florida",69625,"1243125",2020,"margate","General Purpose",180144996,10651723,99518985,0,19152742,0,0,0,14058535,109314199,115404343,8613020,58700,NA
"1956","FL","Florida",32299,"1243175",2020,"marianna","General Purpose",27919662,2849185,12106855,2658215,434643,0,0,0,1056092,36257104,40605041,8844893,6244,NA
"1957","OR","Oregon",86844,"4165650",2020,"scio","General Purpose",177065,0,0,0,0,0,0,0,0,781168,966001,1298588,961,NA
"1958","GA","Georgia",70927,"1351670",2020,"milton","General Purpose",60917480,7282206,3004766,0,0,0,0,0,686699,29946285,44002432,24838051,41290,NA
"1959","FL","Florida",69626,"1243250",2020,"marineland","General Purpose",154468,10750,0,0,0,0,0,0,0,124852,145313,0,7,NA
"1960","GA","Georgia",96497,"1351968",2020,"mitchell","General Purpose",22451,22451,0,0,0,0,0,0,0,160839,160776,239620,153,NA
"1961","FL","Florida",69635,"1243375",2020,"mary esther","General Purpose",1206957,847967,0,0,164435,0,0,0,134555,5785149,7172958,6421470,3983,NA
"1962","FL","Florida",69636,"1243425",2020,"mascotte","General Purpose",1329914,916596,0,0,0,0,0,0,343048,6408382,8161520,5722694,6601,NA
"1963","FL","Florida",69670,"1243575",2020,"mayo","General Purpose",838242,87847,690089,0,0,0,0,0,15114,1079233,1292969,0,1052,NA
"1964","FL","Florida",69671,"1242150",2020,"mcintosh","General Purpose",15596,15596,0,0,0,0,0,0,0,305477,455201,0,466,NA
"1965","OR","Oregon",86263,"4145400",2020,"malin","General Purpose",0,0,194484,0,0,0,0,0,0,771976,720789,0,731,NA
"1966","FL","Florida",69684,"1243900",2020,"medley","General Purpose",34166978,2407040,2372019,402393,13711868,0,0,0,1652698,30226472,31184119,13158679,1054,NA
"1967","FL","Florida",92009,"1244075",2020,"melbourne","General Purpose",221441819,22809081,76519852,1118553,15204629,0,0,0,5066559,141555175,158841604,0,677,NA
"1968","FL","Florida",69686,"1244000",2020,"melbourne beach","General Purpose",4621596,146823,1371805,0,40602,0,0,0,244631,3480233,3831637,0,3228,NA
"1969","FL","Florida",69690,"1244300",2020,"mexico beach","General Purpose",25657619,18261665,2799694,0,0,0,0,0,69491,18440928,19235319,0,913,NA
"1970","OR","Oregon",86423,"4150150",2020,"mount angel","General Purpose",18480,18480,0,0,0,0,0,0,0,3227717,3798749,6832353,3390,NA
"1971","FL","Florida",148153,"1259325",2020,"quincy","General Purpose",35506831,5502117,2709553,0,8046269,0,0,0,516360,28016074,29104735,-7795187,7958,NA
"1972","FL","Florida",92017,"1259675",2020,"reddick","General Purpose",3462,3462,0,0,0,0,0,0,0,154102,290129,0,448,NA
"1973","OR","Oregon",86848,"4165800",2020,"scotts mills","General Purpose",0,0,0,0,0,0,0,0,0,192863,242515,325484,421,NA
"1974","FL","Florida",70072,"1259725",2020,"redington beach","General Purpose",104327,104327,0,0,0,0,0,0,0,1327699,1776186,0,1380,NA
"1975","GA","Georgia",111341,"1353004",2020,"morrow","General Purpose",11527339,743452,3420110,0,0,0,0,0,178777,15274794,12907633,6529201,6682,NA
"1976","FL","Florida",70073,"1259750",2020,"redington shores","General Purpose",1656433,224318,0,0,0,0,0,0,21857,3595995,4087643,0,2179,NA
"1977","FL","Florida",148155,"1260975",2020,"riviera beach","General Purpose",223662285,21186538,1801407,7579526,6313260,0,0,0,5599786,128888845,135926167,0,37598,NA
"1978","OR","Oregon",190980,"4150250",2020,"mt vernon","General Purpose",756789,15051,0,0,0,0,0,0,14457,612306,2001466,289770,548,NA
"1979","FL","Florida",32267,"1261500",2020,"rockledge","General Purpose",10262256,1827455,2992681,198306,927407,0,0,0,1876477,25414341,32271320,0,27685,NA
"1980","GA","Georgia",92039,"1353060",2020,"moultrie","General Purpose",26731621,4365205,4037446,0,0,0,0,0,32530,45082498,48934362,64506323,14638,NA
"1981","FL","Florida",96419,"1262100",2020,"royal palm beach","General Purpose",16790707,3170811,11447550,0,951001,0,0,0,721345,32218663,29984754,0,38925,NA
"1982","FL","Florida",70142,"1262425",2020,"safety harbor","General Purpose",23262806,3202954,1689387,2133033,1386639,0,0,0,1238456,29285362,36265054,0,17060,NA
"1983","FL","Florida",70148,"1263375",2020,"san antonio","General Purpose",450410,38418,224319,0,0,0,0,0,8673,908922,1161454,0,1293,NA
"1984","FL","Florida",32321,"1263650",2020,"sanford","General Purpose",135031675,10284528,37377865,0,16400723,0,0,0,2798093,92803317,112795404,0,61082,NA
"1985","FL","Florida",65383,"1263700",2020,"sanibel","General Purpose",41073770,3682094,6699769,0,440502,0,0,0,1291581,31754593,35682125,0,6381,NA
"1986","GA","Georgia",96502,"1355020",2020,"newnan","General Purpose",20314782,4485009,14869991,0,0,0,0,0,959782,39439639,45922672,23201348,42544,NA
"1987","FL","Florida",32320,"1264175",2020,"sarasota","General Purpose",324739356,36420225,104738790,0,47097003,0,0,0,7581578,157635200,189921631,-12957922,54840,NA
"1988","FL","Florida",96420,"1264400",2020,"satellite beach","General Purpose",23528160,1214275,7430603,0,4425353,0,0,0,596756,13580167,14977080,0,11226,NA
"1989","FL","Florida",70177,"1264725",2020,"sea ranch lakes","General Purpose",122053,53897,0,0,0,0,0,0,68156,1876102,1996982,1031655,540,NA
"1990","OR","Oregon",86458,"4150950",2020,"myrtle creek","General Purpose",10057820,376254,1812862,0,67379,0,0,0,114362,5399633,6903960,1118507,3477,NA
"1991","OR","Oregon",86853,"4165950",2020,"seaside","General Purpose",46700672,8311391,11824637,0,472944,0,0,0,785292,23452342,20903090,5247284,7118,NA
"1992","FL","Florida",43496,"1264825",2020,"sebastian","General Purpose",9799254,2415119,4056050,0,0,0,0,0,1759482,22951311,23403236,86420,25039,NA
"1993","GA","Georgia",92040,"1355776",2020,"norcross","General Purpose",26368420,4064562,2151572,0,14787367,0,0,0,283601,32879922,37000086,11943098,17211,NA
"1994","FL","Florida",70187,"1264875",2020,"sebring","General Purpose",29154648,4166325,15564008,0,1245495,0,0,0,441183,24613966,24046473,0,10966,NA
"1995","FL","Florida",70188,"1264975",2020,"seminole","General Purpose",26452087,1789605,23033426,0,515990,0,0,0,1113066,22765221,21440445,0,19393,NA
"1996","FL","Florida",70197,"1265225",2020,"sewalls point","General Purpose",525770,464824,0,0,0,0,0,0,60946,3721818,3844860,0,1991,NA
"1997","GA","Georgia",96506,"1357456",2020,"oconee","General Purpose",8173,8173,0,0,0,0,0,0,0,195900,186224,396863,192,NA
"1998","OR","Oregon",86461,"4151050",2020,"myrtle point","General Purpose",12573788,174450,1809444,0,0,0,0,0,0,4778992,4345473,16020274,2480,NA
"1999","FL","Florida",70198,"1265425",2020,"shalimar","General Purpose",14601,11140,0,0,0,0,0,0,3461,679833,895387,0,737,NA
"2000","FL","Florida",70215,"1266725",2020,"sneads","General Purpose",3915334,201290,1289026,0,0,0,0,0,100409,3105584,4080850,0,1701,NA
"2001","FL","Florida",70271,"1266925",2020,"sopchoppy","General Purpose",2176529,568725,732644,0,0,0,0,0,91644,1605220,2592832,4906149,420,NA
"2002","FL","Florida",149433,"1267175",2020,"south bay","General Purpose",2277151,1070127,117078,0,0,0,0,0,97230,3438888,4603824,0,4856,NA
"2003","FL","Florida",65618,"1267325",2020,"south daytona","General Purpose",27754086,2899450,12531851,0,1656496,0,0,0,950338,20279292,23756996,-9356235,12852,NA
"2004","GA","Georgia",90303,"1357568",2020,"offerman","General Purpose",304,304,0,0,0,0,0,0,0,134161,231261,421819,449,NA
"2005","FL","Florida",70291,"1267550",2020,"south miami","General Purpose",14429572,3458193,0,2405820,344558,0,0,0,1473821,23132052,25817068,17316636,12026,NA
"2006","OR","Oregon",86857,"4166200",2020,"seneca","General Purpose",924312,79008,0,0,0,0,0,0,0,321572,2393964,279043,165,NA
"2007","FL","Florida",70292,"1267650",2020,"south palm beach","General Purpose",1424983,622232,776933,0,0,0,0,0,25818,2587108,2767164,0,1471,NA
"2008","OR","Oregon",86470,"4151700",2020,"nehalem","General Purpose",2065058,0,0,0,0,0,0,0,0,790551,890921,1183907,271,NA
"2009","FL","Florida",70293,"1267675",2020,"south pasadena","General Purpose",5495864,376269,4675599,0,184242,0,0,0,259754,8198245,7923681,0,5353,NA
"2010","FL","Florida",100148,"1268135",2020,"southwest ranches","General Purpose",10877227,1217281,0,0,0,0,0,0,0,14495204,16076642,0,7606,NA
"2011","GA","Georgia",96508,"1358744",2020,"oxford","General Purpose",1209273,351236,350968,0,0,0,0,0,24216,4089695,5017040,7846899,2298,NA
"2012","FL","Florida",44304,"1268275",2020,"springfield","General Purpose",37566349,4689986,6956517,0,8550030,0,0,0,74822,16258312,25378031,-9724219,8083,NA
"2013","FL","Florida",70366,"1268525",2020,"starke","General Purpose",10052232,3372532,3949355,0,853933,0,0,0,235172,14894073,17761592,0,5789,NA
"2014","OR","Oregon",86490,"4152100",2020,"newberg","General Purpose",63405467,2626985,22601264,0,936240,0,0,0,1309710,36697259,38972485,10707202,25453,NA
"2015","FL","Florida",148165,"1262500",2020,"st augustine","General Purpose",76291008,5195386,6761851,0,1779456,0,0,0,3909495,59477826,70694195,27604743,14319,NA
"2016","GA","Georgia",96510,"1359556",2020,"pavo","General Purpose",206163,44572,0,0,0,0,0,0,0,606410,768720,600739,618,NA
"2017","FL","Florida",70342,"1262525",2020,"st augustine beach","General Purpose",16267305,306552,7057813,0,687064,0,0,0,334406,7911266,7971103,0,6801,NA
"2018","FL","Florida",398385,"1262625",2020,"st cloud","General Purpose",116779288,17257569,11557206,2733049,3420235,0,0,0,2245033,91481931,127934298,0,58950,NA
"2019","FL","Florida",70347,"1262775",2020,"st leo","General Purpose",28581,16950,0,0,0,0,0,0,11631,395743,684742,0,2356,NA
"2020","FL","Florida",96422,"1262800",2020,"st lucie","General Purpose",16089,16089,0,0,0,0,0,0,0,458107,386178,0,609,NA
"2021","OR","Oregon",103169,"4152450",2020,"newport","General Purpose",73268122,11465840,6706206,0,481486,0,0,0,677969,43777984,47858087,-2051408,10253,NA
"2022","GA","Georgia",189174,"1359724",2020,"peachtree city","General Purpose",63012898,20921265,4172176,0,4236256,0,0,0,1029466,48418431,64104452,26623926,38257,NA
"2023","FL","Florida",96423,"1262825",2020,"st marks","General Purpose",139744,50991,0,0,0,0,0,0,7276,919688,653911,869952,276,NA
"2024","FL","Florida",70362,"1262885",2020,"st pete beach","General Purpose",41713811,3408287,11282765,0,529476,0,0,0,475621,25173386,35369506,0,8882,NA
"2025","OR","Oregon",86858,"4166550",2020,"shady cove","General Purpose",2618956,560399,215561,0,0,4376,0,0,14684,2500806,-2914577,0,3087,NA
"2026","GA","Georgia",95838,"1359735",2020,"peachtree corners","General Purpose",18149696,4250141,0,0,0,0,0,0,184555,18187568,27515928,13517034,42262,NA
"2027","FL","Florida",32314,"1263000",2020,"st petersburg","General Purpose",1355292248,74380972,102271391,16809084,224027878,0,2532474006,0,32443000,606737722,662235246,275918144,258356,64141
"2028","NY","New York",122313,"3677849",2020,"walden","General Purpose",24491843,1246309,3902838,0,14887668,0,0,0,417118,10760905,11595362,-13593639,6893,NA
"2029","OR","Oregon",86504,"4153000",2020,"north bend","General Purpose",17383998,969115,9671268,0,340260,0,0,0,346906,13733316,15455151,34629683,10316,NA
"2030","FL","Florida",65619,"1268875",2020,"stuart","General Purpose",84103734,7147259,33790486,0,2667900,0,0,0,3047962,48355256,51572241,-286460,17434,NA
"2031","FL","Florida",70398,"1269555",2020,"sunny isles beach","General Purpose",69592242,6223582,32049328,0,5914336,0,0,0,4849783,46638316,47364640,23915548,22342,NA
"2032","FL","Florida",32280,"1269700",2020,"sunrise","General Purpose",618988049,38832433,268609690,0,39790222,0,0,0,15380029,286521516,305061435,0,97309,66184
"2033","FL","Florida",148168,"1270075",2020,"surfside","General Purpose",20694004,2498076,3342926,0,1197183,0,0,0,669262,23619679,29794775,0,5684,NA
"2034","OR","Oregon",86539,"4153150",2020,"north plains","General Purpose",5521176,1249498,1456154,0,81657,0,0,0,39285,3469308,6996768,1793547,3440,NA
"2035","FL","Florida",92020,"1270345",2020,"sweetwater","General Purpose",9437662,4367313,3001568,0,0,0,0,0,1338667,20465191,23740492,4534965,19363,NA
"2036","FL","Florida",32302,"1270600",2020,"tallahassee","General Purpose",1566127000,89501000,286749000,0,93361000,0,0,0,24514000,803064000,734522000,44060000,196171,51224
"2037","GA","Georgia",96511,"1360004",2020,"pembroke","General Purpose",7740415,223712,658432,0,0,0,0,0,34483,4844920,6345141,0,2511,NA
"2038","FL","Florida",64790,"1270675",2020,"tamarac","General Purpose",104765351,16081877,3407722,19513787,7937041,0,0,0,4394654,99543330,122776553,124604104,71903,59885
"2039","FL","Florida",32297,"1271000",2020,"tampa","General Purpose",1547995667,109988927,201706974,0,135123704,0,3854320368,0,66834663,922750269,992365061,346907497,384661,63404
"2040","FL","Florida",65379,"1271150",2020,"tarpon springs","General Purpose",53347587,8614507,7920157,0,3060221,0,0,0,1841471,54887722,56345334,0,25135,NA
"2041","OR","Oregon",86540,"4153300",2020,"north powder","General Purpose",329118,99713,140608,0,0,0,0,0,0,459557,520902,595178,503,NA
"2042","FL","Florida",70430,"1271225",2020,"tavares","General Purpose",82403459,6191407,11755780,276402,628953,0,0,0,1571738,32377564,38662853,0,19003,NA
"2043","FL","Florida",70435,"1271400",2020,"temple terrace","General Purpose",59704115,4620484,30220405,0,7703086,0,0,0,1125834,44746876,53752738,-31478828,26701,NA
"2044","FL","Florida",70436,"1271525",2020,"tequesta","General Purpose",9895235,1918088,2546737,0,390250,0,0,0,952024,20290741,20800855,0,6163,NA
"2045","GA","Georgia",32480,"1360340",2020,"perry","General Purpose",38424053,3480791,0,1261793,0,0,0,0,739266,38549516,39399892,11158311,20626,NA
"2046","FL","Florida",101895,"1271900",2020,"titusville","General Purpose",124785596,7178785,11694588,0,66775611,0,0,0,3968746,65735458,75342226,0,48790,NA
"2047","FL","Florida",70524,"1272325",2020,"treasure island","General Purpose",23834683,1825471,8992702,0,452162,0,0,0,991885,23186149,24427357,0,6581,NA
"2048","OR","Oregon",53943,"4153750",2020,"nyssa","General Purpose",9089826,64099,0,0,0,0,0,0,0,3059419,2991804,0,3200,NA
"2049","FL","Florida",70527,"1272350",2020,"trenton","General Purpose",1706424,215515,1234211,0,0,0,0,0,35916,2869825,3591725,1893099,2017,NA
"2050","FL","Florida",70552,"1273025",2020,"umatilla","General Purpose",4149848,517105,1700099,676702,3081,0,0,0,205585,6739816,7871631,2479850,3741,NA
"2051","FL","Florida",70569,"1273675",2020,"valparaiso","General Purpose",5157253,452767,202509,994531,11878,0,0,0,238177,8096015,9934051,4535985,4753,NA
"2052","FL","Florida",49637,"1273900",2020,"venice","General Purpose",151934419,10735962,53254759,0,11052220,0,0,0,1991094,70965593,85314762,13816000,25461,NA
"2053","OR","Oregon",86572,"4154000",2020,"oakland","General Purpose",4373348,118656,296637,2617,0,0,0,0,0,1617082,3910509,0,934,NA
"2054","FL","Florida",96432,"1274125",2020,"vernon","General Purpose",984836,86532,148797,0,0,0,0,0,0,1457564,1010365,0,730,NA
"2055","FL","Florida",44080,"1274150",2020,"vero beach","General Purpose",64036648,4063501,15409456,0,26701214,0,0,0,5083948,49410458,54651497,51855458,16364,NA
"2056","FL","Florida",70618,"1274575",2020,"virginia gardens","General Purpose",404185,245710,0,0,0,0,0,0,158475,3643307,3460301,685090,2362,NA
"2057","GA","Georgia",96514,"1361124",2020,"pine mountain","General Purpose",1471005,133615,369954,0,0,0,0,0,0,2641313,3161676,2281605,1217,NA
"2058","FL","Florida",70631,"1274925",2020,"waldo","General Purpose",2434120,203740,0,0,0,0,0,0,45380,1680972,1678504,0,843,NA
"2059","OR","Oregon",37566,"4154100",2020,"oakridge","General Purpose",8404962,457946,2846143,0,87466,0,0,0,122707,5123695,5341648,0,3208,NA
"2060","FL","Florida",32295,"1275375",2020,"wauchula","General Purpose",12060168,1399025,0,2508615,6021766,0,0,0,469196,14308294,15000595,3941225,4897,NA
"2061","GA","Georgia",96517,"1362104",2020,"pooler","General Purpose",54424945,3340435,14226034,0,0,1241478,0,0,830523,35817056,42828969,39967673,25610,NA
"2062","FL","Florida",70657,"1275450",2020,"wausau","General Purpose",594949,26409,147477,0,0,0,0,0,11077,566936,626234,0,374,NA
"2063","FL","Florida",70660,"1275600",2020,"webster","General Purpose",1514137,307465,293697,0,0,0,0,0,14044,1768708,2033486,278051,778,NA
"2064","FL","Florida",96436,"1275750",2020,"welaka","General Purpose",899700,134064,0,0,0,0,0,0,7476,1531040,1469937,0,717,NA
"2065","GA","Georgia",70946,"1362496",2020,"poulan","General Purpose",304017,17646,0,0,0,0,0,0,0,1046723,1076890,681647,757,NA
"2066","OR","Oregon",37569,"4154900",2020,"ontario","General Purpose",20555739,1440958,13532643,0,336247,54073,0,0,345445,19321610,21806134,0,11649,NA
"2067","FL","Florida",96433,"1275812",2020,"wellington","General Purpose",71332316,18141117,28999087,0,0,1050853,0,0,3336982,90046666,96411290,63845679,61620,NA
"2068","OR","Oregon",86864,"4167050",2020,"sheridan","General Purpose",82250,82250,1309462,0,0,0,0,0,0,4240260,5076848,0,6229,NA
"2069","FL","Florida",70681,"1276417",2020,"westlake","General Purpose",619967,592693,0,0,0,0,0,0,0,4049571,4664707,1627025,912,NA
"2070","FL","Florida",70667,"1276500",2020,"west melbourne","General Purpose",17953457,4432145,5401243,0,784355,0,0,0,507821,28085405,37028775,23686176,25922,NA
"2071","ME","Maine",116295,"2330550",2020,"hallowell","General Purpose",2865466,90461,179865,0,92440,0,0,0,0,6024014,6311300,1086724,2563,NA
"2072","GA","Georgia",70947,"1362524",2020,"powder springs","General Purpose",13336428,3475894,993120,0,574724,0,0,0,262054,13354705,14656848,20668795,16900,NA
"2073","FL","Florida",65389,"1276525",2020,"west miami","General Purpose",11823628,1293123,7658709,0,0,0,0,0,332507,11811603,11236034,-4586836,7236,NA
"2074","OR","Oregon",1268117,"4155200",2020,"oregon city","General Purpose",83532941,9567743,24402418,0,11819679,240165,0,0,1004644,61618503,86374494,0,37580,NA
"2075","FL","Florida",70682,"1276582",2020,"weston","General Purpose",57814772,8987850,332682,0,0,0,0,0,243835,127279116,135698576,106378925,68113,122774
"2076","FL","Florida",196469,"1276600",2020,"west palm beach","General Purpose",842876185,52197769,104024038,2361828,0,729708,0,0,22624944,358188775,405006029,131327337,117315,59400
"2077","FL","Florida",398462,"1245000",2020,"miami","General Purpose",2854317892,127908952,994144647,0,867949431,0,1816112772,0,74312829,1095966163,1024569536,0,442260,48789
"2078","FL","Florida",32288,"1245025",2020,"miami beach","General Purpose",2476539030,82053147,588111143,0,446541349,0,0,0,34341707,711205223,680465018,0,82888,55512
"2079","FL","Florida",51912,"1245060",2020,"miami gardens","General Purpose",237581575,10091928,86825745,0,7020000,0,0,0,11549340,126718100,131712992,-31890321,111644,54276
"2080","FL","Florida",100204,"1245100",2020,"miami lakes","General Purpose",16704967,4522952,3859771,0,123890,0,0,0,376747,24617839,25213927,1112375,30460,NA
"2081","OR","Oregon",126028,"4146730",2020,"maywood park","General Purpose",0,0,0,0,0,0,0,0,0,246459,272747,0,829,NA
"2082","FL","Florida",1063398,"1245175",2020,"miami shores","General Purpose",16769556,2106401,5117614,0,536230,0,0,0,914011,21264314,23657036,5577145,11565,NA
"2083","FL","Florida",49011,"1245200",2020,"miami springs","General Purpose",20363852,1138781,1176231,0,2820523,0,0,0,1996185,22846609,22918306,-1793796,13860,NA
"2084","FL","Florida",69707,"1245225",2020,"micanopy","General Purpose",75006,61428,0,0,0,0,0,0,13578,725654,992549,1510225,645,NA
"2085","FL","Florida",69713,"1245425",2020,"midway","General Purpose",1228221,117649,963866,0,0,0,0,0,25459,1969060,2071194,0,3535,NA
"2086","FL","Florida",69716,"1245750",2020,"milton","General Purpose",16434179,1695706,6185334,0,832710,0,0,0,737726,21199641,23741317,8909577,10190,NA
"2087","OR","Oregon",98474,"4145000",2020,"mcminnville","General Purpose",73787275,5063103,30388809,0,1234727,255773,0,0,1090839,49278204,52113448,0,34332,NA
"2088","FL","Florida",92010,"1245900",2020,"minneola","General Purpose",17207737,1669795,4643424,0,0,0,0,0,210223,12448645,18611874,10289378,13848,NA
"2089","GA","Georgia",95839,"1364960",2020,"riceboro","General Purpose",6577740,50561,114892,0,0,0,0,0,9007,2561047,2340883,2833349,617,NA
"2090","FL","Florida",32274,"1245975",2020,"miramar","General Purpose",529832245,23833807,179713651,0,47602887,0,0,0,17124773,228377141,239036449,0,134706,79282
