"","state.abb","name_census","population","geo_id","source_year","state.name","name","government_id","id","nces_district_id","year","category","identifier","current_assets","net_pension_assets","non_current_assets","net_opeb_assets","total_assets","net_pension_liability","net_opeb_liability","current_portion_long_term_liabilities","compensated_absences","current_liabilities","total_liabilities","bonds_outstanding","loans_outstanding","notes_outstanding","total_net_position_governmental","total_net_position_business","total_net_position","unrestricted","expenses","charges_for_services","operating_grants","capital_grants","general_revenue","activities_change_in_net_position","cash","receivables","revenues","name_midfile","flg_acfr","flg_muni","flg_county"
"76","NV","north las vegas city",259520,"3251800","2023","Nevada","north las vegas","29200200300000",35520,NA,2023,"General Purpose","NV North Las Vegas 2023",1141273479,0,1812580318,0,2953853797,300498050,78715984,29827790,45711820,112790669,923098136,373998022,0,0,1637930482,519307360,2157237842,425170038,473017941,303322003,44223607,60582373,246983328,182093370,1010177776,98846990,655111311,"city of north las vegas",1,1,0
"77","FL","st petersburg city",258356,"1263000","2023","Florida","st petersburg","10205202000000",32314,NA,2023,"General Purpose","FL St. Petersburg 2023",1179229936,NA,1728526945,NA,2907756881,282851266,195800964,51932354,33589,174854728,1590728512,792415000,NA,87681000,657233950,839571881,1496805831,548085197,723522368,398603677,28272726,1753268,397605795,102713098,254110857,72372723,826235466,"city of st petersburg",1,1,0
"78","TX","lubbock city",257157,"4845000","2023","Texas","lubbock","44215200200000",38693,NA,2023,"General Purpose","TX Lubbock 2023",536889216,NA,2931450633,NA,3468339849,259783854,129527740,133544175,44067496,347878779,2095619697,1421464402,5535509,NA,271300339,1177512688,1448813027,-67353502,908275796,565191318,40103472,44708724,321590486,63318204,2681192,116561754,971594000,"city of lubbock",1,1,0
"79","TX","irving city",256687,"4837000","2023","Texas","irving","44205701600000",47012,NA,2023,"General Purpose","TX Irving 2023",889230091,NA,1701661047,NA,2590891138,110938670,13471429,85595136,36620623,176165466,1345922727,1058615949,NA,1485000,736790003,628119676,1364909679,167760278,505958902,195440664,23196067,29600086,414818928,157096843,366136382,82903116,663055745,"city of irving",1,1,0
"80","TX","laredo city",255212,"4841464","2023","Texas","laredo","44224000100000",40881,NA,2023,"General Purpose","TX Laredo 2023",789419775,NA,1763923160,NA,2553342935,335781431,150868177,62367836,48162312,177135671,1635413611,959158086,NA,5213321,471923066,504014008,975937074,-154165049,584983153,355975537,61678491,36768007,228277288,97716170,5207194,72672352,682699323,"city of laredo",1,1,0
"81","NC","winston-salem city",249562,"3775000","2023","North Carolina","winston-salem","34203400200000",36708,NA,2023,"General Purpose","NC Winston-Salem 2023",583108567,0,2040184600,3370899,2623293167,150822146,0,88851537,19549767,121207449,1293083525,704591601,8719,0,459203740,940062030,1399265770,262133868,454825018,199013455,46983623,13354648,297466670,101993378,497036630,60128929,556818396,"city of winston-salem",1,1,0
"82","VA","chesapeake city",249415,"5116000","2023","Virginia","chesapeake","47210570100000",230275,NA,2023,"General Purpose","VA Chesapeake 2023",1297031508,NA,2139244592,57402,3436276100,131221629,36950909,77822296,29288884,145463208,1051231508,659182093,1319095,6665600,1637910590,754211471,2392122061,684893634,921950739,168206623,189562294,21885414,702332996,160036588,654850226,186358533,1081987327,"city of chesapeake",1,1,0
"83","AZ","glendale city",248374,"0427820","2023","Arizona","glendale","03200700600000",44287,NA,2023,"General Purpose","AZ Glendale 2023",836282000,NA,1902167000,6648000,2738449000,186932000,136000,122356000,36032000,304740000,1424092000,751863000,NA,NA,806303000,535997000,1342300000,-109762000,571244000,208102000,82191000,37206000,422846000,179101000,634771000,78096000,750345000,"city of glendale",1,1,0
"84","TX","garland city",246001,"4829000","2023","Texas","garland","44205701200000",44101,NA,2023,"General Purpose","TX Garland 2023",926298444,NA,2406867002,NA,3333165446,91746272,92388823,111211008,61108122,401676479,2043583254,1449753014,NA,111655000,492235804,898468631,1390704435,242135570,794042684,623473707,25848787,22243419,263781576,141304805,408293188,126623265,935347489,"city of garland",1,1,0
"85","AZ","scottsdale city",241339,"0465000","2023","Arizona","scottsdale","03200701100000",31637,NA,2023,"General Purpose","AZ Scottsdale 2023",1397459000,NA,6489980000,NA,7887439000,362525000,699000,127979000,37799000,343758000,1561469000,864762000,NA,NA,4812135000,1559591000,6371726000,518741000,715872000,295874000,55318000,84153000,556702000,276175000,999773000,156761000,992047000,"city of scottsdale",1,1,0
"86","VA","norfolk city",238001,"5157000","2023","Virginia","norfolk","47212200100000",230389,NA,2023,"General Purpose","VA Norfolk 2023",1017617457,1741204,2375760759,0,3393378216,331952000,115610822,138639899,26382915,351433313,2374077948,1611302419,50000000,0,540117692,716727770,1256845462,164862937,939576399,282478254,201095425,21320041,666704940,232022261,737873830,226813164,1171598660,"city of norfolk",1,1,0
"87","ID","boise city city",235712,"1608830","2023","Idaho","boise","13200100100000",32682,NA,2023,"General Purpose","ID Boise 2023",784457000,86008000,1143489000,NA,1927946000,145195000,11515000,6912000,9385000,120907000,469514000,178304000,NA,NA,479979000,827330000,1307309000,284120000,523807000,260002000,31702000,42202000,241019000,51118000,42483000,227277000,574925000,"city of boise",1,1,0
"88","CA","fremont city",230493,"0626000","2023","California","fremont","05200100500000",96340,NA,2023,"General Purpose","CA Fremont 2023",580991474,NA,982654399,NA,1563645873,449512143,70068099,23688799,13736362,56575920,709447239,100976853,NA,NA,1006828475,NA,1006828475,-178901525,355064315,52496844,24658770,39516087,265373160,26980546,549886826,27900402,382044861,"city of fremont",1,1,0
"89","WA","spokane city",228978,"5367000","2023","Washington","spokane","48203201000000",39566,NA,2023,"General Purpose","WA Spokane 2023",437515362,92084262,2858197220,NA,3295712582,257622083,78138269,54653873,35712865,94074674,910801322,346867263,110512293,NA,1566601374,881781786,2448383160,-6810265,680187120,347188345,28906028,17558070,310702152,24167475,29777330,107440366,704354595,"city of spokane",1,1,0
