state.abb,state.name,id_22,geo_id,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,population_22,urban_pop_22,pct_urban_pop_22,median_hh_income_21_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,state.abb_20,id_20,year_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,population_20,urban_pop_20,pct_urban_pop_20,median_hh_income_21_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,total_liabilities_growth,current_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth,modified_revenues_growth,pct_urban_pop_22_normalized,median_hh_income_normalized
CA,California,1267172,06067,2022,"Sacramento County, CA",General Purpose,4539311000,757014000,7513908000,2732053000,151290000,3268277000,4094287000,0,1585046,1547026,0.976007772600951,79611,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Sacramento%20County/CA%20Sacramento%20County%202022.pdf,68996000,403532000,147206000,0.6041211843424221,CA,1267172,2020,General Purpose,5697591000,359159000,6112564000,0,140277000,3453455000,3562287000,0,1585046,1547026,0.976007772600951,79611,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Sacramento%20County/CA%20Sacramento%20County%202020.pdf,-250327000,1843333000,135237000,0.9321114674627538,-20.329293555820346,1.1077405828616296,-5.362108381316681,0.08850388577090589,-78.1085674699037,0.14934226242860274,0.22925633171284587,-0.35187881982949404,1.2756234844822971,46.08317047334316,-13.518436342246211
CA,California,165557,06013,2022,"Contra Costa County, CA",General Purpose,2304983000,852991000,5147287000,3059742000,30648000,3552720000,4265257000,0,1165927,1154266,0.989998516202129,110595,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Contra%20Costa%20County/CA%20Contra%20Costa%20County%202022.pdf,-140454000,-179943000,407767000,0.44780541671758345,CA,165557,2020,General Purpose,2611861000,556090000,3764587000,0,92573000,3423666000,3738705000,0,1165927,1154266,0.989998516202129,110595,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Contra%20Costa%20County/CA%20Contra%20Costa%20County%202020.pdf,-241051000,677976000,523697000,0.6937974869487675,-11.74940014035969,0.533908180330522,3.7694681665793333,-0.2213684630616559,-126.54120499840703,0.1408380709363269,0.3672912858701366,-0.3545588948628593,0.41732662382649316,48.36721674906124,18.456465877545128
CA,California,31677,06019,2022,"Fresno County, CA",General Purpose,1863307000,367406000,2867306000,1485913000,NA,1814287000,2054334000,-71676000,1008650,895029,0.88734987418877,63140,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno%20County/CA%20Fresno%20County%202022.pdf,-127359000,436078000,0,0.6498458832088378,CA,31677,2020,General Purpose,2161228000,257422000,2338527000,0,53630000,1687732000,1757231000,-441765000,1008650,895029,0.88734987418877,63140,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno%20County/CA%20Fresno%20County%202020.pdf,-187923000,1054510000,0,0.9241834710482282,-13.784801973692733,0.42725175004467375,7.498524647278122,0,-58.64638552503059,0.16907452691194272,0.22611626891628792,-0.2968432096369684,0.32228093421241677,31.609404928509463,-30.516196943272
CA,California,146252,06029,2022,"Kern County, CA",General Purpose,2458533000,272558000,4226736000,1702468000,85316000,1760606000,2155740000,-1303442000,909244,787826,0.866471264304608,57926,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Kern%20County/CA%20Kern%20County%202022.pdf,122576000,1401786000,66568000,0.5816623039622063,CA,146252,2020,General Purpose,2747291000,227726000,3641175000,0,95105000,1845376000,1848241000,0,909244,787826,0.866471264304608,57926,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Kern%20County/CA%20Kern%20County%202020.pdf,-224861000,1804165000,42679000,0.7545067182983515,-10.510644849781112,0.1968681661294714,-4.593643788582923,0.5597366386278966,-22.302782727743857,0.16637386574586324,0.1608164946754825,-0.2290826710277191,1.5451189846171636,28.20088623161365,-35.89694636794254
CA,California,149441,06111,2022,"Ventura County, CA",General Purpose,1596782000,562232000,4915897000,2212099000,111223000,1989882000,2521533000,285144000,843843,815432,0.966331414729991,95819,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Ventura%20County/CA%20Ventura%20County%202022.pdf,-30581000,-474411000,157784000,0.3248200684432566,CA,149441,2020,General Purpose,2147171000,476098000,3839991000,0,95996000,2098094000,2164226000,0,843843,815432,0.966331414729991,95819,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Ventura%20County/CA%20Ventura%20County%202020.pdf,-409966000,677172000,129986000,0.5591604251155797,-25.63321691658466,0.18091653399090105,-5.15763354740064,0.21385379963996123,-170.05768106182774,0.1650968983830709,0.28018451084911394,-0.4190932443473345,0.9254060092788182,44.503465363471776,3.2079132310296004
CA,California,31712,06077,2022,"San Joaquin County, CA",General Purpose,1882102114,367241962,3150708217,2098585705,45837000,1742721012,2072021532,0,779227,718832,0.922486599001839,79598,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Joaquin%20County/CA%20San%20Joaquin%20County%202022.pdf,-37941442,1137961048,81333690,0.5973584300332563,CA,31712,2020,General Purpose,2227446646,257288477,2527746626,0,42274000,1684207695,1759228543,0,779227,718832,0.922486599001839,79598,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Joaquin%20County/CA%20San%20Joaquin%20County%202020.pdf,-182267629,1584683469,129969434,0.8811985438290523,-15.504054053108844,0.4273548752826579,3.4742340373881264,-0.3742090928856396,-28.19000953432676,0.17780122443136145,0.24644938088031296,-0.32210688020707784,0.7918366403943291,37.34561936699461,-13.531852096469592
CA,California,31714,06081,2022,"San Mateo County, CA",General Purpose,1672083000,657660000,5130034000,3507688000,88583000,1985390000,2486652000,0,764432,751407,0.982948346637155,131151,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Mateo%20County/CA%20San%20Mateo%20County%202022.pdf,-156398000,99609000,-14243000,0.3259399450374013,CA,31714,2020,General Purpose,1979736000,577795000,4151581000,0,88988000,1925470000,2201904000,1484083000,764432,751407,0.982948346637155,131151,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Mateo%20County/CA%20San%20Mateo%20County%202020.pdf,-301361000,582014000,93292000,0.47686315165234644,-15.540102316672527,0.13822376448394327,3.1119674676832147,-1.1526711829524503,-82.88546323627955,0.12931898938373335,0.23568202089758095,-0.3164916519382789,0.4810277374975528,47.21624765141415,39.66986924799538
CA,California,54175,06075,2022,"City And County Of San Francisco, CA",General Purpose,33104748000,5633817000,51616481000,14744282000,408920000,11211694000,13374941000,-1909623000,873959,873965,1,119776,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/City%20and%20County%20of%20San%20Francisco/CA%20City%20and%20County%20of%20San%20Francisco%202022.pdf,-3470570000,-2104167000,3679684000,0.6413600338233054,CA,54175,2020,General Purpose,34557584000,5610057000,43647220000,0,332989000,12023583000,12519966000,0,873959,873965,1,119776,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/City%20and%20County%20of%20San%20Francisco/CA%20City%20and%20County%20of%20San%20Francisco%202020.pdf,-5113674000,4655538000,3903016000,0.7917476531151354,-4.204101768225464,0.004235251085684156,-6.75247137230225,-0.05722036496903933,-145.19707496749032,0.06828892346832252,0.18258347267019526,-0.18994387757277092,0.3213157506716306,50,27.93108430253558
CO,Colorado,31965,08041,2022,"El Paso County, CO",General Purpose,612505377,141220141,1084763453,429859547,16405138,424241371,426166873,-308505530,730402,655526,0.897495190958317,79094,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/El%20Paso%20County/CO%20El%20Paso%20County%202022.pdf,-139294639,219998638,129120022,0.5646441860721501,CO,31965,2020,General Purpose,802181693,36876174,843973591,0,18442054,529071537,543782241,-351776745,730402,655526,0.897495190958317,79094,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/El%20Paso%20County/CO%20El%20Paso%20County%202020.pdf,-22165470,485244387,138991599,0.9504819837425458,-23.64505668169119,2.829576815642534,-19.81398708280918,-0.07102283210656495,-54.6623013281759,-0.21629130032585966,0.28530497229740925,-0.40593909644783593,-5.2843079348193385,33.26566950200309,-14.051970567899197
CO,Colorado,1266289,08031,2022,"Denver County, CO",General Purpose,14054059000,1119786000,20109860000,4479018000,209646000,3703766000,4136851000,0,715538,715418,0.999854651569064,81262,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Denver%20County/CO%20Denver%20County%202022.pdf,-686701000,1297505000,244985000,0.6988640895560685,CO,1266289,2020,General Purpose,11288224000,713552000,15522618000,0,197846000,3671950000,3707605000,0,715538,715418,0.999854651569064,81262,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Denver%20County/CO%20Denver%20County%202020.pdf,-677897000,1682238000,249680000,0.7272113505595512,24.501949996739967,0.5693123976949123,0.8664605999537031,-0.01880406920858699,-22.870307293022744,0.1157744689631177,0.29551986655859214,-0.038980773583458216,-0.012987223722777944,49.97627127250526,-11.81463555587662
