"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"34","MT","Montana",64951,"30000",2020,"montana",5140282000,2176914000,2254594000,39567000,46410000,0,14971791000,0,111510000,7651126000,8213225000,1084197,579177,53.4185247527035,63357
"35","IN","Indiana",196751,"18000",2020,"indiana",19776175000,6709986000,11792876000,0,190159000,0,35264677000,0,194149000,41616996000,42536473000,6785668,4829686,71.1762739760266,62723
"36","ND","North Dakota",1241002,"38000",2020,"north dakota",8078745996,2831570421,887491111,31077783,40443754,0,34196932678,0,0,8356617731,9740177279,779091,474989,60.9668409716928,67603
"37","NC","North Carolina",40620,"37000",2020,"north carolina",29040557000,9927529000,2660223000,0,6130058000,8135000,85957987000,0,619350000,57168095000,59639395000,10439414,6964727,66.7158553738974,61997
"38","NE","Nebraska",35432,"31000",2020,"nebraska",3728215000,2771920000,375193000,120708000,14816000,0,18858875000,0,135694000,10762105000,11108805000,1961489,1432003,73.005357113725,66949
"39","NH","New Hampshire",35545,"33000",2020,"new hampshire",6048361000,1671862000,941421000,0,1793348000,0,8307536000,0,106978000,8845705000,8682854000,1377518,803420,58.323273049061,88268
"40","VA","Virginia",39392,"51000",2020,"virginia",26563639000,8847384000,4559932000,0,1255256000,0,62882563000,0,338027000,53696012000,58156929000,8631384,6528313,75.6345238827615,80926
"41","OH","Ohio",36835,"39000",2020,"ohio",55081480000,11508828000,4641754000,0,3330409000,0,83340781000,0,561516000,79045522000,79125001000,11799374,9001099,76.2840685428674,62286
"42","UT","Utah",39282,"49000",2020,"utah",8052895000,2472354000,730772000,0,18760000,0,36807368000,0,210811000,16189477000,17241722000,3271614,2937303,89.7814107768149,79449
"43","NJ","New Jersey",40624,"34000",2020,"new jersey",213903087870,7930629785,90812068247,200901,65491562252,0,54675275295,0,491700000,75507590895,73616040355,9289031,8708779,93.7537369493403,89227
"44","NV","Nevada",35504,"32000",2020,"nevada",10676834000,4013010000,2290134000,0,810288000,0,21296697000,0,118600000,17155807000,16771174000,3104624,2921203,94.0923090599991,66194
"45","TX","Texas",38611,"48000",2020,"texas",250250365000,36689788000,67084585000,0,76983152000,0,380361621000,0,2035843000,198789968000,199988664000,29145428,24400697,83.7202752191118,66959
"46","WA","Washington",39528,"53000",2020,"washington",84090857000,9561046000,3338862000,0,5799742000,0,110548541000,0,910960000,74240928000,72609544000,7705247,6424035,83.3718458807667,84155
"47","WI","Wisconsin",39818,"55000",2020,"wisconsin",28548691000,10066495000,0,895288646,1204453000,131142354,56779826000,0,2593896000,42320767000,44293015000,5893725,3953691,67.0831383517162,67150
"48","WV","West Virginia",39745,"54000",2020,"west virginia",13162213000,463785000,2997962000,96703000,1067763000,0,22067965000,0,93744000,14668039000,14506334000,1793755,800857,44.647926427595,51122
"49","WY","Wyoming",40122,"56000",2020,"wyoming",10270669870,7145725573,463995694,0,381732888,0,30601334531,0,68787262,4726734280,4701674995,576837,357750,62.017748083994,66508
"50","MN","Minnesota",34704,"27000",2020,"minnesota",23927324000,6463164000,3107663000,0,630967000,0,48199480000,26252284000,527476000,50004800000,49990315000,5706504,4101754,71.878705208487,77712
"51","NM","New Mexico",82166,"35000",2020,"new mexico",14617951000,3134067000,5617739000,19276000,1159319000,0,47762954000,12259898000,182688000,21701968000,23558395000,2117527,1578552,74.5471357558505,54304
"52","AK","Alaska",31574,"02000",2021,"alaska",16726973000,8741798000,5089994000,20031000,3405000,548581000,107832869000,0,203580000,12317135000,28467439000,733378,475967,64.899487449396,78437
"53","AL","Alabama",31550,"01000",2021,"alabama",15007563000,3279338000,3976285000,0,987056000,0,42222752000,0,334749000,30075201000,33575970000,5024356,2900880,57.7372395123758,53990
