"","state","name","id","ncesID","state.abb","enrollment_20","enrollment_21","enrollment_22","government_level"
"3222","TX","Kountze Independent School District","38978","4825920","TX",1128,1086,1127,"school district"
"3223","TX","Cooper Independent School District","38902","4815150","TX",799,806,849,"school district"
"3224","TX","Coppell Independent School District","38891","4815210","TX",13218,13052,13131,"school district"
"3225","TX","Brady Independent School District","39082","4811110","TX",1060,991,966,"school district"
"3226","TX","De Leon Independent School District","38885","4816440","TX",745,739,754,"school district"
"3227","TX","Deer Park Independent School District","38985","4816530","TX",12766,12370,12345,"school district"
"3228","TX","Gunter Independent School District","38959","4821960","TX",1001,1024,1115,"school district"
"3229","TX","Hardin-Jefferson Independent School District","38980","4822410","TX",2459,2481,2609,"school district"
"3230","TX","Hale Center Independent School District","38974","4822050","TX",641,618,599,"school district"
"3231","TX","Hillsboro Independent School District","39024","4823280","TX",1975,1876,1933,"school district"
"3232","TX","Houston Independent School District","38988","4823640","TX",210061,196943,194607,"school district"
"3233","TX","Hallsville Independent School District","39003","4822170","TX",11462,15267,19104,"school district"
"3234","TX","Henrietta Independent School District","38873","4822980","TX",941,908,945,"school district"
"3235","TX","Katy Independent School District","38990","4825170","TX",83423,84176,88368,"school district"
"3236","TX","Irving Independent School District","38896","4824420","TX",33544,32682,32378,"school district"
"3237","TX","Huffman Independent School District","38989","4823820","TX",3596,3439,3569,"school district"
"3238","TX","Fort Bend Independent School District","38940","4819650","TX",77756,76735,77545,"school district"
"3239","TX","Galveston Independent School District","38951","4820280","TX",7041,6698,6661,"school district"
"3240","TX","Lancaster Independent School District","38897","4826670","TX",7474,7176,7096,"school district"
"3241","TX","Marion Independent School District","38970","4829100","TX",1538,1483,1475,"school district"
"3242","TX","Marlin Independent School District","38933","4829130","TX",920,881,882,"school district"
"3243","TX","Navarro Independent School District","38971","4832160","TX",1944,1849,1992,"school district"
"3244","TX","Navasota Independent School District","38969","4832190","TX",3017,2847,2991,"school district"
"3245","TX","Needville Independent School District","38939","4832310","TX",3331,3306,3385,"school district"
"3246","TX","Pampa Independent School District","38958","4834170","TX",3558,3506,3460,"school district"
"3247","TX","Quanah Independent School District","38977","4836180","TX",524,528,498,"school district"
"3248","TX","Teague Independent School District","38943","4842300","TX",1172,1163,1183,"school district"
"3249","TX","Alvarado Independent School District","39045","4800011","TX",3663,3565,3610,"school district"
"3250","TX","Aransas Pass Independent School District","39166","4808580","TX",1620,1645,1676,"school district"
