"","state","name","id","ncesID","state.abb","enrollment_20","enrollment_21","enrollment_22","government_level"
"1","CA","Tracy Unified School District","146712","0600047","CA",14548,14287,14113,"school district"
"2","NJ","Scotch Plains-Fanwood Regional School District","43466","3414670","NJ",5631,5437,5534,"school district"
"3","CA","San Ysidro School District","146615","0635220","CA",4475,4419,4264,"school district"
"4","CA","Brea Olinda Unified School District","145960","0605880","CA",6085,5990,5866,"school district"
"5","CA","Bass Lake Joint Union Elementary School District","145919","0604080","CA",891,814,846,"school district"
"6","CA","Big Oak Flat-Groveland Unified School District","145938","0691137","CA",298,278,318,"school district"
"7","NH","Hinsdale, New Hampshire School District","81897","3303780","NH",533,531,533,"school district"
"8","AR","Lakeside School District No. 9","98728","0508670","AR",3570,3494,3430,"school district"
"9","CA","Guadalupe Union School District","146190","0616260","CA",1289,1270,1286,"school district"
"10","NH","Salem, New Hampshire School District","48086","3306060","NH",3550,3519,3580,"school district"
"11","NJ","South River Borough Board of Education","35819","3415390","NJ",2361,2325,2399,"school district"
"12","TX","Cleveland Independent School District","39071","4814370","TX",7589,8888,10860,"school district"
"13","PA","The Solanco School District","38037","4221810","PA",3294,3182,3110,"school district"
"14","CA","Santa Barbara Unified School District","146619","0601414","CA",13490,13188,12849,"school district"
"15","NE","Platte County School District No.1 Columbus Public Schools","108922","3105340","NE",4204,4159,4094,"school district"
"16","MI","Battle Creek Public Schools","34367","2600005","MI",3821,3739,3850,"school district"
"17","MI","Forest Hills Public Schools","34477","2614610","MI",9726,9365,9339,"school district"
"18","MI","Garden City Public Schools","34672","2615540","MI",3595,3352,3173,"school district"
"19","MI","Greenville Public Schools","34550","2617160","MI",3657,3553,3630,"school district"
"20","MS","Coahoma County School District","34997","2801110","MS",1173,1121,1057,"school district"
"21","CA","Tehachapi Unified School District","146702","0638880","CA",4236,3971,4134,"school district"
"22","CA","Tahoe Truckee Unified School District","146700","0638770","CA",3981,3945,3953,"school district"
"23","CA","Taft City School District","146698","0638700","CA",2388,2322,2398,"school district"
"24","CA","Susanville School District","146694","0638550","CA",1123,1061,1090,"school district"
"25","CA","Sylvan Union School District","146697","0638670","CA",8203,7913,7741,"school district"
"26","CA","Sunnyvale School District","146691","0638460","CA",6426,5950,5480,"school district"
"27","MI","Evart Public Schools","34601","2613560","MI",886,871,874,"school district"
"28","CA","Cajon Valley Union School District","145981","0606810","CA",16419,15776,14799,"school district"
"29","CA","Cascade Union Elementary School District","145999","0607680","CA",1128,1054,1085,"school district"
"30","CA","Vacaville Unified School District","146737","0640590","CA",12886,12447,12459,"school district"
"31","MN","Independent School District No. 717","47471","2715750","MN",1907,1869,1852,"school district"
"32","CA","Tulare City School District","146720","0639870","CA",9595,9319,9207,"school district"
"33","CA","Campbell Union School District","145987","0607200","CA",6974,6622,6230,"school district"
"34","CA","Tulare Joint Union High School District","146721","0691045","CA",1613,1561,1575,"school district"
"35","NE","Falls City Public Schools District No. 74-0056","109117","3170530","NE",931,896,886,"school district"
"36","CA","Cupertino Union School District","146057","0610290","CA",16718,15663,14084,"school district"
"37","CA","Cypress School District","146062","0610440","CA",3813,3540,3414,"school district"
"38","CA","Columbia Union School District","146040","0609480","CA",467,433,435,"school district"
"39","CA","East Whittier City School District","146095","0611850","CA",8471,8230,7949,"school district"
"40","CA","Encinitas Union School District","146112","0612750","CA",5342,4918,4813,"school district"
"41","CA","Delano Union School District","146069","0610890","CA",6687,6392,6285,"school district"
"42","CA","Fullerton School District","146156","0614730","CA",12852,12141,11681,"school district"
"43","CA","Del Mar Union School District","146066","0610740","CA",4132,3853,3895,"school district"
"44","CA","Chatom Union Elementary School District","146014","0608250","CA",585,573,566,"school district"
"45","CA","Cucamonga School District","146054","0616300","CA",2443,2359,2395,"school district"
"46","CA","Etiwanda School District","146118","0612960","CA",14020,13478,13304,"school district"
"47","CA","Escondido Union School District","146115","0612880","CA",14996,14197,14360,"school district"
"48","CA","Huntington Beach City School District","146224","0618030","CA",6456,5310,4904,"school district"
"49","CA","Kernville Union School District","146254","0619590","CA",874,812,782,"school district"
"50","CA","Julian Union School District","146241","0619140","CA",274,266,269,"school district"
"51","CA","King City Union School District","146256","0619680","CA",2671,2555,2527,"school district"
"52","CA","Kenwood Elementary School District","146249","0619410","CA",141,131,116,"school district"
"53","CA","Grant Elementary School District","146179","0615690","CA",637,633,618,"school district"
"54","NE","Mitchell Public Schools","109321","3173890","NE",711,637,633,"school district"
"55","CA","Hawthorne School District","146202","0616680","CA",7924,7581,7305,"school district"
"56","NC","Public Schools of Robeson County","36643","3703930","NC",21783,21083,20783,"school district"
"57","WA","Bainbridge Island School District No. 303","48969","5300330","WA",3835,3604,3638,"school district"
"58","CA","National School District","146421","0626670","CA",5046,4768,4436,"school district"
"59","CA","Lafayette School District","146274","0620310","CA",3537,3261,3136,"school district"
"60","CA","Millbrae School District","146381","0624900","CA",2349,2238,2123,"school district"
"61","CA","Luther Burbank School District","146341","0623130","CA",517,475,437,"school district"
"62","CA","Mill Valley School District","146380","0624870","CA",2839,2640,2415,"school district"
"63","CA","Little Lake City School District","146314","0621930","CA",4369,4079,3865,"school district"
"64","CA","Meadows Union School District","146368","0624390","CA",478,417,416,"school district"
"65","CA","Mckinleyville Union School District","146365","0624300","CA",1097,971,935,"school district"
"66","CA","Lemon Grove School District","146302","0621330","CA",3421,3160,3249,"school district"
"67","CA","Lancaster School District","146289","0620880","CA",14332,13594,13755,"school district"
"68","CA","Mulberry Elementary School District","146416","0626430","CA",75,78,66,"school district"
"69","CA","Newhall School District","146432","0627180","CA",6267,5920,5834,"school district"
"70","CA","Mountain View Whisman School District","146411","0626280","CA",5082,4753,4522,"school district"
"71","CA","Lowell Joint School District","146337","0623010","CA",3147,3139,3047,"school district"
"72","CA","Loomis Union School District","146326","0622560","CA",3011,2847,2855,"school district"
"73","CA","La Mesa-Spring Valley School District","146273","0620250","CA",11798,11203,10835,"school district"
"74","NM","Tucumcari Public Schools","35945","3502640","NM",949,877,891,"school district"
"75","CA","Oxnard School District","146470","0629220","CA",15730,15132,14381,"school district"
"76","CA","Nuview Union School District","146444","0627780","CA",2200,2157,2116,"school district"
"77","CA","Palmdale School District","146482","0629580","CA",18229,17525,17575,"school district"
"78","CA","Palermo Union School District","146478","0629540","CA",1334,1278,1249,"school district"
"79","CA","Old Adobe Union School District","146456","0628320","CA",1947,1902,1855,"school district"
"80","CA","Perris Elementary School District","146498","0630180","CA",5606,5442,5369,"school district"
"81","CA","Rescue Union School District","146549","0632310","CA",3610,3426,3569,"school district"
"82","CA","Pacheco Union Elementary School District","146472","0629280","CA",651,634,694,"school district"
"83","CA","Pleasant View School District","146518","0631050","CA",470,439,426,"school district"
"84","CA","Robla School District","146566","0633240","CA",2069,1955,1951,"school district"
"85","CA","Roseville City School District","146574","0633600","CA",11487,11008,11468,"school district"
"86","CA","Redwood City School District","146545","0632130","CA",7196,6770,6392,"school district"
"87","ME","Regional School Unit No. 14","54184","2314793","ME",3174,3139,3117,"school district"
"88","CA","San Bruno Park School District","146590","0634230","CA",2454,2275,2087,"school district"
"89","CA","Romoland School District","146570","0633390","CA",4210,4064,4295,"school district"
"90","CA","Panama Buena Vista Union School District","146487","0606390","CA",18714,18262,18785,"school district"
"91","CA","Walnut Valley Unified School District","146754","0641280","CA",13798,13493,13311,"school district"
"92","CA","Orinda Union School District","146463","0628860","CA",2568,2478,2489,"school district"
"93","CA","Santa Maria-Bonita School District","146623","0605580","CA",16959,16665,16569,"school district"
"94","IL","Glenbard Township High School District No. 87","150795","1716830","IL",8032,8054,7914,"school district"
"95","CA","Salida Union School District","146583","0633900","CA",2362,2244,2233,"school district"
"96","CA","Walnut Creek School District","146753","0641250","CA",3555,3467,3330,"school district"
"97","CA","West Covina Unified School District","146768","0642000","CA",8557,8227,8103,"school district"
"98","CA","Durham Unified School District","146090","0611730","CA",1053,991,982,"school district"
"99","TX","Wellman-Union Independent School District","164039","4844910","TX",325,308,284,"school district"
"100","WY","Converse County School District No. 2","191981","5602150","WY",636,668,676,"school district"
"101","CA","Wheatland Elementary School District","146779","0642330","CA",1393,1278,1346,"school district"
"102","NM","Deming Public Schools","35942","3500690","NM",5468,5115,5352,"school district"
"103","CA","Lammersville Unified School District","146286","0601410","CA",5919,6397,6980,"school district"
"104","CA","Pomona Unified School District","146524","0631320","CA",22766,22388,21909,"school district"
"105","CA","Mattole Unified School District","146360","0600038","CA",51,45,41,"school district"
"106","CA","Riverside Unified School District","146564","0633150","CA",40204,39443,39626,"school district"
"107","NE","Sumner-Eddyville-Miller Public Schools District No. 101","190378","3177340","NE",216,203,221,"school district"
"108","NH","Concord School District","35587","3302460","NH",4327,4093,4093,"school district"
"109","IN","Hamilton Heights School Corporation","52823","1804260","IN",2351,2291,2302,"school district"
"110","CA","Sierra Unified School District","146650","0636805","CA",1273,1204,1269,"school district"
"111","CA","Willow Creek Elementary School District","146787","0642600","CA",30,34,39,"school district"
"112","CA","Winton School District","146795","0642960","CA",2051,1944,1874,"school district"
"113","CA","Winters Joint Unified School District","146794","0642930","CA",1559,1528,1557,"school district"
"114","CA","Wilsona School District","146791","0642810","CA",1231,1207,1228,"school district"
"115","CA","Winship-Robbins Elementary School District","146793","0642900","CA",121,120,113,"school district"
"116","CA","Wright Elementary School District","146801","0643200","CA",1451,1308,1276,"school district"
"117","CA","Woodside Elementary School District","146799","0643140","CA",376,369,365,"school district"
"118","CA","Woodlake Unified School District","146797","0601418","CA",2117,2069,2070,"school district"
"119","CA","Yosemite Unified School District","146802","0600160","CA",1528,1364,1367,"school district"
"120","OK","Asher Public Schools I-112","146856","4003300","OK",281,249,259,"school district"
"121","OK","Bishop School District No. C-49","146885","4004470","OK",576,492,565,"school district"
"122","OK","Arnett Independent School District No. 3","146855","4003240","OK",171,167,154,"school district"
"123","OK","Belfonte Schools District No. C-50","146875","4003840","OK",170,158,166,"school district"
"124","OK","Calumet Public Schools","146923","4006240","OK",288,286,292,"school district"
"125","OK","Balko Independent School District No. 75","146862","4003510","OK",149,139,151,"school district"
"126","OK","Carnegie Independent School District No. 33","146937","4006630","OK",547,532,538,"school district"
"127","OK","Davidson School District No. C-9","147036","4000798","OK",37,41,27,"school district"
"128","OK","Clinton Independent School District No. 99","146985","4008070","OK",2183,2066,2066,"school district"
"129","OK","Fanshawe Public Schools","147082","4011400","OK",102,110,102,"school district"
"130","OK","Erick Independent School District","147077","4011040","OK",226,221,208,"school district"
"131","OK","Gypsy Public Schools","147143","4013600","OK",47,55,44,"school district"
"132","FL","Pasco County District School Board","148148","1201530","FL",76661,77125,81157,"school district"
"133","FL","Manatee County District School Board","148130","1201230","FL",50088,49181,50248,"school district"
"134","MT","St. Ignatius School District No. 28","35409","3006110","MT",483,472,475,"school district"
"135","TX","Bonham Independent School District","38934","4810800","TX",1874,1796,1887,"school district"
"136","TX","Granbury Independent School District","39028","4821390","TX",7474,7469,7732,"school district"
"137","NC","Cumberland County Board of Education","36539","3700011","NC",50750,49278,48860,"school district"
"138","WA","Issaquah School District No. 411","44536","5303750","WA",21358,20164,19590,"school district"
"139","TX","Van Vleck Independent School District","39092","4843950","TX",1079,1056,1080,"school district"
"140","TX","Tidehaven Independent School District","39091","4842810","TX",982,955,1010,"school district"
"141","OK","Holly Creek Public Schools","148689","4014890","OK",241,239,222,"school district"
"142","TX","Gonzales Independent School District","229757","4821060","TX",2837,2654,2614,"school district"
"143","RI","Exeter-West Greenwich Regional School District","43023","4400360","RI",1663,1564,1572,"school district"
"144","TX","Alto Independent School District","229512","4807980","TX",631,609,556,"school district"
"145","TX","Brooks County Independent School District","229700","4811580","TX",1506,1438,1342,"school district"
"146","OK","White Rock Public Schools C-5","148843","4032640","OK",97,113,126,"school district"
"147","OK","Wapanucka Public Schools","148839","4031590","OK",242,224,214,"school district"
"148","OK","Turkey Ford Public Schools C-10","148833","4030290","OK",101,91,99,"school district"
"149","UT","Provo City School District","102430","4900810","UT",17005,13575,13983,"school district"
"150","OK","Jennings Public Schools","147206","4015750","OK",224,223,246,"school district"
"151","OK","Kremlin-Hillsdale School District I-18","147241","4016740","OK",277,286,298,"school district"
"152","OK","Liberty School District No. C-1","147270","4017700","OK",335,347,366,"school district"
"153","OK","Krebs School District No. C-9","147239","4016720","OK",469,418,477,"school district"
"154","OK","Moyers School District I-22","147343","4020640","OK",172,149,186,"school district"
"155","OK","Norwood School District No. C-14","147382","4021900","OK",150,138,125,"school district"
"156","OK","Peggs School District C-31","147485","4023730","OK",210,199,182,"school district"
"157","OK","Pleasant Grove School District C-29 Pottawatomie","147499","4024330","OK",247,204,220,"school district"
"158","OK","Peavine Public Schools","147483","4010560","OK",110,113,90,"school district"
"159","OK","Stidham Public Schools","147616","4028620","OK",87,89,94,"school district"
"160","OK","Sweetwater Public Schools I-15","147630","4029310","OK",124,137,121,"school district"
"161","OK","Twin Hills School District No. C -11","147685","4030450","OK",329,334,329,"school district"
"162","CT","Regional School District No. 11","155925","0903570","CT",203,201,207,"school district"
"163","TX","Keller Independent School District","229846","4825260","TX",35267,34319,34813,"school district"
"164","TX","Milano Independent School District","229938","4830690","TX",429,396,409,"school district"
"165","PA","School District of Lancaster","38031","4213140","PA",10880,10384,10189,"school district"
"166","TX","Monahans-Wickett-Pyote Independent School District","229944","4831170","TX",2401,2103,2162,"school district"
"167","PA","Wyomissing Area School District","51621","4226760","PA",1920,1854,1793,"school district"
"168","TX","Quinlan Independent School District","230011","4836240","TX",2645,2592,2577,"school district"
"169","OK","Elk City Independent School District No. 06","147073","4010740","OK",2181,2024,2102,"school district"
"170","OK","Wickliffe School District No. C-35","147749","4032760","OK",61,90,91,"school district"
"171","NY","Carmelcentral School District","36350","3606570","NY",4005,3848,3829,"school district"
"172","PA","Central Valley School District","54115","4200824","PA",2314,2221,2284,"school district"
"173","PA","Perkiomen Valley School District","38093","4218930","PA",5395,5119,5104,"school district"
"174","MI","Alma Public Schools","34431","2602640","MI",2027,1954,1894,"school district"
"175","MI","Bangor Public Schools","34650","2603870","MI",1104,1038,1043,"school district"
"176","MI","Kalkaska Public Schools","34471","2620050","MI",1456,1401,1361,"school district"
"177","MN","Independent School District No. 206","34832","2703060","MN",4236,4064,4083,"school district"
"178","MT","Browning Public Schools","42164","3005140","MT",1387,1392,1203,"school district"
"179","KS","Topeka Public Schools Unified School District No. 501","33557","2012260","KS",13004,12436,12503,"school district"
"180","NY","Bath Central School District","36389","3604050","NY",1508,1407,1400,"school district"
"181","MI","Clawson Public Schools","34575","2609930","MI",1469,1335,1317,"school district"
"182","MI","Kelloggsville Public Schools","34486","2620160","MI",2397,2251,2238,"school district"
"183","MI","Madison District Public Schools","34590","2622290","MI",1138,1028,946,"school district"
"184","MI","Portland Public Schools","47855","2629120","MI",2098,2073,2058,"school district"
"185","MN","Independent School District No. 840","34921","2733600","MN",1026,1037,1076,"school district"
"186","MI","Fenton Area Public Schools","34410","2614250","MI",3450,3279,3177,"school district"
"187","MI","Comstock Park Public Schools","34481","2610620","MI",1847,1775,1824,"school district"
"188","MN","Independent School District No. 834","34920","2738190","MN",8572,8290,8203,"school district"
"189","NE","Central City Public Schools","108906","3104920","NE",767,751,782,"school district"
"190","NC","Granville County Board of Education","36567","3701800","NC",7369,7055,6835,"school district"
"191","NE","Shelton School District No. 19","108709","3176620","NE",285,267,269,"school district"
"192","NE","St. Edward School District No. 6-0017","108713","3176980","NE",177,182,187,"school district"
"193","NC","Mooresville Graded School District","36586","3703120","NC",6080,5993,5982,"school district"
"194","NE","Shickley Public Schools","109612","3176650","NE",173,165,164,"school district"
"195","OK","Latta Public Schools","37473","4017190","OK",911,864,904,"school district"
"196","OK","Graham - Dustin School District No. 54","147126","4000782","OK",169,172,133,"school district"
"197","NE","Bridgeport Public Schools","108890","3100105","NE",450,460,481,"school district"
"198","NE","Ogallala Public School District No. 51-0001","46509","3174760","NE",911,878,870,"school district"
"199","OK","Norman Independent School District No. 29","197314","4021720","OK",16289,14419,15447,"school district"
"200","FL","Clay County District School Board","148083","1200300","FL",38698,38268,38593,"school district"
"201","MS","Lafayette County School District","35035","2802370","MS",2912,2763,2776,"school district"
"202","MS","Okolona Municipal Separate School District","34991","2803390","MS",570,547,521,"school district"
"203","OR","Tillamook School District No. 9","197354","4112320","OR",2254,2075,2114,"school district"
"204","PA","Seneca Valley School District","37914","4222440","PA",7304,7250,7409,"school district"
"205","PA","Charleroi Area School District","38157","4205640","PA",1432,1413,1361,"school district"
"206","SC","Orangeburg County School District","197398","4503910","SC",12265,11739,11319,"school district"
"207","PA","Northgate School District","37828","4217770","PA",1077,1048,1053,"school district"
"208","FL","Charlotte District School Board County","102317","1200240","FL",16030,15284,16400,"school district"
"209","IA","Hubbard-Radcliffe Community School District","163004","1914310","IA",398,413,375,"school district"
"210","IA","Hudson Community School District","163005","1914340","IA",786,767,802,"school district"
"211","NY","Mcgraw Central School District","190601","3618840","NY",566,551,552,"school district"
"212","IA","Hinton Community School District","163002","1914160","IA",801,810,832,"school district"
"213","IA","Independence Community School District","163010","1914580","IA",1496,1472,1496,"school district"
"214","IA","Iowa Falls Community School District","163020","1914730","IA",1314,1249,1275,"school district"
"215","IA","Interstate 35 Community School District","163012","1914670","IA",848,824,860,"school district"
"216","IA","Kingsley-Pierson Community School District","163045","1915750","IA",437,454,458,"school district"
"217","TN","Robertson County Board of Education","197504","4703600","TN",12680,13960,14343,"school district"
"218","IA","Laurens-Marathon Community School District","163053","1916420","IA",154,125,129,"school district"
"219","IA","Louisa-Muscatine Community School District","163063","1917820","IA",862,840,828,"school district"
"220","IA","Lynnville-Sully Community School District","163066","1918030","IA",553,542,559,"school district"
"221","TX","Canton Independent School District","197543","4812750","TX",2199,2134,2284,"school district"
"222","IA","Madrid Community School District","163070","1918180","IA",723,697,676,"school district"
"223","IA","Lawton-Bronson Community School District","163054","1916440","IA",700,692,706,"school district"
"224","IA","Luverne Community School District","163064","1917880","IA",49,40,41,"school district"
"225","IA","Maquoketa Valley Community School District","163076","1918540","IA",732,719,708,"school district"
"226","IA","Maple Valley-Anthon Oto Community School District","163073","1918480","IA",661,646,664,"school district"
"227","TX","Blanket Independent School District","163453","4810380","TX",143,143,147,"school district"
"228","TX","Booker Independent School District","163461","4810830","TX",371,362,357,"school district"
"229","IA","Lone Tree Community School District","163060","1917550","IA",483,466,458,"school district"
"230","IA","Melcher-Dallas Community School District","163084","1918960","IA",347,356,340,"school district"
"231","TX","Gatesville Independent School District","197556","4820500","TX",2788,2790,2697,"school district"
"232","TX","Knox City-O'Brien Consolidated Independent School District","197575","4825870","TX",251,239,228,"school district"
"233","PA","Spring Cove School District","37892","4222530","PA",1762,1685,1697,"school district"
"234","IN","Richmond Community Schools","199996","1809510","IN",4820,4574,4638,"school district"
"235","NY","Millbrook Central School District","400695","3619380","NY",926,882,889,"school district"
"236","PA","Loyalsock Township School District","400741","4214310","PA",1576,1527,1532,"school district"
"237","GA","Coweta County Board of Education","196511","1301500","GA",22855,22241,22694,"school district"
"238","GA","Emanuel County Board of Education","196515","1302040","GA",4181,4077,3988,"school district"
"239","AZ","Bullhead City Elementary School District No. 15","30575","0401500","AZ",2651,2250,2382,"school district"
"240","TN","Board of Education of Collierville Schools","106714","4700149","TN",9188,9043,9060,"school district"
"241","CA","Coalinga Huron Unified School District","98845","0609120","CA",4510,4405,4434,"school district"
"242","IA","Marion Independent School District","163080","1918690","IA",2184,2190,2169,"school district"
"243","TX","Bland Independent School District","163452","4810350","TX",726,724,761,"school district"
"244","TX","Bloomburg Independent School District","163454","4810440","TX",276,250,241,"school district"
"245","TX","Boling Independent School District","163460","4810780","TX",1153,1101,1141,"school district"
"246","TX","Blue Ridge Independent School District","163456","4810590","TX",921,888,961,"school district"
"247","TX","Blum Independent School District","163458","4810650","TX",369,365,344,"school district"
"248","TX","Bishop Consolidated Independent School District","163450","4810260","TX",1602,1556,1460,"school district"
"249","IA","Midland Community School District","163088","1919200","IA",479,487,512,"school district"
"250","IA","Missouri Valley Community School District","163091","1919440","IA",799,794,790,"school district"
"251","IA","Mormon Trail Community School District","163099","1919740","IA",215,203,209,"school district"
"252","IA","Monticello Community School District","163097","1919650","IA",1049,1048,1039,"school district"
"253","IA","Morning Sun Community School District","163100","1919770","IA",130,114,122,"school district"
"254","IA","Nashua-Plainfield Community School District","163108","1920190","IA",600,601,592,"school district"
"255","IA","Murray Community School District","163105","1920100","IA",298,281,292,"school district"
"256","IA","Mount Vernon Community School District","163103","1920040","IA",1415,1386,1414,"school district"
"257","IA","Mount Ayr Community School District","163101","1919860","IA",647,624,638,"school district"
"258","TX","Boys Ranch Independent School District","163466","4811040","TX",312,206,178,"school district"
"259","TX","Bosqueville Independent School District","163463","4810910","TX",739,729,702,"school district"
"260","TX","Bovina Independent School District","163464","4810950","TX",471,465,458,"school district"
"261","TX","Boyd Independent School District","163465","4811010","TX",1305,1267,1232,"school district"
"262","TX","Brackett Independent School District","163467","4811070","TX",572,519,532,"school district"
"263","IA","New Hampton Community School District","163110","1920340","IA",1036,1029,1026,"school district"
"264","IA","New London Community School District","163112","1920460","IA",556,570,587,"school district"
"265","IA","Nodaway Valley Community School District","163116","1913110","IA",640,621,611,"school district"
"266","IA","North Butler Community School District","163117","1903450","IA",569,563,589,"school district"
"267","IA","Newell-Fonda Community School District","163114","1920580","IA",526,555,557,"school district"
"268","IA","North Cedar Community School District","163118","1917100","IA",666,631,632,"school district"
"269","IA","North Fayette Valley Community School District","163119","1900006","IA",1128,1070,1073,"school district"
"270","IA","North Iowa Community School District","163120","1905750","IA",483,451,475,"school district"
"271","IA","North Kossuth Community School District","163123","1920830","IA",324,301,283,"school district"
"272","IA","North Linn Community School District","163124","1920820","IA",609,568,536,"school district"
"273","IA","Nevada Community School District","163109","1920250","IA",1592,1556,1535,"school district"
"274","TX","Brookesmith Independent School District","163474","4811550","TX",155,158,191,"school district"
"275","TX","Brock Independent School District","163472","4811460","TX",1606,1765,2005,"school district"
"276","TX","Bremond Independent School District","163470","4811250","TX",500,494,498,"school district"
"277","IA","North Polk Community School District","163126","1920910","IA",1927,1984,2084,"school district"
"278","IA","North Union Community School District","163128","1903850","IA",343,336,318,"school district"
"279","IA","Northwood-Kensett Community School District","163139","1921210","IA",599,578,580,"school district"
"280","IA","Orient-Macksburg Community School District","163146","1921810","IA",161,164,149,"school district"
"281","IA","Northeast Community School District","163130","1921090","IA",908,889,879,"school district"
"282","TX","Bryson Independent School District","163476","4811820","TX",256,260,252,"school district"
"283","TX","Buckholts Independent School District","163477","4811850","TX",125,141,140,"school district"
"284","TX","Buena Vista Independent School District","163478","4811910","TX",253,240,240,"school district"
"285","TX","Burkeville Independent School District","163479","4812150","TX",253,269,232,"school district"
"286","TX","Burnet Consolidated Independent School District","163480","4812220","TX",3248,3113,3277,"school district"
"287","TX","Burton Independent School District","163482","4812240","TX",479,481,523,"school district"
"288","IA","Osage Community School District","163147","1921840","IA",990,975,985,"school district"
"289","IA","Okoboji Community School District","163143","1900021","IA",1177,1192,1199,"school district"
"290","TX","Calvert Independent School District","163485","4812540","TX",142,143,142,"school district"
"291","TX","Bynum Independent School District","163483","4812360","TX",204,195,181,"school district"
"292","TX","Caddo Mills Independent School District","163484","4812390","TX",1914,1992,2232,"school district"
"293","TX","Campbell Independent School District","163487","4812660","TX",302,287,303,"school district"
"294","TX","Canadian Independent School District","163488","4812700","TX",882,877,841,"school district"
"295","TX","Carrizo Springs Consolidated Independent School District","163490","4812990","TX",2133,2066,1923,"school district"
"296","TX","Carlisle Independent School District","163489","4812870","TX",624,612,608,"school district"
"297","IA","Paton-Churdan Community School District","163156","1922380","IA",238,221,202,"school district"
"298","IA","Pella Community School District","163160","1922470","IA",2471,2416,2463,"school district"
"299","IA","Pekin Community School District","163159","1922440","IA",719,706,667,"school district"
"300","IA","Prairie Valley Community School District","163169","1900028","IA",551,555,568,"school district"
"301","TX","Celeste Independent School District","163492","4813260","TX",506,494,485,"school district"
"302","TX","Central Heights Independent School District","163494","4813440","TX",1176,1131,1137,"school district"
"303","TX","Celina Independent School District","163493","4813290","TX",2831,2962,3359,"school district"
"304","TX","Cisco Independent School District","163507","4814070","TX",845,839,814,"school district"
"305","TX","Channing Independent School District","163495","4813620","TX",162,168,163,"school district"
"306","TX","Charlotte Independent School District","163498","4813710","TX",452,419,397,"school district"
"307","TX","Chester Independent School District","163500","4813770","TX",203,211,213,"school district"
"308","TX","Chico Independent School District","163501","4813800","TX",596,588,576,"school district"
"309","TX","Cherokee Independent School District","163499","4813740","TX",106,131,128,"school district"
"310","IA","Pocahontas Area Community School District","163166","1923190","IA",721,737,737,"school district"
"311","TX","Chireno Independent School District","163504","4813980","TX",384,394,408,"school district"
"312","TX","Christoval Independent School District","163506","4814010","TX",539,566,566,"school district"
"313","TX","Chisum Independent School District","163505","4800012","TX",1074,1062,1145,"school district"
"314","TX","City View Independent School District","163508","4814130","TX",1072,1023,1121,"school district"
"315","TX","Claude Independent School District","163510","4814250","TX",331,316,307,"school district"
"316","TX","Chillicothe Independent School District","163502","4813890","TX",202,207,199,"school district"
"317","TX","Chilton Independent School District","163503","4813920","TX",537,529,547,"school district"
"318","VT","Mount Abraham Unified School District","65810","5000425","VT",1473,1428,1433,"school district"
"319","IA","Riceville Community School District","163180","1924150","IA",377,383,398,"school district"
"320","IA","Schleswig Community School District","163191","1925410","IA",185,174,149,"school district"
"321","IA","River Valley Community School District","163182","1910340","IA",391,410,358,"school district"
"322","IA","Riverside Community School District","163183","1900027","IA",641,631,663,"school district"
"323","IA","Rudd-Rockford-Marble Rock Community School District","163187","1924960","IA",439,410,419,"school district"
"324","IA","Ruthven-Ayrshire Community School District","163188","1925050","IA",194,182,165,"school district"
"325","IA","Sergeant Bluff-Luton Community School District","163193","1925590","IA",1709,1687,1713,"school district"
"326","IA","Schaller Crestland Community School District","163190","1925380","IA",401,372,369,"school district"
"327","IA","Seymour Community School District","163194","1925620","IA",251,245,251,"school district"
"328","IA","Sheldon Community School District","163197","1925980","IA",1180,1205,1207,"school district"
"329","IA","Sioux Central Community School District","163202","1900023","IA",682,660,630,"school district"
"330","IA","Solon Community School District","163206","1926580","IA",1529,1515,1511,"school district"
"331","IA","Sibley-Ocheyedan Community School District","163198","1900015","IA",769,766,730,"school district"
"332","IA","South Hamilton Community School District","163211","1926640","IA",721,688,699,"school district"
"333","IA","Sidney Community School District","163199","1926250","IA",514,509,515,"school district"
"334","TX","Comstock Independent School District","163519","4814920","TX",205,231,240,"school district"
"335","TX","Como-Pickton Independent School District","163515","4814880","TX",732,709,725,"school district"
"336","TX","Collinsville Independent School District","163513","4814580","TX",522,539,560,"school district"
"337","TX","Cotton Center Independent School District","163522","4815360","TX",100,96,99,"school district"
"338","TX","Coupland Independent School District","163523","4815420","TX",163,173,263,"school district"
"339","TX","Colmesneil Independent School District","163514","4814600","TX",490,435,453,"school district"
"340","TX","Crane Independent School District","163524","4815540","TX",1174,1099,1151,"school district"
"341","TX","Cranfills Gap Independent School District","163525","4815570","TX",128,129,132,"school district"
"342","TX","Crawford Independent School District","163526","4815600","TX",581,561,558,"school district"
"343","WA","College Place School District No. 250","39705","5301470","WA",1627,1610,1570,"school district"
"344","IA","Southeast Webster-Grand Community School District","163219","1999019","IA",569,527,520,"school district"
"345","IA","Southeast Warren Community School District","163218","1926850","IA",517,493,486,"school district"
"346","IA","Stratford Community School District","163238","1927480","IA",65,64,66,"school district"
"347","IA","Starmont Community School District","163233","1927270","IA",622,604,592,"school district"
"348","TX","Cross Roads Independent School District","163530","4815840","TX",537,528,538,"school district"
"349","TX","Crowell Independent School District","163532","4815870","TX",230,202,192,"school district"
"350","TX","Crystal City Independent School District","163533","4815930","TX",1910,1838,1785,"school district"
"351","TX","Cumby Independent School District","163535","4816020","TX",396,420,435,"school district"
