"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"42","IA","Iowa",71073,"1921000",2020,"des moines",866817685,41591897,177894533,0,22869853,0,2085868785,0,0,436787680,508221864,214125,60693
"43","PA","Pennsylvania",42714,"4260000",2020,"philadelphia",19141711000,1937322000,6095885000,0,1935327000,0,13216525000,0,0,8712288000,8677695000,1603799,52899
"44","PA","Pennsylvania",43862,"4261000",2020,"pittsburgh",1836357586,62813200,776368485,0,402893514,0,540333554,0,5917299,582044068,607218809,302958,57821
"45","MD","Maryland",33980,"2404000",2020,"baltimore",9195780000,821471000,1875711000,9121000,1245666000,0,12011660000,0,175875000,3308251000,3193101000,585693,54652
"46","MI","Michigan",34317,"2622000",2020,"detroit",5377049394,466040162,1792678121,37262730,445447,0,6069108155,0,98596755,2182546082,2155139212,639115,36140
"47","ID","Idaho",32682,"1608830",2020,"boise",224761000,52760000,82764000,54173000,15136000,0,1432669000,0,8684000,392568000,479054000,235712,70217
"48","IN","Indiana",33221,"1825000",2020,"fort wayne",1390532275,51344214,237996172,0,167460423,0,2686383409,0,18194635,509591066,573922167,263914,54737
"49","KS","Kansas",33468,"2079000",2020,"wichita",1466116636,64834687,99941000,0,42211000,0,3998755369,0,15075000,598342655,672981776,397547,56293
"50","IL","Illinois",32795,"1714000",2020,"chicago",69251891000,4835603000,32958251000,0,1963340000,0,42486362000,0,0,10177766000,11215375000,2746352,66576
"51","MN","Minnesota",1036390,"2743000",2020,"minneapolis",1730749000,103434000,528974000,0,41281000,0,4284535000,0,47724000,1080192000,1147425000,429985,69397
"52","MN","Minnesota",101973,"2758000",2020,"saint paul",1199914233,57593330,214764491,0,267232002,0,2475155703,0,21215650,650396168,703359545,311518,66098
"53","TN","Tennessee",38563,"4748000",2020,"memphis",4403060000,605559000,578293000,0,933940000,0,6665198000,0,132839000,2925057000,2869453000,631539,44317
"54","MO","Missouri",43771,"2938000",2020,"kansas city",5330276000,428601000,870059000,0,115354000,0,9992759000,0,49670000,1960825000,1917677000,507971,63396
"55","NY","New York",36072,"3684000",2020,"yonkers",4915299122,311457350,393017963,3192282,3452182595,0,1292619465,0,52157737,1422708718,1249122727,211585,66395
"56","NJ","New Jersey",108025,"3436000",2020,"jersey city",61264484,61264484,1081996047,0,1081996047,0,211996582,0,0,1036561603,1049105487,292754,81958
"57","MO","Missouri",44598,"2965000",2020,"st louis",3262271000,289003000,572126000,0,629014000,0,3570184000,0,60410000,1117833000,1137784000,301574,49965
"58","NJ","New Jersey",35652,"3451000",2020,"newark",538595469,0,0,0,0,0,538595469,538595469,0,946576141,946576141,311552,43242
"59","TX","Texas",38701,"4817000",2020,"corpus christi",1928720995,87504254,227467000,0,9212565,0,3543052934,0,37242980,485734670,667414021,317863,59812
"60","TX","Texas",38669,"4819000",2020,"dallas",12969622000,520329000,4693271000,0,530989000,0,2327500000,0,140853000,2718982000,3181977000,1304317,57995
