"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"17","AL","Alabama",1265667,"01073",2020,"jefferson county","General Purpose",2965742000,191938000,0,142088000,119964000,0,3706359000,0,22339000,803857000,789214000,0,0,0,2518608000,674355,593276,0.879290847624426,55210,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Jefferson%20County/AL%20Jefferson%20County%202020.pdf"
"18","CA","California",149444,"06065",2020,"riverside county","General Purpose",8461146000,1486004000,3517404000,0,60350000,143000,9090883000,0,279952000,5945935000,5091044000,-2706020000,2205402000,0,84342000,2418177,2285826,0.945265147207513,78690,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Riverside%20County/CA%20Riverside%20County%202020.pdf"
"19","CA","California",1267172,"06067",2020,"sacramento county","General Purpose",5697591000,359159000,1843333000,0,135237000,0,6112564000,0,140277000,3453455000,3562287000,0,2415485000,0,21131000,1585046,1547026,0.976007772600951,79611,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Sacramento%20County/CA%20Sacramento%20County%202020.pdf"
"20","CA","California",31709,"06071",2020,"san bernardino county","General Purpose",4697075000,855666000,2236518000,0,8506000,0,7610809000,4809570000,244389000,4628342000,5011731000,-297415000,418164000,0,29126000,2181662,2064249,0.94618532544574,74218,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Bernardino%20County/CA%20San%20Bernardino%20County%202020.pdf"
"21","CA","California",31710,"06073",2020,"san diego county","General Purpose",6570540000,945099000,3790434000,0,106033000,0,8897009000,0,128010000,5176994000,5306058000,0,1018893000,3201000,0,3298635,3153671,0.956053627046832,90756,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego%20County/CA%20San%20Diego%20County%202020.pdf"
"22","CA","California",31712,"06077",2020,"san joaquin county","General Purpose",2227446646,257288477,1584683469,0,129969434,0,2527746626,0,42274000,1684207695,1759228543,0,7897000,0,1276000,779227,718832,0.922486599001839,79598,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Joaquin%20County/CA%20San%20Joaquin%20County%202020.pdf"
"23","CA","California",31714,"06081",2020,"san mateo county","General Purpose",1979736000,577795000,582014000,0,93292000,0,4151581000,0,88988000,1925470000,2201904000,1484083000,570202000,0,2207000,764432,751407,0.982948346637155,131151,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Mateo%20County/CA%20San%20Mateo%20County%202020.pdf"
"24","CA","California",31546,"06085",2020,"santa clara county","General Purpose",10454942000,1698043000,4369993000,0,1193745000,0,8396243000,0,336638000,6863789000,7052128000,-3604250000,2620844000,0,0,1936274,1910722,0.98681116524184,141161,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Clara%20County/CA%20Santa%20Clara%20County%202020.pdf"
"25","CA","California",31700,"06059",2020,"orange county","General Purpose",7044193000,890891000,4125372000,0,328412000,0,9724166000,0,184050000,4484712000,4801992000,0,620161000,387644000,34661000,3186979,3179027,0.997501717138026,100210,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Orange%20County/CA%20Orange%20County%202020.pdf"
"26","MA","Massachusetts",116575,"25021",2020,"norfolk county","General Purpose",105376198,2226019,30650254,0,55376593,0,53572033,0,884000,41107208,34165053,0,16130000,0,0,725999,711300,0.979777707681055,114658,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Norfolk%20County/MA%20Norfolk%20County%202020.pdf"
"27","CA","California",149441,"06111",2020,"ventura county","General Purpose",2147171000,476098000,677172000,0,131699000,1713000,3839991000,0,95996000,2098094000,2164226000,0,28616000,11726000,180020000,843843,815432,0.966331414729991,95819,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Ventura%20County/CA%20Ventura%20County%202020.pdf"
"28","MD","Maryland",189872,"24005",2020,"baltimore county","General Purpose",8640980000,461723000,1831608000,0,1696611000,0,5697653000,0,82951000,3473559000,3167797000,-4226002000,3887143000,4375000,350000000,854554,793614,0.928708595903035,80159,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/Baltimore%20County/MD%20Baltimore%20County%202020.pdf"
"29","CO","Colorado",31951,"08005",2020,"arapahoe county","General Purpose",435652646,52349020,208374554,0,0,0,1285747483,0,18289696,500917109,509757461,0,129941621,0,2664894,655058,641552,0.979364037431114,84308,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Arapahoe%20County/CO%20Arapahoe%20County%202020.pdf"
"30","CO","Colorado",1266289,"08031",2020,"denver county","General Purpose",11288224000,713552000,1699959000,17721000,249680000,0,15522618000,0,197846000,3671950000,3707605000,0,7772948000,0,7565000,715538,715418,0.999854651569064,81262,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Denver%20County/CO%20Denver%20County%202020.pdf"
"31","CO","Colorado",31965,"08041",2020,"el paso county","General Purpose",802181693,36876174,485244387,0,138991599,0,843973591,0,18442054,529071537,543782241,-351776745,0,0,0,730402,655526,0.897495190958317,79094,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/El%20Paso%20County/CO%20El%20Paso%20County%202020.pdf"
"32","MD","Maryland",33967,"24031",2020,"montgomery county","General Purpose",6415638072,808532471,106518934,0,825636740,0,7984812925,0,92651456,4841330406,5082707410,0,3588542269,0,604379284,1062054,1033604,0.9732058704726,112352,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/Montgomery%20County/MD%20Montgomery%20County%202020.pdf"
"33","MD","Maryland",189892,"24033",2020,"prince georges county","General Purpose",7876190727,553578380,1828515183,0,2063326398,0,5061683704,0,87011437,2732961481,2497217158,0,2603075752,0,310379185,967194,943654,0.975654491672362,89689,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/Prince%20Georges%20County/MD%20Prince%20Georges%20County%202020.pdf"
"34","GA","Georgia",169817,"13121",2020,"fulton county","General Purpose",3257955000,98554000,333578000,0,1675472000,0,3145113000,0,47787000,1107016000,1134497000,-1148514000,1019637000,0,0,1066702,1059965,0.993676819379213,82820,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/Fulton%20County/GA%20Fulton%20County%202020.pdf"
"35","FL","Florida",32225,"12009",2020,"brevard county","General Purpose",920994570,114651332,414905456,0,27264556,0,1987646759,0,33194145,686028641,764680908,0,204664734,49105318,0,606603,583073,0.961195953921123,65280,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Brevard%20County/FL%20Brevard%20County%202020.pdf"
