,state.abb,name,year,total_assets,...6,id
135,PA,pittsburgh,2020,540333554,NA,43862
136,PA,pittsburgh,2021,748652689,NA,43862
137,TX,plano,2020,2363327140,NA,38665
138,TX,plano,2021,2497607508,NA,38665
139,OR,portland,2020,9652816787,NA,37572
140,OR,portland,2021,10259480676,NA,37572
141,NC,raleigh,2020,4823292790,NA,36728
142,NC,raleigh,2021,5129144536,NA,36728
143,NV,reno,2020,1857669187,NA,35523
144,NV,reno,2021,1982009528,NA,35523
145,VA,richmond,2020,3549156723,NA,230420
146,VA,richmond,2021,3716661730,NA,230420
147,CA,riverside,2020,4393462000,NA,31836
148,CA,riverside,2021,4540938000,NA,31836
149,NY,rochester,2020,1501004000,NA,36037
150,NY,rochester,2021,1622748000,NA,36037
151,CA,sacramento,2020,5307633000,NA,42691
152,CA,sacramento,2021,5432589000,NA,42691
153,MN,saint paul,2020,2475155703,NA,101973
154,TX,san antonio,2020,8654512000,NA,38656
155,TX,san antonio,2021,8993719000,NA,38656
156,CA,san bernardino,2020,1015938297,NA,31848
157,CA,san bernardino,2021,1112173748,NA,31848
158,CA,san diego,2020,15727390000,NA,44032
159,CA,san diego,2021,16116199000,NA,44032
160,CA,san jose,2020,10853083000,NA,101868
161,CA,san jose,2021,10872333000,NA,101868
162,CA,santa ana,2020,1662491327,NA,31826
163,CA,santa ana,2021,1819859436,NA,31826
164,CA,santa clarita,2020,1482565883,NA,31800
165,CA,santa clarita,2021,1628380835,NA,31800
166,AZ,scottsdale,2020,7014292000,NA,31637
167,AZ,scottsdale,2021,7444813000,NA,31637
168,WA,seattle,2020,15849537000,NA,39553
169,WA,seattle,2021,17225365000,NA,39553
170,WA,spokane,2020,3165077400,NA,39566
171,WA,spokane,2021,3319465094,NA,39566
172,MO,st louis,2020,3570184000,NA,44598
173,MO,st louis,2021,3861720000,NA,44598
174,FL,st petersburg,2020,2532474006,NA,32314
175,FL,st petersburg,2021,2676871423,NA,32314
176,CA,stockton,2020,2520974098,NA,31865
177,CA,stockton,2021,2713407306,NA,31865
178,WA,tacoma,2020,5236657000,NA,39559
179,WA,tacoma,2021,5491480000,NA,39559
180,FL,tampa,2020,3854320368,NA,32297
181,FL,tampa,2021,4068917308,NA,32297
182,OH,toledo,2020,2607625000,NA,98182
183,OH,toledo,2021,2786778000,NA,98182
184,AZ,tucson,2020,4646345561,NA,31644
185,AZ,tucson,2021,5683894388,NA,31644
186,OK,tulsa,2020,3709260000,NA,37344
187,OK,tulsa,2021,3709260000,NA,37344
188,VA,virginia beach,2020,5963034244,NA,230476
189,VA,virginia beach,2021,6199794724,NA,230476
190,KS,wichita,2020,3998755369,NA,33468
191,KS,wichita,2021,4221113253,NA,33468
192,NC,winston-salem,2020,2121870086,NA,36708
193,NC,winston-salem,2021,2312603738,NA,36708
194,NY,yonkers,2020,1292619465,NA,36072
195,NY,yonkers,2021,1363904409,NA,36072
