ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1800046,7-Independent Charter District,1264,58.79,14961000,190000,11901000,2870000,14856000
21ST CENTURY CYBER CS,Pennsylvania,PA ,4200091,7-Independent Charter District,2503,72.79,36448000,36150000,33000,265000,21086000
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM ,3500187,7-Independent Charter District,351,24.20,4119000,375000,3533000,211000,4090000
A E R O  SPEC EDUC COOP,Illinois,IL ,1700024,9-Specialized public school district,†,†,39158000,30321000,6643000,2194000,29268000
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4280010,9-Specialized public school district,7,31.00,10727000,8412000,1800000,515000,8975000
A W BROWN LEADERSHIP ACADEMY,Texas,TX ,4800095,7-Independent Charter District,1383,76.79,16823000,555000,12250000,4018000,16071000
A+ ACADEMY,Texas,TX ,4800203,7-Independent Charter District,1456,92.87,17921000,163000,15066000,2692000,15780000
A+ ARTS ACADEMY,Ohio,OH ,3900305,7-Independent Charter District,559,30.00,6477000,90000,4645000,1742000,6143000
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ ,0400998,7-Independent Charter District,163,–,1943000,44000,1569000,330000,1704000
A+ CHILDREN'S ACADEMY,Ohio,OH ,3901480,7-Independent Charter District,109,9.00,1201000,133000,1026000,42000,1230000
A+ UNLIMITED POTENTIAL,TEXAS,TX ,4801453,7-Independent Charter District,152,6.91,2424000,539000,1676000,209000,2008000
A-C CENTRAL CUSD 262,Illinois,IL ,1700105,1-Regular local school district that is NOT a component of a supervisory union,392,–,7621000,3594000,3438000,589000,6890000
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VA ,5100033,9-Specialized public school district,0,†,–,–,–,–,–
A.C.E. ACADEMY,North Carolina,NC ,3700372,7-Independent Charter District,396,16.66,3900000,965000,2582000,353000,3999000
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700106,1-Regular local school district that is NOT a component of a supervisory union,869,64.62,14678000,3343000,9576000,1759000,22608000
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA ,2200056,8-Other education agencies,390,18.00,–,–,–,–,–
ABBEVILLE 60,South Carolina,SC ,4500690,1-Regular local school district that is NOT a component of a supervisory union,2924,221.00,41071000,11632000,23684000,5755000,39353000
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,5500030,1-Regular local school district that is NOT a component of a supervisory union,760,59.04,12814000,3691000,7745000,1378000,9802000
ABBOTT ISD,Texas,TX ,4807380,1-Regular local school district that is NOT a component of a supervisory union,274,25.13,4279000,1598000,2514000,167000,3947000
ABBOTT UNION FREE SCHOOL DISTRICT,New York,NY ,3602300,1-Regular local school district that is NOT a component of a supervisory union,†,†,†,†,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500051,7-Independent Charter District,1425,115.12,27040000,20555000,4436000,2049000,24128000
ABC UNIFIED,California,CA ,0601620,1-Regular local school district that is NOT a component of a supervisory union,19540,822.59,298917000,66246000,208716000,23955000,288635000
ABERDEEN DISTRICT,Idaho,ID ,1600030,1-Regular local school district that is NOT a component of a supervisory union,688,48.24,8624000,1824000,5395000,1405000,8265000
ABERDEEN SCHOOL DIST,Mississippi,MS ,2800360,1-Regular local school district that is NOT a component of a supervisory union,1081,87.37,15197000,6130000,6239000,2828000,15327000
ABERDEEN SCHOOL DISTRICT,Washington,WA ,5300030,1-Regular local school district that is NOT a component of a supervisory union,3308,163.90,54379000,7061000,40092000,7226000,49434000
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD ,4602070,1-Regular local school district that is NOT a component of a supervisory union,4485,300.39,57443000,26003000,21652000,9788000,51063000
ABERNATHY ISD,Texas,TX ,4807410,1-Regular local school district that is NOT a component of a supervisory union,810,72.55,12683000,7482000,4352000,849000,10393000
ABILENE,Kansas,KS ,2003180,1-Regular local school district that is NOT a component of a supervisory union,1535,98.71,20759000,4034000,15205000,1520000,20199000
ABILENE ISD,Texas,TX ,4807440,1-Regular local school district that is NOT a component of a supervisory union,15680,1110.18,207149000,72390000,93298000,41461000,237249000
ABINGDON-AVON CUSD 276,Illinois,IL ,1701413,1-Regular local school district that is NOT a component of a supervisory union,939,–,15771000,6385000,8090000,1296000,13995000
ABINGTON,Massachusetts,MA ,2501650,1-Regular local school district that is NOT a component of a supervisory union,2117,132.43,41399000,23561000,15207000,2631000,41264000
ABINGTON HEIGHTS SD,Pennsylvania,PA ,4202010,1-Regular local school district that is NOT a component of a supervisory union,3351,220.00,51318000,34205000,15369000,1744000,49812000
ABINGTON SD,Pennsylvania,PA ,4202040,1-Regular local school district that is NOT a component of a supervisory union,8359,569.35,170958000,127966000,39261000,3731000,192449000
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM ,3500122,7-Independent Charter District,905,58.62,9477000,814000,7842000,821000,8473000
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM ,3500123,7-Independent Charter District,111,13.00,4222000,229000,3095000,898000,4352000
ABSAROKEE ELEM,Montana,MT ,3001710,1-Regular local school district that is NOT a component of a supervisory union,105,11.98,2323000,1226000,634000,463000,2100000
ABSAROKEE H S,Montana,MT ,3001740,1-Regular local school district that is NOT a component of a supervisory union,74,7.35,1910000,1248000,579000,83000,1511000
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ ,3400660,1-Regular local school district that is NOT a component of a supervisory union,893,80.00,21707000,12651000,7541000,1515000,19911000
ACADEMIA ANTONIA ALONSO,Delaware,DE ,1000053,7-Independent Charter District,612,41.00,10101000,2926000,5844000,1331000,8741000
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CA ,0602291,7-Independent Charter District,293,13.50,5642000,230000,4410000,1002000,5691000
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,MN ,2700185,7-Independent Charter District,545,34.43,8808000,52000,7231000,1525000,8440000
ACADEMIA MODERNA DISTRICT,CALIFORNIA,CA ,0602361,7-Independent Charter District,446,18.00,8862000,1594000,4951000,2317000,6740000
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MI ,2600330,7-Independent Charter District,81,5.51,1010000,71000,793000,146000,952000
ACADEMIC ARTS HIGH SCHOOL,Minnesota,MN ,2700361,7-Independent Charter District,89,8.33,1965000,5000,1873000,87000,1950000
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,NY ,3601001,7-Independent Charter District,640,25.00,0,0,0,0,4768000
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,AR ,0500059,7-Independent Charter District,1645,102.16,16518000,1784000,12702000,2032000,14976000
ACADEMIE LAFAYETTE,Missouri,MO ,2900017,7-Independent Charter District,1201,84.99,13960000,3216000,9973000,771000,12734000
ACADEMY CHARTER HIGH SCHOOL,New Jersey,NJ ,3400048,7-Independent Charter District,162,18.00,4099000,3232000,588000,279000,3845000
ACADEMY CHARTER SCHOOL,New York,NY ,3600997,7-Independent Charter District,1782,109.95,0,0,0,0,40426000
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,NY ,3601169,7-Independent Charter District,463,31.83,0,0,0,0,10541000
ACADEMY DEL SOL INC. (90199),Arizona,AZ ,0400797,7-Independent Charter District,704,–,6160000,15000,5316000,829000,5730000
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,TX ,4800093,7-Independent Charter District,308,56.00,8474000,5000,4592000,3877000,8302000
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CA ,0601911,7-Independent Charter District,1466,65.82,18759000,4522000,13101000,1136000,14459000
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,MI ,2600166,7-Independent Charter District,539,32.90,6549000,294000,5171000,1084000,5864000
ACADEMY FOR INTEGRATED ARTS,Missouri,MO ,2900604,7-Independent Charter District,255,17.50,3681000,779000,2252000,650000,3423000
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,UT ,4900017,7-Independent Charter District,464,–,4741000,169000,4310000,262000,4079000
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,NH ,3300040,7-Independent Charter District,541,34.00,–,–,–,–,–
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NJ ,3400741,7-Independent Charter District,486,46.00,11201000,8317000,1648000,1236000,10036000
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OH ,3901472,7-Independent Charter District,218,6.00,3101000,138000,2277000,686000,2755000
ACADEMY ISD,Texas,TX ,4807470,1-Regular local school district that is NOT a component of a supervisory union,1726,125.91,20600000,7003000,11955000,1642000,19109000
ACADEMY OF ACCELERATED LEARNING INC,Texas,TX ,4800032,7-Independent Charter District,851,46.65,10019000,49000,8752000,1218000,8148000
