ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,NY ,3601169,7-Independent Charter District,1272,89.00
ACADEMY DEL SOL INC. (90199),Arizona,AZ ,0400797,7-Independent Charter District,720,–
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,TX ,4800093,7-Independent Charter District,358,53.64
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CA ,0601911,7-Independent Charter District,1484,67.76
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,MI ,2600166,7-Independent Charter District,495,34.80
ACADEMY FOR INTEGRATED ARTS,Missouri,MO ,2900604,7-Independent Charter District,270,26.25
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,UT ,4900017,7-Independent Charter District,454,23.35
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,NH ,3300040,7-Independent Charter District,543,37.00
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NJ ,3400741,7-Independent Charter District,376,26.00
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OH ,3901472,7-Independent Charter District,243,6.00
ACADEMY ISD,Texas,TX ,4807470,1-Regular local school district that is NOT a component of a supervisory union,1835,117.79
ACADEMY OF ACCELERATED LEARNING INC,Texas,TX ,4800032,7-Independent Charter District,850,46.50
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,AZ ,0400414,7-Independent Charter District,105,–
ACADEMY OF DALLAS,Texas,TX ,4800090,7-Independent Charter District,269,13.10
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,DE ,1000017,7-Independent Charter District,411,29.00
ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NEW YORK,NY ,3601190,7-Independent Charter District,311,22.00
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,DC ,1100094,7-Independent Charter District,0,0.00
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,AZ ,0400368,7-Independent Charter District,792,–
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,AZ ,0400940,7-Independent Charter District,1058,–
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,AZ ,0400891,7-Independent Charter District,5818,–
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,CA ,0602503,7-Independent Charter District,143,9.84
ACADEMY OF SEMINOLE,OKLAHOMA,OK ,4000803,7-Independent Charter District,274,17.00
ACADEMY OF THE CITY CHARTER SCHOOL,New York,NY ,3601053,7-Independent Charter District,716,41.00
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500021,7-Independent Charter District,467,49.63
ACADEMY OF TUCSON INC. (78897),Arizona,AZ ,0400202,7-Independent Charter District,501,–
ACADEMY OF VISUAL AND PERFORMING ARTS,TEXAS,TX ,4899131,7-Independent Charter District,†,†
ACADEMY OF WARREN,Michigan,MI ,2600308,7-Independent Charter District,802,44.85
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,CO ,0801920,1-Regular local school district that is NOT a component of a supervisory union,25719,1612.48
