ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
BONDURANT-FARRAR COMM SCHOOL DISTRICT,Iowa,IA ,1905070,1-Regular local school district that is NOT a component of a supervisory union,2731,182.64
BONHAM ISD,Texas,TX ,4810800,1-Regular local school district that is NOT a component of a supervisory union,1899,135.87
BONITA ELEMENTARY DISTRICT (4224),Arizona,AZ ,0401260,1-Regular local school district that is NOT a component of a supervisory union,103,12.00
BONITA UNIFIED,California,CA ,0605610,1-Regular local school district that is NOT a component of a supervisory union,9943,422.90
BONNER ELEM,Montana,MT ,3004260,1-Regular local school district that is NOT a component of a supervisory union,356,28.94
BONNER SPRINGS,Kansas,KS ,2004050,1-Regular local school district that is NOT a component of a supervisory union,2520,196.40
BONNEVILLE ACADEMY,UTAH,UT ,4900195,7-Independent Charter District,423,20.26
BONNEVILLE JOINT DISTRICT,Idaho,ID ,1600930,1-Regular local school district that is NOT a component of a supervisory union,13778,702.25
BONNIE CONE CLASSICAL ACADEMY,NORTH CAROLINA,NC ,3700449,7-Independent Charter District,879,0.00
BONNIE CONE LEADERSHIP ACADEMY,NORTH CAROLINA,NC ,3700479,7-Independent Charter District,†,†
BONNY DOON UNION ELEMENTARY,California,CA ,0605640,1-Regular local school district that is NOT a component of a supervisory union,115,7.00
BONSALL UNIFIED,CALIFORNIA,CA ,0601426,1-Regular local school district that is NOT a component of a supervisory union,2163,100.73
BOOKER ISD,Texas,TX ,4810830,1-Regular local school district that is NOT a component of a supervisory union,343,37.00
BOOKER T. WASHINGTON ACADEMY DISTRICT,CONNECTICUT,CT ,0900217,7-Independent Charter District,444,40.00
BOONE CENTRAL SCHOOLS,Nebraska,NE ,3102820,1-Regular local school district that is NOT a component of a supervisory union,649,50.00
BOONE COMM SCHOOL DISTRICT,Iowa,IA ,1905130,1-Regular local school district that is NOT a component of a supervisory union,2019,137.22
BOONE COUNTY,Kentucky,KY ,2100510,1-Regular local school district that is NOT a component of a supervisory union,20200,1338.00
BOONE COUNTY  SCHOOLS,West Virginia,WV ,5400090,1-Regular local school district that is NOT a component of a supervisory union,3188,266.00
BOONE-APACHE,Oklahoma,OK ,4005010,1-Regular local school district that is NOT a component of a supervisory union,517,36.26
BOONE/WINNEBAGO ROE,Illinois,IL ,1700166,8-Other education agencies,0,10.00
BOONEVILLE SCHOOL DIST,Mississippi,MS ,2800820,1-Regular local school district that is NOT a component of a supervisory union,1321,95.70
BOONEVILLE SCHOOL DISTRICT,Arkansas,AR ,0503450,1-Regular local school district that is NOT a component of a supervisory union,1344,105.58
BOONTON TOWN PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3401950,1-Regular local school district that is NOT a component of a supervisory union,1522,145.09
BOONTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3401980,1-Regular local school district that is NOT a component of a supervisory union,394,40.50
BOONVILLE R-I,Missouri,MO ,2905580,1-Regular local school district that is NOT a component of a supervisory union,1584,123.56
BOOTHBAY-BOOTHBAY HBR CSD,Maine,ME ,2303290,1-Regular local school district that is NOT a component of a supervisory union,500,55.00
BOQUET VALLEY CSD,NEW YORK,NY ,3601189,1-Regular local school district that is NOT a component of a supervisory union,412,52.00
BORDEN COUNTY ISD,Texas,TX ,4810860,1-Regular local school district that is NOT a component of a supervisory union,225,23.74
BORDEN-HENRYVILLE SCHOOL CORPORATION,INDIANA,IN ,1800212,1-Regular local school district that is NOT a component of a supervisory union,1716,115.00
BORDENTOWN REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,3402030,1-Regular local school district that is NOT a component of a supervisory union,2247,199.00
BORGER ISD,Texas,TX ,4810890,1-Regular local school district that is NOT a component of a supervisory union,2477,191.68
BORREGO SPRINGS UNIFIED,California,CA ,0605700,1-Regular local school district that is NOT a component of a supervisory union,358,20.26
BOSCOBEL AREA SCHOOL DISTRICT,Wisconsin,WI ,5501500,1-Regular local school district that is NOT a component of a supervisory union,703,65.50
BOSQUEVILLE ISD,Texas,TX ,4810910,1-Regular local school district that is NOT a component of a supervisory union,720,61.65
BOSSIER PARISH,Louisiana,LA ,2200270,1-Regular local school district that is NOT a component of a supervisory union,23918,1309.34
BOSTON,Massachusetts,MA ,2502790,1-Regular local school district that is NOT a component of a supervisory union,46367,4311.55
BOSTON COLLEGIATE CHARTER (DISTRICT),Massachusetts,MA ,2500053,7-Independent Charter District,698,75.58
BOSTON DAY AND EVENING ACADEMY CHARTER (DISTRICT),Massachusetts,MA ,2500049,7-Independent Charter District,322,29.47
BOSTON GREEN ACADEMY HORACE MANN CHARTER SCHOOL (DISTRICT),Massachusetts,MA ,2500526,7-Independent Charter District,476,46.61
BOSTON PREPARATORY CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500080,7-Independent Charter District,695,71.60
BOSTON RENAISSANCE CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500039,7-Independent Charter District,922,82.50
BOSTONIA GLOBAL DISTRICT,CALIFORNIA,CA ,0602562,7-Independent Charter District,1144,48.14
BOSWELL,Oklahoma,OK ,4005040,1-Regular local school district that is NOT a component of a supervisory union,307,21.29
BOSWORTH R-V,Missouri,MO ,2905610,1-Regular local school district that is NOT a component of a supervisory union,48,10.42
BOTETOURT COUNTY PUBLIC SCHOOLS,Virginia,VA ,5100420,1-Regular local school district that is NOT a component of a supervisory union,4492,339.25
BOTKINS LOCAL,Ohio,OH ,3904976,1-Regular local school district that is NOT a component of a supervisory union,621,35.30
BOTTINEAU 1,North Dakota,ND ,3803060,1-Regular local school district that is NOT a component of a supervisory union,660,59.50
BOULDER ELEM,Montana,MT ,3004380,1-Regular local school district that is NOT a component of a supervisory union,218,14.92
BOULDER RE-1J ST VRAIN AU,Colorado,CO ,0800263,4-Regional Education Service Agency (RESA),†,†
BOULDER RE-2 BOULDER AU,Colorado,CO ,0800227,4-Regional Education Service Agency (RESA),†,†
BOULDER VALLEY SCHOOL DISTRICT NO. RE2,Colorado,CO ,0802490,1-Regular local school district that is NOT a component of a supervisory union,28485,1683.41
BOUND BROOK SCHOOL DISTRICT,New Jersey,NJ ,3402100,1-Regular local school district that is NOT a component of a supervisory union,2067,186.00
BOUNDARY COUNTY DISTRICT,Idaho,ID ,1600420,1-Regular local school district that is NOT a component of a supervisory union,1441,82.12
BOURBON COUNTY,Kentucky,KY ,2100540,1-Regular local school district that is NOT a component of a supervisory union,2674,164.40
BOURBONNAIS SD 53,Illinois,IL ,1706750,1-Regular local school district that is NOT a component of a supervisory union,2296,164.53
BOURNE,Massachusetts,MA ,2502820,1-Regular local school district that is NOT a component of a supervisory union,1568,148.29
BOUSE ELEMENTARY DISTRICT (4513),Arizona,AZ ,0401290,1-Regular local school district that is NOT a component of a supervisory union,44,0.00
BOVINA ISD,Texas,TX ,4810950,1-Regular local school district that is NOT a component of a supervisory union,425,44.25
BOW SCHOOL DISTRICT,New Hampshire,NH ,3301950,1-Regular local school district that is NOT a component of a supervisory union,1665,93.00
BOWBELLS 14,North Dakota,ND ,3803090,1-Regular local school district that is NOT a component of a supervisory union,90,12.91
BOWDLE SCHOOL DISTRICT 22-1,South Dakota,SD ,4607800,1-Regular local school district that is NOT a component of a supervisory union,116,15.22
BOWERBANK PUBLIC SCHOOLS,Maine,ME ,2303390,1-Regular local school district that is NOT a component of a supervisory union,0,0.00
BOWIE ISD,Texas,TX ,4810990,1-Regular local school district that is NOT a component of a supervisory union,1644,130.84
BOWIE UNIFIED DISTRICT (4171),Arizona,AZ ,0401330,1-Regular local school district that is NOT a component of a supervisory union,66,5.00
BOWLEGS,Oklahoma,OK ,4005130,1-Regular local school district that is NOT a component of a supervisory union,231,17.43
BOWLER SCHOOL DISTRICT,Wisconsin,WI ,5501560,1-Regular local school district that is NOT a component of a supervisory union,309,31.75
BOWLING GREEN CITY SCHOOL DISTRICT,Ohio,OH ,3904363,1-Regular local school district that is NOT a component of a supervisory union,2586,160.52
BOWLING GREEN INDEPENDENT,Kentucky,KY ,2100570,1-Regular local school district that is NOT a component of a supervisory union,4424,291.47
BOWLING GREEN R-I,Missouri,MO ,2905660,1-Regular local school district that is NOT a component of a supervisory union,1331,102.03
BOWMAN CO 1,North Dakota,ND ,3803200,1-Regular local school district that is NOT a component of a supervisory union,498,48.40
BOWRING,Oklahoma,OK ,4005160,1-Regular local school district that is NOT a component of a supervisory union,56,6.51
BOX ELDER DISTRICT,Utah,UT ,4900090,1-Regular local school district that is NOT a component of a supervisory union,12649,572.20
BOX ELDER ELEM,Montana,MT ,3004440,1-Regular local school district that is NOT a component of a supervisory union,303,23.35
BOX ELDER H S,Montana,MT ,3004500,1-Regular local school district that is NOT a component of a supervisory union,108,11.70
BOXFORD,Massachusetts,MA ,2502880,1-Regular local school district that is NOT a component of a supervisory union,738,68.62
BOYCEVILLE COMMUNITY SCHOOL DISTRICT,Wisconsin,WI ,5501590,1-Regular local school district that is NOT a component of a supervisory union,692,50.62
BOYD COUNTY,Kentucky,KY ,2100620,1-Regular local school district that is NOT a component of a supervisory union,3102,255.71
BOYD COUNTY SCHOOLS,NEBRASKA,NE ,3100187,1-Regular local school district that is NOT a component of a supervisory union,333,32.30
BOYD ISD,Texas,TX ,4811010,1-Regular local school district that is NOT a component of a supervisory union,1266,98.42
BOYDEN-HULL COMM SCHOOL DISTRICT,Iowa,IA ,1905190,1-Regular local school district that is NOT a component of a supervisory union,630,48.18
BOYER VALLEY COMM SCHOOL DISTRICT,Iowa,IA ,1909570,1-Regular local school district that is NOT a component of a supervisory union,420,33.78
BOYERTOWN AREA SD,Pennsylvania,PA ,4203960,1-Regular local school district that is NOT a component of a supervisory union,6652,417.51
BOYLE COUNTY,Kentucky,KY ,2100630,1-Regular local school district that is NOT a component of a supervisory union,2937,184.20
BOYNE CITY PUBLIC SCHOOLS,Michigan,MI ,2606500,1-Regular local school district that is NOT a component of a supervisory union,1292,79.04
BOYNE FALLS PUBLIC SCHOOL DISTRICT,Michigan,MI ,2606510,1-Regular local school district that is NOT a component of a supervisory union,193,16.26
BOYS LATIN OF PHILADELPHIA CS,Pennsylvania,PA ,4200760,7-Independent Charter District,774,52.00
BOYS PREPARATORY CHARTER SCHOOL OF NEW YORK,NEW YORK,NY ,3601115,7-Independent Charter District,713,39.00
BOYS RANCH ISD,Texas,TX ,4811040,1-Regular local school district that is NOT a component of a supervisory union,164,45.26
BOYS TOWN INTERIM PRG SCHS,Nebraska,NE ,3100146,8-Other education agencies,0,25.00
BOZEMAN ELEM,Montana,MT ,3004560,1-Regular local school district that is NOT a component of a supervisory union,4651,305.86
BOZEMAN H S,Montana,MT ,3004590,1-Regular local school district that is NOT a component of a supervisory union,2631,161.56
BOZRAH SCHOOL DISTRICT,Connecticut,CT ,0900390,1-Regular local school district that is NOT a component of a supervisory union,170,20.00
BRACEVILLE SD 75,Illinois,IL ,1706840,1-Regular local school district that is NOT a component of a supervisory union,122,13.00
BRACKEN COUNTY,Kentucky,KY ,2100660,1-Regular local school district that is NOT a component of a supervisory union,1145,75.00
BRACKETT ISD,Texas,TX ,4811070,1-Regular local school district that is NOT a component of a supervisory union,552,55.45
BRADFORD,Florida,FL ,1200120,1-Regular local school district that is NOT a component of a supervisory union,2998,154.41
BRADFORD,Tennessee,TN ,4701390,1-Regular local school district that is NOT a component of a supervisory union,615,43.00
BRADFORD ACADEMY,Michigan,MI ,2600284,7-Independent Charter District,980,60.20
BRADFORD AREA SD,Pennsylvania,PA ,4204020,1-Regular local school district that is NOT a component of a supervisory union,2423,176.80
BRADFORD CENTRAL SCHOOL DISTRICT,New York,NY ,3605220,1-Regular local school district that is NOT a component of a supervisory union,264,32.06
BRADFORD CUSD 1,Illinois,IL ,1706880,1-Regular local school district that is NOT a component of a supervisory union,179,13.51
BRADFORD EXEMPTED VILLAGE,Ohio,OH ,3904522,1-Regular local school district that is NOT a component of a supervisory union,483,63.36
BRADFORD PREPARATORY SCHOOL,North Carolina,NC ,3700356,7-Independent Charter District,1511,107.22
BRADFORD SCHOOL DISTRICT,Arkansas,AR ,0503480,1-Regular local school district that is NOT a component of a supervisory union,473,38.88
BRADLEY BEACH SCHOOL DISTRICT,New Jersey,NJ ,3402130,1-Regular local school district that is NOT a component of a supervisory union,205,36.80
BRADLEY BOURBONNAIS CHSD 307,Illinois,IL ,1706960,1-Regular local school district that is NOT a component of a supervisory union,1921,126.50
BRADLEY COUNTY,Tennessee,TN ,4700330,1-Regular local school district that is NOT a component of a supervisory union,10269,656.50
BRADLEY SD 61,Illinois,IL ,1706930,1-Regular local school district that is NOT a component of a supervisory union,1299,109.00
BRADLEY UNION ELEMENTARY,California,CA ,0605730,1-Regular local school district that is NOT a component of a supervisory union,37,2.99
BRADLEYVILLE R-I,Missouri,MO ,2905700,1-Regular local school district that is NOT a component of a supervisory union,224,15.50
BRADY ISD,Texas,TX ,4811110,1-Regular local school district that is NOT a component of a supervisory union,956,79.28
BRADY PUBLIC SCHOOLS,Nebraska,NE ,3104290,1-Regular local school district that is NOT a component of a supervisory union,184,20.14
BRAGGS,Oklahoma,OK ,4005280,1-Regular local school district that is NOT a component of a supervisory union,109,9.57
BRAHAM PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2706060,1-Regular local school district that is NOT a component of a supervisory union,790,48.39
BRAINERD PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2706090,1-Regular local school district that is NOT a component of a supervisory union,6232,421.86
BRAINTREE,Massachusetts,MA ,2502940,1-Regular local school district that is NOT a component of a supervisory union,5380,408.24
BRANCH ISD,Michigan,MI ,2680180,9-Specialized public school district,524,95.20
BRANCH LINE SCHOOL,Michigan,MI ,2601042,7-Independent Charter District,150,12.40
BRANCHBURG TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3402160,1-Regular local school district that is NOT a component of a supervisory union,1290,154.50
BRANDON SCHOOL DISTRICT IN THE COUNTIES OF OAKLAND AND LAPEE,Michigan,MI ,2606570,1-Regular local school district that is NOT a component of a supervisory union,2128,161.37
BRANDON VALLEY SCHOOL DISTRICT 49-2,South Dakota,SD ,4607950,1-Regular local school district that is NOT a component of a supervisory union,4948,285.89
BRANDON-EVANSVILLE PUBLIC SCHOOLS,Minnesota,MN ,2700382,1-Regular local school district that is NOT a component of a supervisory union,535,31.92
BRANDYWINE COMMUNITY SCHOOLS,Michigan,MI ,2606600,1-Regular local school district that is NOT a component of a supervisory union,1304,74.86
BRANDYWINE HEIGHTS AREA SD,Pennsylvania,PA ,4204050,1-Regular local school district that is NOT a component of a supervisory union,1283,116.15
BRANDYWINE SCHOOL DISTRICT,Delaware,DE ,1001240,1-Regular local school district that is NOT a component of a supervisory union,10367,782.25
BRANFORD SCHOOL DISTRICT,Connecticut,CT ,0900420,1-Regular local school district that is NOT a component of a supervisory union,2651,252.60
BRANSON R-IV,Missouri,MO ,2905760,1-Regular local school district that is NOT a component of a supervisory union,4560,318.47
BRANSON REORGANIZED SCHOOL DISTRICT NO. 82,Colorado,CO ,0802520,1-Regular local school district that is NOT a component of a supervisory union,442,31.32
BRANTLEY COUNTY,Georgia,GA ,1300480,1-Regular local school district that is NOT a component of a supervisory union,3403,244.40
BRASHER FALLS CENTRAL SCHOOL DISTRICT,New York,NY ,3627960,1-Regular local school district that is NOT a component of a supervisory union,995,92.00
BRASS CITY CHARTER SCHOOL DISTRICT,Connecticut,CT ,0900215,7-Independent Charter District,360,32.00
BRAWLEY ELEMENTARY,California,CA ,0605790,1-Regular local school district that is NOT a component of a supervisory union,3868,172.90
BRAWLEY UNION HIGH,California,CA ,0605820,1-Regular local school district that is NOT a component of a supervisory union,2055,87.38
BRAXTON COUNTY SCHOOLS,West Virginia,WV ,5400120,1-Regular local school district that is NOT a component of a supervisory union,1726,122.00
BRAY-DOYLE,Oklahoma,OK ,4005340,1-Regular local school district that is NOT a component of a supervisory union,262,26.15
BRAYMER C-4,Missouri,MO ,2905820,1-Regular local school district that is NOT a component of a supervisory union,251,27.01
BRAZOS ISD,Texas,TX ,4844470,1-Regular local school district that is NOT a component of a supervisory union,851,63.56
BRAZOS RIVER CHARTER SCHOOL,Texas,TX ,4800214,7-Independent Charter District,132,8.42
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Texas,TX ,4800086,7-Independent Charter District,308,23.41
BRAZOSPORT ISD,Texas,TX ,4811190,1-Regular local school district that is NOT a component of a supervisory union,11618,855.69
BREA-OLINDA UNIFIED,California,CA ,0605880,1-Regular local school district that is NOT a component of a supervisory union,5811,260.77
BREAD SPRINGS DAY SCHOOL,Bureau of Indian Education,BI ,5900138,1-Regular local school district that is NOT a component of a supervisory union,62,4.00
BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,Virginia,VA ,5100099,9-Specialized public school district,†,†
BREAKTHROUGH CHARTER SCHOOL,ALABAMA,AL ,0100208,7-Independent Charter District,282,5.00
BREAKTHROUGH MONTESSORI PCS,DISTRICT OF COLUMBIA,DC ,1100104,7-Independent Charter District,346,16.00
BREATHITT COUNTY,Kentucky,KY ,2100690,1-Regular local school district that is NOT a component of a supervisory union,1701,116.00
BRECKENRIDGE COMMUNITY SCHOOLS,Michigan,MI ,2606630,1-Regular local school district that is NOT a component of a supervisory union,617,37.34
BRECKENRIDGE ISD,Texas,TX ,4811220,1-Regular local school district that is NOT a component of a supervisory union,1409,109.57
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2706150,1-Regular local school district that is NOT a component of a supervisory union,617,40.31
BRECKENRIDGE R-I,Missouri,MO ,2905850,1-Regular local school district that is NOT a component of a supervisory union,59,13.63
BRECKINRIDGE COUNTY,Kentucky,KY ,2100720,1-Regular local school district that is NOT a component of a supervisory union,2748,172.00
BRECKSVILLE-BROADVIEW HEIGHTS CITY,Ohio,OH ,3904364,1-Regular local school district that is NOT a component of a supervisory union,3752,188.19
BREESE ESD 12,Illinois,IL ,1707010,1-Regular local school district that is NOT a component of a supervisory union,605,34.50
BREITUNG TOWNSHIP SCHOOL DISTRICT,Michigan,MI ,2606720,1-Regular local school district that is NOT a component of a supervisory union,1972,111.77
BREMEN CHSD 228,Illinois,IL ,1707050,1-Regular local school district that is NOT a component of a supervisory union,5270,309.90
BREMEN CITY,Georgia,GA ,1300510,1-Regular local school district that is NOT a component of a supervisory union,2355,143.70
BREMEN PUBLIC SCHOOLS,Indiana,IN ,1800900,1-Regular local school district that is NOT a component of a supervisory union,1472,95.01
BREMEN PUBLIC SCHOOLS,Maine,ME ,2303480,1-Regular local school district that is NOT a component of a supervisory union,23,0.00
BREMERTON SCHOOL DISTRICT,Washington,WA ,5300660,1-Regular local school district that is NOT a component of a supervisory union,4383,303.48
BREMOND ISD,Texas,TX ,4811250,1-Regular local school district that is NOT a component of a supervisory union,508,43.40
BRENHAM ISD,Texas,TX ,4811280,1-Regular local school district that is NOT a component of a supervisory union,4939,387.74
BRENTWOOD,Missouri,MO ,2905880,1-Regular local school district that is NOT a component of a supervisory union,775,82.24
BRENTWOOD BOROUGH SD,Pennsylvania,PA ,4204140,1-Regular local school district that is NOT a component of a supervisory union,1153,90.51
BRENTWOOD SCHOOL DISTRICT,New Hampshire,NH ,3302010,1-Regular local school district that is NOT a component of a supervisory union,293,26.00
BRENTWOOD UNION ELEMENTARY,California,CA ,0605910,1-Regular local school district that is NOT a component of a supervisory union,9435,386.24
BRENTWOOD UNION FREE SCHOOL DISTRICT,New York,NY ,3605280,1-Regular local school district that is NOT a component of a supervisory union,18323,1260.64
BRET HARTE UNION HIGH,California,CA ,0605940,1-Regular local school district that is NOT a component of a supervisory union,636,35.82
BREVARD,Florida,FL ,1200150,1-Regular local school district that is NOT a component of a supervisory union,74125,4386.75
BREVARD ACADEMY,North Carolina,NC ,3700068,7-Independent Charter District,413,21.25
BREWER PUBLIC SCHOOLS,Maine,ME ,2303510,1-Regular local school district that is NOT a component of a supervisory union,1604,120.70
BREWSTER,Massachusetts,MA ,2502970,1-Regular local school district that is NOT a component of a supervisory union,432,45.61
BREWSTER,Kansas,KS ,2004080,1-Regular local school district that is NOT a component of a supervisory union,131,21.60
BREWSTER CENTRAL SCHOOL DISTRICT,New York,NY ,3605310,1-Regular local school district that is NOT a component of a supervisory union,2966,278.05
BREWSTER SCHOOL DISTRICT,Washington,WA ,5300690,1-Regular local school district that is NOT a component of a supervisory union,1012,58.08
BREWTON CITY,Alabama,AL ,0100450,1-Regular local school district that is NOT a component of a supervisory union,1224,75.50
BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,New York,NY ,3605340,1-Regular local school district that is NOT a component of a supervisory union,1350,128.21
BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3402220,1-Regular local school district that is NOT a component of a supervisory union,8340,687.88
BRICOLAGE ACADEMY,LOUISIANA,LA ,2200289,7-Independent Charter District,848,0.73
BRIDGE ACADEMY,Michigan,MI ,2600306,7-Independent Charter District,1328,49.00
BRIDGE ACADEMY OF SOUTHWEST MICHIGAN,MICHIGAN,MI ,2601136,7-Independent Charter District,92,8.45
BRIDGE BOSTON CHARTER SCHOOL (DISTRICT),Massachusetts,MA ,2500527,7-Independent Charter District,334,31.85
BRIDGE CITY ISD,Texas,TX ,4811310,1-Regular local school district that is NOT a component of a supervisory union,3144,195.10
BRIDGE CREEK,Oklahoma,OK ,4005400,1-Regular local school district that is NOT a component of a supervisory union,1812,100.41
BRIDGE ELEMENTARY SCHOOL,UTAH,UT ,4900202,7-Independent Charter District,533,20.20
BRIDGE GATE COMMUNITY SCHOOL,OHIO,OH ,3901582,7-Independent Charter District,212,11.50
BRIDGE PREPARATORY CHARTER SCHOOL,NEW YORK,NY ,3601213,7-Independent Charter District,242,31.00
BRIDGEHAMPTON UNION FREE SCHOOL DISTRICT,New York,NY ,3605370,1-Regular local school district that is NOT a component of a supervisory union,198,50.60
BRIDGEPORT EXEMPTED VILLAGE,Ohio,OH ,3904523,1-Regular local school district that is NOT a component of a supervisory union,749,50.20
BRIDGEPORT ISD,Texas,TX ,4811340,1-Regular local school district that is NOT a component of a supervisory union,2058,154.33
BRIDGEPORT PUBLIC SCHOOLS,Nebraska,NE ,3100105,1-Regular local school district that is NOT a component of a supervisory union,506,40.55
BRIDGEPORT SCHOOL DISTRICT,Washington,WA ,5300720,1-Regular local school district that is NOT a component of a supervisory union,776,49.75
BRIDGEPORT SCHOOL DISTRICT,Connecticut,CT ,0900450,1-Regular local school district that is NOT a component of a supervisory union,19337,1446.75
BRIDGEPORT-SPAULDING COMMUNITY SCHOOL DISTRICT,Michigan,MI ,2606780,1-Regular local school district that is NOT a component of a supervisory union,1452,72.90
BRIDGER K-12 SCHOOLS,Montana,MT ,3004800,1-Regular local school district that is NOT a component of a supervisory union,199,20.49
BRIDGES CHARTER DISTRICT,CALIFORNIA,CA ,0601879,7-Independent Charter District,351,18.22
BRIDGES COMMUNITY ACADEMY DBA BRIDGES PREPARATORY ACADEMY,Ohio,OH ,3900502,7-Independent Charter District,97,8.00
BRIDGES PCS,District of Columbia,DC ,1100055,7-Independent Charter District,380,47.00
BRIDGES PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CA ,0602564,7-Independent Charter District,118,5.00
BRIDGETON CITY SCHOOL DISTRICT,New Jersey,NJ ,3402250,1-Regular local school district that is NOT a component of a supervisory union,6221,470.50
BRIDGETON PUBLIC CHARTER SCHOOL,NEW JERSEY,NJ ,3400782,7-Independent Charter District,119,13.00
BRIDGEVILLE ELEMENTARY,California,CA ,0606000,1-Regular local school district that is NOT a component of a supervisory union,37,3.00
BRIDGEWATER PUBLIC SCHOOLS,Maine,ME ,2300004,1-Regular local school district that is NOT a component of a supervisory union,0,0.00
BRIDGEWATER-EMERY 30-3,South Dakota,SD ,4621420,1-Regular local school district that is NOT a component of a supervisory union,333,30.27
BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,3402280,1-Regular local school district that is NOT a component of a supervisory union,8049,740.60
BRIDGEWATER-RAYNHAM,Massachusetts,MA ,2503030,1-Regular local school district that is NOT a component of a supervisory union,5521,350.51
BRIDGEWAY PREPARATORY ACADEMY,TEXAS,TX ,4801462,7-Independent Charter District,117,7.68
BRIDGING COMMUNITIES REG CAREER & TECHNICAL CENTER,Virginia,VA ,5100255,9-Specialized public school district,†,†
BRIDGMAN PUBLIC SCHOOLS,Michigan,MI ,2606840,1-Regular local school district that is NOT a component of a supervisory union,849,64.81
BRIELLE BORO SCHOOL DISTRICT,New Jersey,NJ ,3402310,1-Regular local school district that is NOT a component of a supervisory union,491,55.00
BRIGANTINE PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3402340,1-Regular local school district that is NOT a component of a supervisory union,392,59.20
BRIGGS,Oklahoma,OK ,4005430,1-Regular local school district that is NOT a component of a supervisory union,421,25.38
BRIGGS ELEMENTARY,California,CA ,0606030,1-Regular local school district that is NOT a component of a supervisory union,473,26.16
BRIGHT BEGINNINGS SCHOOL INC. (4362),Arizona,AZ ,0400071,7-Independent Charter District,238,–
BRIGHT LOCAL,Ohio,OH ,3904761,1-Regular local school district that is NOT a component of a supervisory union,727,44.27
BRIGHT STAR SECONDARY CHARTER ACADEMY DISTRICT,CALIFORNIA,CA ,0601532,7-Independent Charter District,521,24.95
BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,New York,NY ,3600032,7-Independent Charter District,246,‡
BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,New York,NY ,3600033,7-Independent Charter District,326,23.00
BRIGHTON #1 SCHOOL DISTRICT,Wisconsin,WI ,5501650,1-Regular local school district that is NOT a component of a supervisory union,198,12.90
BRIGHTON AREA SCHOOLS,Michigan,MI ,2606870,1-Regular local school district that is NOT a component of a supervisory union,5804,336.88
BRIGHTON CENTRAL SCHOOL DISTRICT,New York,NY ,3605460,1-Regular local school district that is NOT a component of a supervisory union,3461,292.16
BRIGHTON PLT SCHOOL DEPARTMENT,Maine,ME ,2314811,1-Regular local school district that is NOT a component of a supervisory union,0,0.00
BRIGHTON SCHOOL DISTRICT,Vermont,VT ,5002610,2-Local school district that is a component of a supervisory union,138,9.90
BRILLA CARITAS CHARTER SCHOOL,NEW YORK,NY ,3601221,7-Independent Charter District,240,0.00
BRILLA COLLEGE PREPARATORY CHARTER SCHOOL,New York,NY ,3601108,7-Independent Charter District,754,0.00
BRILLA PAX CHARTER SCHOOL,NEW YORK,NY ,3601222,7-Independent Charter District,205,18.70
BRILLA VERITAS CHARTER SCHOOL,NEW YORK,NY ,3601165,7-Independent Charter District,457,44.00
BRILLANTE ACADEMY,TEXAS,TX ,4801475,7-Independent Charter District,0,0.00
BRILLION SCHOOL DISTRICT,Wisconsin,WI ,5501680,1-Regular local school district that is NOT a component of a supervisory union,947,68.00
BRIMFIELD,Massachusetts,MA ,2503060,1-Regular local school district that is NOT a component of a supervisory union,287,27.30
BRIMFIELD CUSD 309,Illinois,IL ,1707200,1-Regular local school district that is NOT a component of a supervisory union,630,47.00
BRIMLEY AREA SCHOOLS,Michigan,MI ,2606900,1-Regular local school district that is NOT a component of a supervisory union,460,35.79
BRINKLEY SCHOOL DISTRICT,Arkansas,AR ,0503630,1-Regular local school district that is NOT a component of a supervisory union,469,62.12
BRINNON SCHOOL DISTRICT,Washington,WA ,5300750,1-Regular local school district that is NOT a component of a supervisory union,74,5.71
BRISBANE ELEMENTARY,California,CA ,0606060,1-Regular local school district that is NOT a component of a supervisory union,455,28.38
BRISTOL,Tennessee,TN ,4700360,1-Regular local school district that is NOT a component of a supervisory union,4029,255.93
