,state.abb,id,name,ncesID,name_nces,note
649,OK,1240236,pond creek-hunter school district no. 1-90,,,
650,MN,167796,area special education cooperative council no. 997,2700050,,
651,CO,1266876,san juan county school district no. 1,,,
652,OK,147102,garber school district no. 1-47 1/2,,,
653,MO,1267928,norwood r-i school district,,,
654,OK,1239822,glencoe school district no. 60-1101,,,
655,ND,65583,oliver-mercer multidistrict special education unit,,,
656,ME,1268775,indian township passamaquoddy school committee,,,
657,IL,400485,champaign and ford counties regional office of education no. 9,,,
658,IL,483849,henderson-knox-mercer-warren regional office of education no. 33,,,
659,IN,109886,northwest hendricks school corporation,,,
660,KS,1240513,unified school district no. 107,,,
661,MT,35419,bitterroot valley education cooperative,,,
662,WY,230881,sheridan economic and educational development authority joint powers board,,,
663,MN,282378,runestone area education district no. 6014,2700016,Runestone Area Education District,
664,WI,296546,new lisbon school district,,,
665,ME,399541,great salt bay community school district,,,
666,MT,1266386,school district no. 58,,,
667,MT,1036683,pryor school district no. 2 & 3,,,
668,WI,1239663,weston school district,,,
669,MT,399705,chester-joplin-inverness school district no. 48-1j & 48-2j,,,
670,MO,1238695,maries county r-1 school district,,,
671,WI,1240353,randall consolidated school joint district no. 1,,,
672,MO,1267931,oregon howell r-iii school district,,,
673,SD,1239839,newell school district,,,
674,MT,1266670,sun river valley school district,,,
675,VT,230537,white river unified school district,,,
676,SD,1266258,selby area school district no. 62-5,,,
677,VT,401078,windsor central unified union school district,,,
678,MA,1238442,knob noster r-viii school district,,,
679,KS,1267759,peabody-bums unified school district no. 398,,,
680,SD,1268442,hill city school district,,,
681,IL,105453,henderson mercer and warren counties regional office of education 33,,,
682,IL,399583,regional office of education no. 17,,,
683,CA,145970,buena vista elementary school district,,,
684,KS,1268395,unified school district 256,,,
685,WI,1268217,joint school district no. 1 - arbor vitae and woodruff,,,
686,MI,1267854,michigan online school,,,
687,IL,224085,century unit school district no. 100,,,
688,NJ,1268831,paul robeson chater school for the humanities,,,
689,OK,147413,oklahoma connections academy school district no. z-003,,,
690,MS,1238728,lincoln school district no. 38,,,
691,MT,1265956,lone rock public school,,,
692,IL,47504,kildeer countryside consolidated school district no. 96,,,
693,ME,224465,deer isle - stonington community school district,,,
694,MO,1238651,bell city r-2 school district,,,
695,WI,1239636,potosi school district,,,
696,MT,1268813,bitterroot valley special education cooperative,,,
697,IL,1266452,martinsville community unit school district c-3,,,
698,MT,1268276,lincoln school district no. 38,,,
699,MO,35252,laclede county r-1 school district,,,
700,IL,1267718,princeton township high school,,,
701,OK,1268588,heir force community school,,,
702,WV,1268229,the education alliance-business and community for public schools inc.,,,
703,MO,1267920,greenville r-ii school district,,,
704,RI,1268592,beacon charter school corporation,,,
705,WI,230785,school district of shiocton,,,
706,IN,65447,yorktown community schools,,,
707,WI,1240352,minocqua joint no.1 school district,,,
708,NJ,1238939,warren county vocational technical school,,,
709,ME,224489,regional school unit no. 89,,,
710,VA,153842,shenandoah valley regional program special education,,,
711,NE,225007,verdigre public school,,,
712,MO,1268246,reorganized school district no iv of bates county,,,
713,NJ,1240614,township of greenwich school district,,,
714,MN,103115,educational cooperative service unit of the metropolitan twin cities area,,,
715,CA,67874,sierra county office of education,,,
716,ND,1238817,rolette public school district,,,
717,WI,1268417,pecatonica area school,,,
718,MO,1238696,marion c. early r-5 school district,,,
719,NM,225269,high plains regional education cooperative no. 3,,,
720,OK,99155,crutcho dependent school district no. 74,,,
721,IL,33119,brooklyn unit school district no. 188,,,
722,MA,1240293,greenfield commonwealth virtual school,,,
723,WI,1239641,school district of elkhart lake-glenbeulah,,,
724,CA,146578,round valley joint elementary school district,,,
725,MO,1267936,stanberry r-ii school district,,,
726,WI,1265294,yorkville joint no. 2 school district,,,
727,NJ,1265851,borough of merchantvile school district,,,
728,WI,230641,school district of gilman,,,
729,MN,65280,independent school district no. 25,2728960,PINE POINT PUBLIC SCHOOL DISTRICT,
730,ME,224474,maine school administrative district no. 24,,,
731,MO,224861,iberia r-5 school district,,,
732,IL,1239734,odin public school district no. 722,,,
733,MT,44899,central montana learning resource center cooperative,,,
734,WI,1268806,school district of drummond,,,
735,VT,401076,derby school district,,,
736,MO,1238705,pettis county r-5 school district,,,
737,WI,1240201,school district of wausaukee,,,
738,MN,1267906,northwest suburban integration school district,2700195,N.W. Suburban Integration District,
739,ME,224479,maine school administrative district no. 33,,,
740,MT,1268697,ashland school district 32j,,,
741,WI,230619,drummond area school district,,,
742,OR,1268124,mitchell school district,,,
743,ID,224640,hansen school district,,,
744,MT,44508,ashland school district no. 32j,,,
745,WI,1239614,joint school district no. 1,,,
746,OH,1265622,dampe community school,,,
747,MO,282431,new haven school district no. 138,,,
748,MA,1268243,greater commonwealth vitual school,,,
749,IL,1266509,st. clair county regional office of education no. 50,,,
750,IL,1267679,cowden-herrick community unit  school district no. 3a,,,
751,IL,1238351,pontiac-william holliday school district no. 105,,,
752,CA,1268454,plainsburg elementary school district,,,
753,MT,1268810,vaughn public schools,,,
754,VT,230502,cambridge town school district,,,
755,IN,1268437,western wayne school corporation,,,
756,WI,1240978,school district of mellen,,,
757,MT,1268412,pricky pear special education cooperative,,,
758,OK,147200,insight school of oklahoma school district no. z-004,,,
759,IL,1035777,lasalle and dekalb counties communit unit school district no. 1,,,
760,NJ,1268313,westville borough school district,,,
761,ME,399547,town of bristol school department,,,
762,OK,400172,howe public schools,,,
763,WI,230745,school district of granton,,,
764,ME,224480,maine school administrative district no. 42,,,
765,OK,1240708,allen-bowden dependent school district no. 35,,,
766,ME,400496,maine school administrative district no. 8,,,
767,ME,224476,maine school administrative district no. 45,,,
768,WI,230672,marion school district,,,
769,OK,1239825,okay independent school district no. 73-1001,,,
770,OR,87123,ukiah school district no. 80r,,,
771,IN,65286,northeast school corporation,,,
772,MT,399775,potomac school district 11,,,
773,MO,1268336,st. clair county r-ii school district of appleton city,,,
774,MT,65809,flathead county special education cooperative,,,
775,ND,108478,oakes public school district,,,
776,IN,1265701,lawrence county independent schools,,,
777,ME,224487,maine school administrative di,,,
778,SD,43360,pahin sinte owayawa porcupine school,,,
779,MO,35290,pike county r-3 school district,,,
780,CA,67707,pioneer union school district (butte county),,,
781,UT,1239545,moab community school,,,
782,IL,74472,will county regional office of education no. 56,,,
783,CA,67613,mt baldy joint elementary,,,
784,ND,108563,south valley multi-district special education unit,,,
785,KS,224302,three lakes educational cooperative,,,
786,CA,145941,big sur unified school district,,,
787,MI,1267860,covenant high school grand rapids,,,
788,IL,1265712,regional office of education no. 11,,,
789,OH,398799,buckeye community school,,,
790,WI,1240980,seneca area school district,,,
791,IL,1266451,county of union school district no. 43,,,
792,OK,1240855,woodall school district no. co21,,,
793,ME,1265843,maine school adminstrative district no. 19,,,
794,MO,1266160,northeast vernon county r-1 school district,,,
795,AR,1036892,dermott special school district,0505170,,
796,IL,1238240,"pleasant hill grade school, district no. 69",,,
797,AL,1266413,legacy schools,0100201,,
798,OK,400142,buffalo valley public school district i-3,,,
799,IL,1266453,"bureau, henry, and stark counties regional office of education no. 28",,,
800,SD,1266254,plankinton school district no. 01-1,,,
801,OK,400179,kipp okc public school district no. e-012,,,
802,MT,43164,great divide education services,,,
803,OR,1268862,central school district,,,
804,ME,1265779,regional school unit no. 84,,,
805,WI,1240203,laona school district,,,
806,MO,1035836,ballard r-11 school district of bates county,,,
807,OH,225872,george v. voinovich high school,,,
808,IN,1268573,salem community school corporation,,,
809,ND,1239712,lonetree special education unit,,,
810,OR,86424,mount angel school district 91,,,
811,IL,1268498,mendota high school district no. 280,,,
812,OK,1240745,grandview school,,,
813,OK,166751,kipp tulsa public school district no. e-005,,,
814,MI,161559,"haynor school, easton township school district no. 6",,,
815,OK,1266550,asher public schools,,,
816,OH,1240693,akron career tech high school,,,
817,AZ,57875,keams canyon elementary school,,,
818,AZ,93598,"wide ruins community school, inc.",,,
819,NM,82134,"ch'ooshgai community school board of education, inc",,,
820,OK,147180,holly creek public schools c-72,,,
821,WA,1265862,kalama school district,,,
822,ND,108548,burleigh county multi-district special education unit,,,
823,IL,1239729,career education associates of north central illinois,,,
824,IL,150820,lasalle marshall and putnam counties regional office of education 35,,,
825,ME,224491,maine regional school unit no. 84,,,
826,AR,98673,dollarway school district no. 2,,,"The Dollarway School District (District), as of December 10, 2015, is under the control of the Arkansas Division of Elementary and Secondary Education. The local school board was dissolved as of that date. There are no component units."
827,IL,1267720,raccoon consolidated school district 1,,,
828,IL,1267680,depue unit school district no. 103,,,
829,OR,190996,wahtonka community school,,,
830,AZ,46736,"naatsis’aan community school, inc.",,,
831,AR,1036914,emerson-taylor-bradley school district,0500068,,
832,CA,67409,jefferson elementary school district san benito county,,,
833,OK,398892,deborah brown community school district no g001,,,
834,MO,1267935,south iron county r-i school district,,,
835,ME,224466,easton school department,,,
836,OK,282676,dahlonegah school district no. co29,,,
837,TN,1268266,prep public schools - chattanooga,,,
838,OK,1239285,western gateway elementary school district no. e-026,,,
839,ND,1268701,north central education cooperative,,,
840,KS,224283,east central kansas cooperative in education,,,
841,OK,1239273,interlocal cooperative school district no. 57-k001,,,
842,WI,1239649,school district of shullsburg,,,
843,OK,326248,tri-county interlocal county-op school district no. k-001,,,
844,WA,89224,pateros school district no 122-70j,,,
845,OH,1268585,tri-state stem+m school,,,
846,MO,398561,new bloomfield school district,,,
847,AZ,66951,greasewood springs community school inc,,,
848,IL,1238252,seneca c.c.g.s. district no. 170,,,
849,SD,1239840,north central special education cooperative,,,
850,IL,40891,tri-county special education joint agreement,,,
851,OK,1266551,greenville public schools,,,
852,MI,1091497,prepnet virtual school,,,
853,WI,1268227,westosha central high school,,,
854,OH,83288,harrisburg pike community school,,,
855,MO,99092,calhoun r-8 school district,,,
856,WA,88964,cle elum-roslyn school district no. 404,,,
857,KS,48557,north central kansas special education cooperative interlocal 636,,,
858,MO,282438,poplar bluff r-1 school district,,,
859,OK,227892,oklahoma information & technology school district no. z-007,,,
860,IL,46584,iroquois and kankakee counties regional office of education no. 32,,,
861,TN,107403,tennessee school for the blind - internal school fund,,,
862,OK,147201,interlocal cooperative school district k-001 seminole county,,,
863,LA,1196350,lasalle parish school board - school activity accounts,,,
864,PA,1266073,union county higher educational facilities financing authority,,,
865,MO,224856,glenwood r-8 school district,,,
866,MO,1267933,southland consoldiated school district no. c-9,,,
867,KS,1267755,interlocal no. 607 tri-county special education cooperative,,,
868,IL,40489,south eastern special education,,,
869,TN,229399,tennessee school for the deaf internal school funds,,,
870,IL,42100,lake county area vocational system,,,
871,IL,41425,career development system,,,
872,IN,199998,south harrison community school corporation,,,
873,MO,190080,barton county r-1 school district,,,
874,NE,1265866,antelope county school district no. 9,,,
875,NE,1238869,harvard school district no. 18-0011,,,
876,NE,1238862,laurel-concord-coleridge school district no. 54,,,
877,NE,197966,mccool junction school district no. 83,,,
878,NE,1238870,north bend school district no. 27-0595,,,
879,NE,109398,palmyra school district or-1,,,
880,MI,161439,arenac eastern school district,,,
881,NE,108893,school district no. 85-2001 of davenport,,,
882,ND,1267171,south central prairie special education unit,,,
883,IL,400465,"franklin, johnson, massac, and williamson counties regional office of education no. 21",,,
884,IL,400464,pleasant valley school dist. no. 62,,,
885,IN,170639,metropolitan school district of southwest allen county,,,
886,IN,109893,m.s.d. warren township school corporation,,,
887,IN,1206881,northwestern consolidated school district of shelby county,,,
888,IN,65311,west clark community schools,,,
889,IN,399500,silver creek school corporation,,,
890,IN,109874,springs valley community school corporation,,,
891,KS,1265681,unified school district no. 473,,,
892,KS,224311,unified school district no. 483,,,
893,KS,224322,unified school district no. 492,,,
894,KS,282189,unified school district no. 504,,,
895,KS,224286,usd 415 - hiawatha,,,
896,KS,290043,unified school district 237,,,
897,KS,224278,unified school district no. 112,,,
898,KS,224326,minneapolis unified school district no. 239,,,
899,KS,33524,northwest kansas educational service center interlocal district no. 602,,,
900,KS,1036648,unified school district no. 203,,,
901,KS,224303,unified school district no. 235,,,
902,KS,224314,unified school district no. 254,,,
903,KS,282192,unified school district no. 286,,,
904,KS,33512,unified school district no. 337,,,
905,KS,224292,unified school district no. 341,,,
906,KS,224295,unified school district no. 376 sterling,,,
907,KS,1036335,unified school district no. 393,,,
908,KS,398827,unified school district no. 417,,,
909,KS,399507,unified school district no. 436,,,
910,KS,224329,unified school district no. 460,,,
911,ME,1266093,town of scarborough school department,,,
912,AR,229625,prairie county board of education,,,
913,WA,103211,willapa valley school district no. 160,,,
914,MO,224848,clinton county r-3 school district,,,
915,MO,398546,cole county r-v school district,,,
916,MO,224852,dade county school district r-i,,,
917,WA,1036027,ritzville school district no. 160,,,
918,MO,49460,fair play r-2 school district,,,
919,MO,224860,hickman mills c-1 school dstrict,,,
920,ND,108557,northern plains special education unit,,,
921,MO,282430,nell holcomb r-4 school district,,,
922,MO,282444,scott county central school district,,,
923,OK,1267128,johnston county educational facilities authority,,,
924,OH,83625,madison champaign educational service center,,,
925,KS,1238295,usd 430 - south brown county,,,
926,OH,1266482,crestview local school disrict,,,
927,IN,1238836,cannelton city school corporation,,,
928,IL,1265795,kane county regional office of education no. 31,,,
929,IN,1265286,metropolitan school district of boone township,,,
930,IL,1265864,regional office of education no. 1,,,
931,IL,1240212,regional office of education no. 3,,,
932,IN,189638,rising sun-ohio county community school corporation,,,
933,IN,200004,southwestern consolidated school district of shelby county,,,
934,KS,1240697,chetopa - st paul unified school district no. 505,,,
935,KS,1239747,marion county special education cooperative,,,
936,KS,1239750,unified school district no. 272,,,
937,KS,1238299,unified school district no. 355 ellinwood,,,
938,KS,1266731,unified school district no. 463,,,
939,KS,1240515,unified school district no. 471,,,
940,KS,1238300,usd 289 - wellsville,,,
941,KS,1238838,usd 306 - southeast of saline,,,
942,OK,1265758,love county educational facilities authority,,,
943,OK,1266310,okfuskee county educational authority,,,
944,MO,1238665,delta consolidated school district no. 7,,,
945,MO,99098,reorganized school district no. r-4 of lincoln county,,,
946,ND,1266698,horsecreek public school district,,,
947,ND,1266699,naughton school district,,,
948,MO,1238711,st. charles public school,,,
949,ND,1266700,sterling public school district,,,
950,MO,1238722,wellsville-middletown r-1 school district,,,
951,WA,1265810,loon lake school district no. 183-43j,,,
952,WA,1265343,toutle lake school district,,,
953,NM,35956,magdalena municipal schools,,,
954,NJ,1268006,montvale public schools,,,
955,NM,1268014,four corners regional educational cooperative 1,,,
956,NV,1268017,imagine school at mountain view,,,
957,OK,1268089,ada school district,,,
958,PA,1268132,jefferson county-dubois area vocationalctechnical school,,,
959,IL,1268265,joppa-maple grove unit school district 38,,,
960,MO,1268307,south harrison r-ii school district,,,
961,NY,1268319,andover central school,,,
962,OK,1268321,adair school district,,,
963,OK,1268322,byng school district,,,
964,OK,1268323,colbert school district,,,
965,OK,1268324,mcalester school district,,,
966,OK,1268325,mccurtain school district,,,
967,OK,1268326,owasso school district,,,
968,OK,1268327,quapaw school district,,,
969,OK,1268328,salina school district,,,
970,OK,1268329,savanna school district,,,
971,OK,1268330,stigler school district,,,
972,OK,1268331,tecumseh school district,,,
973,OK,1268344,holdenville school district,,,
974,OK,1268345,whitesboro school district,,,
975,IL,1267743,rochelle township high school district no. 212,,,
976,NC,1267948,mithcell county board of education,,,
977,NE,1267966,north bend junior-senior high school district 95,,,
978,NJ,1267996,northern burlington regional school district,,,
979,IL,32903,general george patton school district no. 133,,,
980,NM,82142,jemez mountain school district no. 53,,,
981,IL,1265333,rock island county regional office of education no. 49,,,
982,IL,1266450,cobden school unit district no. 17,,,
983,KS,1266404,unified school district no. 372,,,
984,OK,1266552,white rock public schools,,,
985,OK,148785,peggs school district,,,
986,KS,1240514,unified school district no. 325,,,
987,KS,1239749,unified school district no. 494,,,
988,KS,1238302,usd 454 - burlingame,,,
989,OK,146925,cameron public schools,,,
990,OK,159828,dickson public schools,,,
991,IN,107774,northwestern consolidated school corporation,,,
992,IN,399486,borden-henryville school corporation,,,
993,NY,1268022,chatham central school dostrict,,,
994,NY,1268041,menands union free school,,,
995,NY,1268067,west valley central school disrict,,,
996,OK,1268090,anadarko public schools,,,
997,OK,1268091,atoka public schools,,,
998,OK,1268092,berryhill school district,,,
999,OK,1268093,bokoshe public schools,,,
1000,OK,1268095,calvin public schools,,,
1001,OK,1268096,canadian public schools,,,
1002,OK,1268099,edmond school district,,,
1003,OK,1268100,eufaula public schools,,,
1004,OK,1268101,fletcher public schools,,,
1005,OK,1268102,geary public schools,,,
1006,OK,1268103,grove public schools,,,
1007,OK,1268104,hinton public schools,,,
1008,OK,1268105,hollis public schools,,,
1009,OK,1268106,hooker public schools,,,
1010,OK,1268107,liberty school district,,,
1011,OK,1268109,perkins-tryon public schools,,,
1012,OK,1268111,skiatook public schools,,,
1013,OK,1268112,talihina public schools,,,
1014,OK,1268114,valliant public schools,,,
1015,OK,1268115,vian school district,,,
1016,OK,1268116,weleetka school district,,,
1017,OR,1268120,fall city school district no. 57,,,
1018,OR,1268127,neah-kah-nie school district,,,
1019,PA,1268141,warren county school disctrict,,,
1020,TN,1268165,robertson county school nutrition,,,
1021,TX,1268166,paris independent school distirct,,,
1022,TX,1268168,rocketship public schools texas,,,
1023,TX,1268176,education potential verified,,,
1024,TX,1268177,hamlin collegiate independent school district,,,
1025,TX,1268181,new diana independent school districts,,,
1026,TX,1268182,pecos-bartow-toyah independent school district,,,
1027,TX,1268183,quitman independent school disstrict,,,
1028,TX,1268184,rockport-fulton independent school district,,,
1029,TX,1268192,rocketship public schools,,,
1030,VT,1268206,rivendell interstate school district,,,
1031,NY,1268248,rush henrietta community school district,,,
1032,OK,1268253,morris school district,,,
1033,OK,1268257,chouteau-mazie school district,,,
1034,OK,1268259,kansas school district,,,
1035,OK,1268260,maryetta school district,,,
1036,TN,1268267,prep public schools,,,
1037,OK,1268285,krebs school district,,,
1038,NY,1268291,phelps clifton springs school,,,
1039,NM,1268314,aztec municipal school district no. 2,,,
1040,NY,1268372,honoeye falls-lima school district,,,
1041,OK,1268373,cache school district,,,
1042,OK,1268374,velma-alma school district,,,
1043,OK,1268375,whitefield school district,,,
1044,OK,1268400,ketchum school district,,,
1045,OK,1268401,red oak school district,,,
1046,OK,1268408,crescent public schools,,,
1047,OK,1268409,flower mound public schools,,,
1048,OK,1268413,caney school district,,,
1049,OK,1268414,locust grove school district,,,
1050,OK,1268636,kellyville public schools,,,
1051,OK,1268433,comanche school district,,,
1052,OK,1268457,dewar school district,,,
1053,OK,1268466,silo public schools,,,
1054,OK,1268467,tushka public school,,,
1055,OK,1268479,vinita public schools,,,
1056,OK,1268481,jay public schools,,,
1057,OK,1268482,miami public schools,,,
1058,NV,1268524,after school all-stars las vegas,,,
1059,NY,1268532,seneca highlands intermediate unit nine of education,,,
1060,OH,1268533,carey exempted village school distrct,,,
1061,OK,1268536,fairland public schools,,,
1062,OK,1268538,gore public schools,,,
1063,OK,1268540,kingston public schools,,,
1064,OK,1268541,moore public schools,,,
1065,OK,1268542,navajo independent school district no. 01,,,
1066,OK,1268543,pryor public schools,,,
1067,OK,1268544,sequoyah public schools,,,
1068,OK,1268545,tonkawa public schools,,,
1069,OR,1268546,holla school,,,
1070,PA,1268551,iroquois area school district,,,
1071,RI,1268556,international charter school corporation,,,
1072,NY,1268581,cardinal mccloskey school and home for children,,,
1073,OK,1268589,keota public schools,,,
1074,OK,1268590,oologah-talala public schools,,,
1075,OK,1268591,wagoner public schools,,,
1076,OK,1268629,calera public schools,,,
1077,OK,1268632,hugo public schools,,,
1078,OK,1268633,indiahoma public schools,,,
1079,OK,1268635,jones public schools,,,
1080,OK,1268638,perry public schools,,,
1081,OK,1268639,yukon school district,,,
1082,OK,1268719,drumright public schools,,,
1083,OK,1268720,frederick public schools,,,
1084,OK,1268724,kinta public schools,,,
1085,OK,1268725,lane public schools,,,
1086,OK,1268726,little axe public schools,,,
1087,OK,1268727,maud public schools,,,
1088,OK,1268728,meeker public school,,,
1089,OK,1268729,okmulgee public schools,,,
1090,OK,1268730,panama public schools,,,
1091,OK,1268734,turner public schools,,,
1092,MI,1267856,public schools of petsokey,,,
1093,NY,1268798,nassau county vocational education & extension board,,,
1094,SD,1268802,oelrichs school district,,,
1095,OR,1268816,west linn - wilsonville school district,,,
1096,MO,1267922,laplata r-ii school district,,,
1097,NE,1267965,lancaster county school district 145,,,
1098,NE,1267968,scotts bluff county school district no. 16 gering public schools,,,
1099,OK,1268822,healdton public schools,,,
1100,TX,1268852,denver city indepenedent school district,,,
1101,MO,1267924,licking r-viii school district,,,
1102,OR,1268865,sisters school district,,,
